type,neuron_count,kept
R1-6,3735,True
T2a,908,True
Tm3,897,True
T4c,868,True
T3,853,True
L2,848,True
L1,834,True
L5,795,True
T4d,792,True
Mi1,785,True
Tm2,782,True
Mi9,781,True
Tm1,779,True
T5c,770,True
Tm9,767,True
Mi4,766,True
C3,759,True
T4b,759,True
Tm4,755,True
T5b,754,True
Tm20,750,True
T5d,742,True
T2,741,True
T5a,740,True
T4a,720,True
L3,692,True
C2,685,True
Tm21,668,True
T1,658,True
L4,652,True
R8,625,True
Dm2,619,True
TmY5a,604,True
R7,595,True
Tm27,577,True
Dm3p,505,True
Mi15,491,True
Dm3q,445,True
Mi2,424,True
Tm5f,404,True
TmY3,375,True
Tm25,369,True
Mi13,365,True
Dm3v,320,True
Tm5c,308,True
Y3,298,True
Tm5e,259,True
Dm10,251,True
Tm7,250,True
Tm5a,229,True
TmY10,225,True
TmY4,221,True
Tm5b,221,True
Dm8b,203,True
Dm15,201,True
TmY11,199,True
Mi10,199,True
LC12,198,True
Sm02,194,True
TmY9q__perp,188,True
TmY9q,185,True
TmY14,185,True
Lawf2,177,True
Dm8a,175,True
Tm16,169,True
Tm5d,162,True
TmY31,161,True
Sm07,158,True
Tm36,141,True
TmY20,141,True
Sm01,138,True
LC17,134,True
Lawf1,128,True
Mi14,125,True
Tm37,124,True
Pm01,122,True
TmY15,122,True
MeTu1,120,True
LLPC2,120,True
LC10a,116,True
Tm8a,115,True
LPLC2,108,True
Y12,108,True
Dm12,107,True
LLPC1,106,True
Li06,103,True
Lai,102,True
LLPC3,102,True
LC10c,101,True
LC18,96,True
Pm03,96,True
Li10,94,True
LC10d,93,True
Pm02,93,True
Tm32,92,True
LC9,87,True
Y4,85,True
Sm08,85,True
Y1,84,True
Li01,83,True
LPC1,82,True
Li05,81,True
Sm03,80,True
Sm04,78,True
LC16,78,True
Dm9,77,True
Sm06,77,True
Sm12,76,True
Sm09,75,True
LC13,75,True
TmY16,74,True
Pm05,73,True
MeTu3c,72,True
Tlp1,72,True
MeTu4a,70,True
Sm05,70,True
LC21,68,True
LPLC1,68,True
Tm8b,67,True
LC11,66,True
LC6,65,True
Dm11,65,True
Sm15,63,True
Tm33,62,True
Y11,62,True
Tm35,58,True
LPi09,58,True
Pm08,58,True
LPLC4,56,True
MLt2,55,True
LPC2,55,True
LC4,54,True
Li02,53,True
MLt3,53,True
MeTu3b,53,True
Tm31,53,True
LC10e,52,True
LC15,51,True
MTe51,49,False
MLt1,48,False
cLP02,48,False
Dm20,48,False
Dm16,47,False
Tlp4,46,False
MLt4,45,False
Li17,44,False
LPi07,44,False
LC22,43,False
MeTu4c,42,False
LC28a,42,False
LMa5,42,False
Pm04,42,False
LC24,41,False
LC10b,40,False
LPi02,39,False
MTe02,39,False
Dm4,38,False
Li03,37,False
Dm1,36,False
Pm09,35,False
Sm10,35,False
LPi04,35,False
Li13,35,False
LPi05,34,False
MeTu2a,34,False
Tm34,34,False
LC25,34,False
Dm6,34,False
LMa4,34,False
Sm16,33,False
LLPt,32,False
MLt5,31,False
Sm32,31,False
Sm20,31,False
Li11,30,False
MTe01a,29,False
LMt2,29,False
MLt6,29,False
Sm19,28,False
LMa1,28,False
MTe54,28,False
Tlp5,28,False
LPi11,27,False
aMe5,27,False
LC26,26,False
Tlp14,26,False
Pm06,26,False
Li09,26,False
LCe02,25,False
Sm22,25,False
Dm13,25,False
MTe50,25,False
Pm07,25,False
MTe01b,25,False
LMt1,25,False
MLt7,24,False
cLP01,24,False
Dm18,24,False
DmDRA1,24,False
MTe03,23,False
LC20b,23,False
LC29,22,False
Li08,22,False
Pm10,22,False
LPi01,22,False
LPi10,21,False
Li12,20,False
MeTu3a,20,False
Sm18,20,False
Li16,19,False
Sm13,19,False
cLP03,19,False
MeTu4d,19,False
LC40,19,False
LCe04,19,False
LMt4,19,False
Sm21,19,False
Sm23,19,False
LPi08,18,False
LC36,18,False
MTe52,18,False
LCe01b,18,False
LC27,18,False
LC31a,18,False
LPTe01,18,False
LMa3,17,False
LMt3,17,False
LMa2,17,False
LPi06,17,False
Pm11,17,False
Sm14,17,False
Li18,17,False
MeTu2b,17,False
Li15,16,False
uncertain,15,False
LT52,15,False
MTe05,14,False
Sm30,14,False
Dm14,14,False
Dm19,14,False
LC33,14,False
Li14,13,False
LC20a,13,False
Li07,12,False
LC45,12,False
MTe04,12,False
LCe03,12,False
DmDRA2,12,False
LT51,11,False
LCe05,11,False
LT57,11,False
LCe01a,11,False
Sm31,11,False
Li04,10,False
MTe06,10,False
Sm26,10,False
MLt8,10,False
Li22,9,False
cL01,9,False
LC37,9,False
aMe4,9,False
MeTu4b,9,False
LTe64,8,False
Sm25,8,False
LCe09,8,False
LTe09,8,False
LC19,8,False
MTe53,8,False
LC34,7,False
Sm17,7,False
Li21,7,False
LC46,7,False
MTe07,7,False
Sm27,7,False
LPi03,6,False
LTe58,6,False
MTe09,6,False
LC41,6,False
LCe07,6,False
APDN3,6,False
MTe08,6,False
LC43,6,False
LC31b,5,False
Sm34,5,False
Sm29,5,False
PDt,5,False
LCe06,5,False
LPTe02,5,False
LTe68,5,False
LTe38a,4,False
cL03,4,False
LC39,4,False
VST2,4,False
MTe10,4,False
Li26,4,False
Li24,4,False
Dm17,4,False
LT81,4,False
LC35,4,False
LTe66,4,False
cL02a,4,False
LT70,4,False
Sm11,4,False
LTe43,4,False
LPT31,4,False
LT53,4,False
LT78,4,False
Sm24,4,False
LTe63,3,False
cL02b,3,False
LTe33,3,False
LPT23,3,False
cL18,3,False
MTe12,3,False
cM08a,3,False
LLPC4,3,False
LT38,3,False
cLLPM01,3,False
LT74,3,False
cM08c,3,False
aMe26,3,False
LTe49b,3,False
LTe65,3,False
MTe11,3,False
LTe01,3,False
cM04,3,False
LTe32,3,False
LT77,3,False
Sm43,3,False
cL02c,3,False
LTe49c,3,False
LT82,3,False
LatB,3,False
Sm36,3,False
MC65,3,False
Li20,3,False
Sm28,3,False
Sm35,3,False
cM03,3,False
cLLP02,2,False
LC44,2,False
LT63,2,False
LTe54,2,False
LC10f,2,False
LTe50,2,False
LTe49e,2,False
MTe13,2,False
aMe17c,2,False
LTe37,2,False
Pm13,2,False
cM08b,2,False
cL21,2,False
Sm38,2,False
MTe17,2,False
Li28,2,False
LT80,2,False
Nod1,2,False
Li25,2,False
PLP231,2,False
Li27,2,False
MTe16,2,False
Sm33,2,False
OA-AL2i2,2,False
mALC6,2,False
MTe18,2,False
cL04,2,False
LTe02,2,False
LT68,2,False
PLP174,2,False
CB2216,2,False
cM11,2,False
LT73,2,False
VST1,2,False
Pm14,2,False
LT64,2,False
LTe38b,2,False
LTe47,2,False
Sm40,2,False
DN1a,2,False
LPi14,2,False
s-CPDN3A,2,False
aMe17b,2,False
MTe14,2,False
Pm12,2,False
Li19,2,False
OA-AL2i3,2,False
LTe49a,2,False
LTe03,2,False
MTe15,2,False
LT43,2,False
aMe8,2,False
CB3089,2,False
aMe12,2,False
cM09,2,False
VSm,2,False
CB3790,2,False
PLP241,2,False
s-LNv,2,False
LTe67,2,False
aMe1,2,False
LTe59a,1,False
DCH,1,False
LTe49f,1,False
LTe76,1,False
OA-AL2i1,1,False
PLP032,1,False
cM15,1,False
MTe40,1,False
cL11,1,False
LTe17,1,False
MeTu4_unknown,1,False
LPT27,1,False
LT47,1,False
LT33,1,False
aMe6a,1,False
OA-AL2i4,1,False
LTe46,1,False
MTe32,1,False
aMe3,1,False
LTe74,1,False
LTe23,1,False
LT61a,1,False
cM05,1,False
H2,1,False
mALC4,1,False
cM19,1,False
MTe49,1,False
aMe22,1,False
cLP04,1,False
cM14,1,False
cM01b,1,False
LT85,1,False
cL22b,1,False
Li32,1,False
HSN,1,False
CB3238,1,False
LT34,1,False
LTe31,1,False
LT84,1,False
VCH,1,False
LTe62,1,False
LPT29,1,False
LTe08,1,False
MTe21,1,False
Lat,1,False
MTe22,1,False
CT1,1,False
PLP021,1,False
HSE,1,False
cL22a,1,False
CB2197,1,False
MTe23,1,False
cLPL01,1,False
Am1,1,False
LTe27,1,False
LT36,1,False
LT11,1,False
LPT49,1,False
LT76,1,False
MTe35,1,False
LT75,1,False
MTe28,1,False
CB2685,1,False
MTe38,1,False
vCal1,1,False
LC31c,1,False
LTe73,1,False
Li23,1,False
aMe17a1,1,False
LPT47_vCal2,1,False
VS2,1,False
LPT52,1,False
cL13,1,False
CB2848,1,False
DNpe053,1,False
cMLLP01,1,False
cLLPM02,1,False
LTe28,1,False
cL22c,1,False
LTe49d,1,False
cL15,1,False
VS6,1,False
Nod2,1,False
PLP215,1,False
LPT53,1,False
aMe24,1,False
cM16,1,False
LT41,1,False
LTe10,1,False
LTe21,1,False
LTe59b,1,False
mALB5,1,False
LTe25,1,False
MTe44,1,False
LT39,1,False
MTe27,1,False
PLP185,1,False
PLP251,1,False
LPi13,1,False
Nod5,1,False
CB3235,1,False
cL09,1,False
LTe56,1,False
LTe42c,1,False
LPT21,1,False
VS8,1,False
LTe14,1,False
LNd_CRY+_ITP+,1,False
MTe39,1,False
LTe12,1,False
cM12,1,False
LT58,1,False
MTe43,1,False
LT87,1,False
aMe25,1,False
cML01,1,False
LTe36,1,False
PLP069,1,False
MTe45,1,False
MTe26,1,False
cL05,1,False
LT1d,1,False
Sm37,1,False
Li29,1,False
LTe42b,1,False
LTe48,1,False
MTe34,1,False
MTe30,1,False
LTe16,1,False
cM10,1,False
LTe53,1,False
LT67,1,False
Li30,1,False
LT60,1,False
LPT51,1,False
PLP068,1,False
PLP155,1,False
DGI,1,False
LTe29,1,False
cL10,1,False
DN1-l,1,False
CB0230,1,False
LPT28,1,False
Sm39,1,False
cM02a,1,False
LTe20,1,False
LT59,1,False
LT1c,1,False
cL07,1,False
LTe04,1,False
LTe35,1,False
mALD2,1,False
LTe07,1,False
LTe42a,1,False
cLM01,1,False
MTe25,1,False
cM01c,1,False
LPT48_vCal3,1,False
cMLLP02,1,False
LTe18,1,False
cL08,1,False
aMe20,1,False
HSS,1,False
LT69,1,False
LPT54,1,False
AN_multi_124,1,False
Li31,1,False
cM17,1,False
LTe41,1,False
aMe6c,1,False
LTe55,1,False
LT37,1,False
PLP004,1,False
MTe20,1,False
CB2580,1,False
LT72,1,False
PLP177,1,False
5-HTPMPV01,1,False
LCe08,1,False
LTe57,1,False
LTe22,1,False
MTe42,1,False
cM06,1,False
LTe06,1,False
cM02b,1,False
LTe30,1,False
LPT30,1,False
cM07,1,False
LTe19,1,False
LT83,1,False
HBeyelet,1,False
CB0802,1,False
