time_s,dff_percent
0.000,-0.89
0.100,-0.89
0.200,-0.89
0.300,-0.89
0.400,-0.89
0.500,-0.89
0.600,-0.89
0.700,-0.89
0.800,-0.89
0.900,-0.89
1.000,-0.89
1.100,-0.89
1.200,-0.89
1.300,0.00
1.400,0.00
1.500,0.89
1.600,0.89
1.700,0.00
1.800,0.00
1.900,0.00
2.000,0.00
2.100,0.00
2.200,0.00
2.300,0.00
2.400,0.00
2.500,0.00
2.600,0.00
2.700,0.00
2.800,0.00
2.900,0.00
3.000,0.00
3.100,0.00
3.200,0.89
3.300,1.79
3.400,9.82
3.500,13.39
3.600,20.54
3.700,20.54
3.800,16.96
3.900,15.18
4.000,13.39
4.100,11.61
4.200,9.82
4.300,8.04
4.400,6.25
4.500,4.46
4.600,4.46
4.700,3.57
4.800,2.68
4.900,1.79
5.000,1.79
5.100,1.79
5.200,0.89
5.300,1.79
5.400,1.79
5.500,1.79
5.600,1.79
5.700,1.79
5.800,0.89
5.900,0.00
6.000,1.79
6.100,1.79
6.200,0.89
6.300,0.00
6.400,0.00
6.500,0.00
6.600,0.00
6.700,0.00
6.800,0.00
6.900,0.00
7.000,0.00
7.100,0.00
7.200,0.89
7.300,0.00
7.400,0.89
7.500,0.00
7.600,0.00
7.700,0.00
7.800,0.00
7.900,-0.89
8.000,-1.79
8.100,-1.79
8.200,-0.89
8.300,0.00
8.400,0.00
8.500,0.00
8.600,0.00
8.700,0.89
8.800,0.89
8.900,0.89
9.000,0.89
9.100,0.89
9.200,0.89
9.300,0.89
9.400,0.89
