time_s,dff_percent
0.000,0.00
0.100,0.00
0.200,0.00
0.300,0.00
0.400,0.00
0.500,0.00
0.600,0.00
0.700,0.00
0.800,0.00
0.900,0.00
1.000,-0.89
1.100,-0.89
1.200,-0.89
1.300,-0.89
1.400,0.00
1.500,0.89
1.600,-0.89
1.700,0.00
1.800,0.00
1.900,-0.89
2.000,-0.89
2.100,-0.89
2.200,-1.79
2.300,0.00
2.400,0.00
2.500,-0.89
2.600,-2.68
2.700,-1.79
2.800,-0.89
2.900,6.25
3.000,20.54
3.100,31.25
3.200,43.75
3.300,42.86
3.400,40.18
3.500,35.71
3.600,30.36
3.700,26.79
3.800,23.21
3.900,22.32
4.000,19.64
4.100,16.07
4.200,14.29
4.300,11.61
4.400,9.82
4.500,8.93
4.600,8.04
4.700,7.14
4.800,7.14
4.900,6.25
5.000,6.25
5.100,4.46
5.200,2.68
5.300,0.89
5.400,0.89
5.500,1.79
5.600,1.79
5.700,0.89
5.800,0.00
5.900,0.00
6.000,0.89
6.100,0.89
6.200,0.89
6.300,0.00
6.400,-1.79
6.500,-0.89
6.600,-0.89
6.700,-0.89
6.800,-0.89
6.900,0.89
7.000,0.89
7.100,-0.89
7.200,-0.89
7.300,-1.79
7.400,0.00
7.500,-0.89
7.600,-0.89
7.700,-0.89
7.800,0.00
7.900,-0.89
8.000,-1.79
8.100,-2.68
8.200,-3.57
8.300,-3.57
8.400,-3.57
8.500,-3.57
8.600,-3.57
8.700,-3.57
8.800,-3.57
8.900,-3.57
9.000,-3.57
9.100,-3.57
9.200,-3.57
9.300,-3.57
9.400,-3.57
