time_s,dff_percent
0.000,-0.89
0.100,-0.89
0.200,-0.89
0.300,-0.89
0.400,-0.89
0.500,-0.89
0.600,-0.89
0.700,-0.89
0.800,-0.89
0.900,-2.68
1.000,-2.68
1.100,-1.79
1.200,0.00
1.300,-0.89
1.400,-0.89
1.500,0.00
1.600,0.89
1.700,0.00
1.800,-0.89
1.900,0.00
2.000,0.00
2.100,-1.79
2.200,-0.89
2.300,-0.89
2.400,0.00
2.500,-0.89
2.600,-1.79
2.700,-0.89
2.800,0.00
2.900,-0.89
3.000,0.89
3.100,0.89
3.200,0.00
3.300,1.79
3.400,8.04
3.500,19.64
3.600,31.25
3.700,41.96
3.800,49.11
3.900,47.32
4.000,42.86
4.100,38.39
4.200,33.93
4.300,29.46
4.400,26.79
4.500,24.11
4.600,22.32
4.700,18.75
4.800,16.96
4.900,15.18
5.000,13.39
5.100,11.61
5.200,8.04
5.300,7.14
5.400,6.25
5.500,5.36
5.600,5.36
5.700,5.36
5.800,2.68
5.900,2.68
6.000,3.57
6.100,4.46
6.200,3.57
6.300,2.68
6.400,2.68
6.500,2.68
6.600,1.79
6.700,2.68
6.800,1.79
6.900,0.89
7.000,0.89
7.100,0.89
7.200,0.00
7.300,0.00
7.400,0.00
7.500,-0.89
7.600,0.00
7.700,0.89
7.800,0.89
7.900,0.89
8.000,1.79
8.100,1.79
8.200,0.00
8.300,-1.79
8.400,-0.89
8.500,-0.89
8.600,-0.89
8.700,-0.89
8.800,-0.89
8.900,-0.89
9.000,-0.89
9.100,-0.89
9.200,-0.89
9.300,-0.89
9.400,-0.89
