time_s,dff_percent
0.000,0.00
0.100,0.00
0.200,0.00
0.300,0.00
0.400,0.00
0.500,0.00
0.600,0.00
0.700,0.00
0.800,0.00
0.900,0.00
1.000,0.00
1.100,0.00
1.200,0.00
1.300,0.00
1.400,0.89
1.500,0.89
1.600,0.00
1.700,-1.79
1.800,-1.79
1.900,-0.89
2.000,-1.79
2.100,-1.79
2.200,-1.79
2.300,-2.68
2.400,-2.68
2.500,-2.68
2.600,-1.79
2.700,0.00
2.800,-0.89
2.900,-2.68
3.000,-2.68
3.100,-1.79
3.200,-0.89
3.300,-0.89
3.400,-0.89
3.500,0.00
3.600,0.89
3.700,3.57
3.800,10.71
3.900,18.75
4.000,27.68
4.100,33.04
4.200,38.39
4.300,37.50
4.400,36.61
4.500,35.71
4.600,31.25
4.700,28.57
4.800,22.32
4.900,19.64
5.000,16.96
5.100,16.07
5.200,12.50
5.300,11.61
5.400,8.93
5.500,6.25
5.600,4.46
5.700,5.36
5.800,5.36
5.900,5.36
6.000,4.46
6.100,5.36
6.200,4.46
6.300,4.46
6.400,2.68
6.500,1.79
6.600,2.68
6.700,3.57
6.800,3.57
6.900,0.89
7.000,-0.89
7.100,-0.89
7.200,0.89
7.300,2.68
7.400,0.89
7.500,0.89
7.600,2.68
7.700,2.68
7.800,1.79
7.900,0.89
8.000,-0.89
8.100,-0.89
8.200,-0.89
8.300,-0.89
8.400,0.89
8.500,0.89
8.600,-0.89
8.700,-1.79
8.800,-1.79
8.900,-1.79
9.000,-1.79
9.100,-1.79
9.200,-1.79
9.300,-1.79
9.400,-1.79
