time_s,dff_percent
0.000,-2.68
0.100,-2.68
0.200,-2.68
0.300,-2.68
0.400,-2.68
0.500,-2.68
0.600,-2.68
0.700,-2.68
0.800,-2.68
0.900,-2.68
1.000,-2.68
1.100,-2.68
1.200,-2.68
1.300,-2.68
1.400,-2.68
1.500,-3.57
1.600,-3.57
1.700,-3.57
1.800,-3.57
1.900,-3.57
2.000,-3.57
2.100,-3.57
2.200,-2.68
2.300,-3.57
2.400,-3.57
2.500,-2.68
2.600,-2.68
2.700,-1.79
2.800,-2.68
2.900,-2.68
3.000,-3.57
3.100,-3.57
3.200,-3.57
3.300,-2.68
3.400,8.93
3.500,16.96
3.600,39.29
3.700,49.11
3.800,56.25
3.900,56.25
4.000,52.68
4.100,49.11
4.200,45.54
4.300,42.86
4.400,40.18
4.500,37.50
4.600,33.93
4.700,30.36
4.800,25.89
4.900,25.00
5.000,22.32
5.100,19.64
5.200,18.75
5.300,17.86
5.400,15.18
5.500,13.39
5.600,12.50
5.700,12.50
5.800,10.71
5.900,8.93
6.000,8.93
6.100,8.93
6.200,8.04
6.300,7.14
6.400,6.25
6.500,5.36
6.600,4.46
6.700,3.57
6.800,5.36
6.900,3.57
7.000,3.57
7.100,3.57
7.200,3.57
7.300,3.57
7.400,2.68
7.500,1.79
7.600,1.79
7.700,1.79
7.800,0.89
7.900,0.00
8.000,0.00
8.100,0.89
8.200,0.00
8.300,0.00
8.400,0.00
8.500,0.89
8.600,0.00
8.700,0.00
8.800,0.00
8.900,0.00
9.000,0.00
9.100,0.00
9.200,0.00
9.300,0.00
9.400,0.00
