time_s,dff_percent
0.000,1.79
0.100,1.79
0.200,1.79
0.300,1.79
0.400,1.79
0.500,1.79
0.600,1.79
0.700,1.79
0.800,1.79
0.900,0.89
1.000,-0.89
1.100,-0.89
1.200,0.00
1.300,-0.89
1.400,-0.89
1.500,-0.89
1.600,0.00
1.700,0.00
1.800,-0.89
1.900,-0.89
2.000,-0.89
2.100,-0.89
2.200,-0.89
2.300,-0.89
2.400,0.00
2.500,-0.89
2.600,-0.89
2.700,0.00
2.800,0.89
2.900,-0.89
3.000,0.00
3.100,0.00
3.200,0.89
3.300,0.89
3.400,1.79
3.500,6.25
3.600,8.04
3.700,9.82
3.800,9.82
3.900,9.82
4.000,9.82
4.100,8.04
4.200,6.25
4.300,5.36
4.400,4.46
4.500,4.46
4.600,3.57
4.700,2.68
4.800,2.68
4.900,2.68
5.000,1.79
5.100,0.89
5.200,0.89
5.300,0.89
5.400,0.89
5.500,0.89
5.600,0.89
5.700,0.89
5.800,0.00
5.900,0.89
6.000,0.89
6.100,0.89
6.200,0.00
6.300,0.89
6.400,0.89
6.500,0.89
6.600,0.00
6.700,-0.89
6.800,-0.89
6.900,-0.89
7.000,-0.89
7.100,-0.89
7.200,-0.89
7.300,-0.89
7.400,0.00
7.500,-0.89
7.600,-0.89
7.700,-1.79
7.800,-0.89
7.900,-0.89
8.000,-0.89
8.100,-0.89
8.200,-0.89
8.300,-0.89
8.400,-0.89
8.500,-0.89
8.600,-0.89
8.700,-0.89
8.800,-0.89
8.900,-0.89
9.000,-0.89
9.100,-0.89
9.200,-0.89
9.300,-0.89
9.400,-0.89
