figure_panel,cell_type,polarity,speed_dps,dff_percent,filled
2E,LC18,bright,25.0,12.1,0
2E,LC18,bright,50.0,29.3,0
2E,LC18,bright,100.0,81.0,0
2E,LC18,bright,200.0,84.5,0
2E,LC18,bright,400.0,62.1,0
2E,LC18,bright,800.0,17.2,0
2E,LC18,dark,25.0,10.3,0
2E,LC18,dark,50.0,12.1,0
2E,LC18,dark,100.0,63.8,0
2E,LC18,dark,200.0,91.4,0
2E,LC18,dark,400.0,94.8,0
2E,LC18,dark,800.0,60.3,0
2F,LC18,bright,25.0,15.5,0
2F,LC18,bright,100.0,19.0,0
2F,LC18,dark,25.0,1.7,0
2F,LC18,dark,100.0,19.0,1
2E,LC21,bright,25.0,91.4,0
2E,LC21,bright,50.0,103.4,0
2E,LC21,bright,100.0,74.1,0
2E,LC21,bright,200.0,46.6,0
2E,LC21,bright,400.0,25.9,0
2E,LC21,bright,800.0,6.9,0
2E,LC21,dark,25.0,29.3,0
2E,LC21,dark,50.0,56.9,0
2E,LC21,dark,100.0,79.3,0
2E,LC21,dark,200.0,46.6,0
2E,LC21,dark,400.0,39.7,0
2E,LC21,dark,800.0,36.2,0
2F,LC21,bright,25.0,17.2,0
2F,LC21,bright,100.0,8.6,0
2F,LC21,dark,25.0,34.5,0
2F,LC21,dark,100.0,12.1,0
2E,LC11,bright,25.0,64.4,0
2E,LC11,bright,50.0,89.8,0
2E,LC11,bright,100.0,71.2,0
2E,LC11,bright,200.0,55.9,0
2E,LC11,bright,400.0,15.3,0
2E,LC11,bright,800.0,5.1,0
2E,LC11,dark,25.0,72.9,0
2E,LC11,dark,50.0,74.6,0
2E,LC11,dark,100.0,94.9,0
2E,LC11,dark,200.0,93.2,0
2E,LC11,dark,400.0,55.9,0
2E,LC11,dark,800.0,10.2,0
2F,LC11,bright,25.0,35.6,0
2F,LC11,bright,100.0,13.6,0
2F,LC11,dark,25.0,49.2,0
2F,LC11,dark,100.0,27.1,0
2E,LC25,bright,25.0,81.4,0
2E,LC25,bright,50.0,69.5,0
2E,LC25,bright,100.0,62.7,0
2E,LC25,bright,200.0,55.9,0
2E,LC25,bright,400.0,40.7,0
2E,LC25,bright,800.0,15.3,0
2E,LC25,dark,25.0,84.7,0
2E,LC25,dark,50.0,81.4,0
2E,LC25,dark,100.0,81.4,0
2E,LC25,dark,200.0,67.8,0
2E,LC25,dark,400.0,50.8,0
2E,LC25,dark,800.0,40.7,0
2F,LC25,bright,25.0,16.9,0
2F,LC25,bright,100.0,13.6,0
2F,LC25,dark,25.0,45.8,0
2F,LC25,dark,100.0,16.9,0
2E,LC15,bright,25.0,81.4,0
2E,LC15,bright,50.0,72.9,0
2E,LC15,bright,100.0,59.3,0
2E,LC15,bright,200.0,52.5,0
2E,LC15,bright,400.0,35.6,0
2E,LC15,bright,800.0,8.5,0
2E,LC15,dark,25.0,91.5,0
