neuron_type,gNa,gK,gLeak,eNa,eK,eLeak
L1,0.009938881345599344,0.0024537025599925973,0.0017701417491537306,48.056937723814556,-77.10820900110997,-40.67063386383067
L3,0.003895164953553405,0.002182043345108286,0.001795696561798491,49.234803243786594,-77.0412689370272,-52.101334851927504
L4,0.00452087462672421,0.0018639176589877887,0.0015804303645794683,51.16576993208562,-77.02310253463253,-50.171113121457026
L5,0.009805358982895357,0.0014124475695075575,0.001424376967249201,46.5918343478664,-76.52897675266901,-43.24106053283288
Mi1,0.007376989870476639,0.0018976890700529837,0.0020552872130119226,49.29895599521039,-76.78504558073982,-45.287320403029035
Mi4,0.0019570570968613604,0.0016540399504681278,0.0012927635545186905,51.0442283153927,-76.88841890957124,-50.46237875609874
Mi9,0.0011013071337720773,0.0013601236820972554,0.0015328734551006847,48.889374502715405,-76.46991849194707,-47.77636431337594
R1-6,0.002950938943238269,0.0022950487271142105,0.002869807466880155,49.48416192045872,-77.28838873382774,-44.95045825764495
R7,0.0038246566549325956,0.00197915406584884,0.001746037854407798,49.0450655910691,-77.16645153721342,-42.27800093359351
R8,0.003,0.0015999999999999999,0.0014,50.0,-77.0,-49.0
T4a,0.0028087647009152747,0.0018013803221445712,0.0022300051980526634,50.38824927556338,-77.49646356995078,-51.11281007722988
Tm3,0.008054436579657898,0.0011683712880765462,0.0021323781377997806,51.632077098797,-76.9441026597331,-47.22561697145493
