pre_type,post_type,n_edges,syn_count_mean,gS_mS_cm2_mean,e_syn_mV_mean,v_th_mV_mean,k_minus_mean,delta_mV_mean,pre_baseline_mV_mean,post_baseline_mV_mean,s_inf_baseline_mean,s_inf_baseline_median,tau_s_baseline_ms_mean
L1,Mi1,811,121.50678,0.49999997,-70.0,-45.0,0.08,4.0,-35.298706,-50.25644,0.7834935794086518,0.8162894180437876,2.7063303178830473
L1,Tm3,3385,20.247562,0.3000001,-70.0,-45.0,0.1,4.0,-34.924248,-52.474735,0.7875243484111739,0.816093981373431,2.124756484226922
L3,Mi1,748,18.779411,0.3000001,0.0,-45.0,0.14,3.0,-35.898415,-50.75534,0.7491815426404839,0.8100894311008222,1.7915604020833067
L3,Mi9,883,61.770103,0.3000001,0.0,-45.0,0.12,3.0,-36.016506,-51.379025,0.7469387143047077,0.8100539353444827,2.1088440945971074
L5,L1,795,33.397484,0.20000006,0.0,-45.0,0.1,4.0,-41.51378,-35.23714,0.5738776163215968,0.6849192696046686,4.261223773286849
L5,Mi1,993,38.210472,0.49999997,0.0,-45.0,0.1,4.0,-41.37756,-50.28829,0.5762633650301231,0.6849192696046686,4.2373662865570925
L5,Tm3,3144,13.572519,0.49999997,0.0,-45.0,0.1,4.0,-41.117683,-52.219948,0.5789623822439735,0.6849192696046686,4.210376114820773
Mi1,T4a,2655,16.2,0.39999995,0.0,-48.0,0.18,3.8,-50.088814,-56.259693,0.2581548859760472,0.07274952962529804,4.12136158080932
Mi4,T4a,609,7.357964,8.0,-72.0,-55.0,0.030000001,3.2,-53.69637,-56.59024,0.34038151384480775,0.17928541006363702,21.987283363293823
Mi9,T4a,787,8.559085,1.9999999,-70.0,-40.0,0.029999997,3.5,-51.54969,-56.53427,0.11264619044642168,0.01019349298462429,29.578460979582733
R1-6,L1,3422,42.49211,1.1999998,-72.0,-56.0,0.1,3.0,-60.572464,-35.04245,0.30867634220913914,0.001004254291920417,6.913236474893357
R1-6,L3,3203,24.514517,0.74999994,-72.0,-56.0,0.10000001,3.0,-60.598503,-36.1035,0.3068928682328251,0.0010212754923054023,6.93107121439074
R8,L1,678,7.4705014,0.14999998,-72.0,-60.0,0.1,3.0,-56.033348,-34.966175,0.35245126509501157,0.10186368916721883,6.475487252557605
Tm3,T4a,1308,7.66896,0.3000001,0.0,-44.0,0.3,3.2,-52.38882,-56.522865,0.14552932527026513,0.013276076625516268,2.8482354692537406
