pre_idx,post_idx,pre_type,post_type,pre_root_id,post_root_id,syn_count,gS_mS_cm2,e_syn_mV,v_th_mV,k_minus,delta_mV,pre_baseline_mV,post_baseline_mV,s_inf_baseline,tau_s_baseline_ms,pair,is_r16_output
47184,24864,L5,Tm3,720575940660249985,720575940625877808,10.0,0.49999997,0.0,-45.0,0.1,4.0,-62.85092,-57.063927,0.011399392093880785,9.886005931748224,"('L5', 'Tm3')",False
39728,12348,Tm3,T4a,720575940635144372,720575940618774848,6.0,0.3000001,0.0,-44.0,0.3,3.2,-51.452938,-60.423985,0.08874601031596537,3.0375131782468525,"('Tm3', 'T4a')",False
4197,8270,L3,Mi1,720575940612010865,720575940615702621,15.0,0.3000001,0.0,-45.0,0.14,3.0,-1.6214594,-58.366478,0.9999994748144361,3.751325440647082e-06,"('L3', 'Mi1')",False
33194,4056,L1,Tm3,720575940630314839,720575940611839893,17.0,0.3000001,-70.0,-45.0,0.1,4.0,-33.633583,-51.945045,0.9448830702542944,0.5511692892439934,"('L1', 'Tm3')",False
30776,4622,Mi9,T4a,720575940628868603,720575940612437966,9.0,1.9999999,-70.0,-40.0,0.03,3.5,-57.802803,-61.85878,0.006141566596160227,33.12861518727691,"('Mi9', 'T4a')",False
23870,8778,Mi1,T4a,720575940625223954,720575940616165738,6.0,0.39999995,0.0,-48.0,0.18,3.8,-58.212734,-2.5741363,0.06371131200610224,5.201603615495164,"('Mi1', 'T4a')",False
1919,32753,R1-6,L3,720575940608310402,720575940630066176,9.0,0.74999994,-72.0,-56.0,0.1,3.0,-78.001076,-40.654346,0.0006527312684173282,9.99347253840148,"('R1-6', 'L3')",True
5942,41212,L5,Tm3,720575940613591533,720575940636888206,17.0,0.49999997,0.0,-45.0,0.1,4.0,-1.678535,-49.330914,0.9999802110310893,0.00019788968615871383,"('L5', 'Tm3')",False
26430,18921,Mi9,T4a,720575940626802224,720575940622581395,11.0,1.9999999,-70.0,-40.0,0.03,3.5,-30.364258,-59.9965,0.9400864538365121,1.9971182500886673,"('Mi9', 'T4a')",False
27442,19366,R8,L1,720575940627225274,720575940622808745,10.0,0.14999998,-72.0,-60.0,0.1,3.0,-0.2052623,-0.12757437,0.9999999977928851,2.207114902371249e-08,"('R8', 'L1')",False
22756,34888,Tm3,T4a,720575940624569276,720575940631251919,7.0,0.3000001,0.0,-44.0,0.3,3.2,-57.003937,-60.46279,0.016894468476836164,3.277018308193538,"('Tm3', 'T4a')",False
27887,20362,L1,Tm3,720575940627423251,720575940623322637,8.0,0.3000001,-70.0,-45.0,0.1,4.0,-39.048084,-58.51024,0.8157747319862348,1.8422526526859477,"('L1', 'Tm3')",False
44625,43284,L5,Tm3,720575940641785589,720575940639558197,8.0,0.49999997,0.0,-45.0,0.1,4.0,-41.89411,-58.510273,0.6849192696046686,3.1508072570026266,"('L5', 'Tm3')",False
45457,35317,Mi1,T4a,720575940644639904,720575940631507287,17.0,0.39999995,0.0,-48.0,0.18,3.8,-55.690746,-60.42399,0.1167183104509859,4.907120302503081,"('Mi1', 'T4a')",False
15576,14420,Mi4,T4a,720575940620896289,720575940620326929,5.0,7.9999995,-72.0,-55.0,0.03,3.2,-60.481377,-59.521973,0.15278404516892816,28.240532458927483,"('Mi4', 'T4a')",False
4994,23213,R1-6,L1,720575940612747889,720575940624826343,35.0,1.1999998,-72.0,-56.0,0.1,3.0,-0.65564406,-39.04812,0.999999990270645,9.729354843351701e-08,"('R1-6', 'L1')",True
37309,25420,Tm3,T4a,720575940632783160,720575940626218877,8.0,0.3000001,0.0,-44.0,0.3,3.2,-58.510265,-60.423965,0.010618757817917858,3.297937342892018,"('Tm3', 'T4a')",False
37644,28890,L1,Mi1,720575940633013807,720575940627928698,71.0,0.49999997,-70.0,-45.0,0.08,4.0,-36.18691,-56.732803,0.9005430275127932,1.243212183878042,"('L1', 'Mi1')",False
37602,25212,R1-6,L3,720575940632978223,720575940626081724,26.0,0.74999994,-72.0,-56.0,0.1,3.0,-75.73346,-17.830067,0.0013889464649472858,9.986110386545887,"('R1-6', 'L3')",True
28515,27887,R1-6,L1,720575940627752600,720575940627423251,49.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.66343,-39.048084,0.0007304323139261129,9.992695527957972,"('R1-6', 'L1')",True
27083,32016,R1-6,L1,720575940627086436,720575940629649411,43.0,1.1999998,-72.0,-56.0,0.1,3.0,-75.09369,-38.6946,0.0017185351208308295,9.982814500036163,"('R1-6', 'L1')",True
13144,1100,L5,L1,720575940619463046,720575940606524802,36.0,0.20000006,0.0,-45.0,0.1,4.0,-65.70122,-70.18585,0.005622701589029212,9.943772835935945,"('L5', 'L1')",False
9917,45841,Mi4,T4a,720575940617102348,720575940645617262,5.0,7.9999995,-72.0,-55.0,0.03,3.2,-59.638416,-59.692684,0.1900777367941349,26.997409376967962,"('Mi4', 'T4a')",False
38762,38416,R1-6,L1,720575940633950675,720575940633663917,44.0,1.1999998,-72.0,-56.0,0.1,3.0,-77.51054,-39.003452,0.0007685939309601495,9.992313911793318,"('R1-6', 'L1')",True
23508,40855,L5,Mi1,720575940624997619,720575940636425870,63.0,0.49999997,0.0,-45.0,0.1,4.0,-63.865196,-60.022682,0.008868873536949151,9.911311116940464,"('L5', 'Mi1')",False
4597,2167,R1-6,L3,720575940612413298,720575940608846275,14.0,0.74999994,-72.0,-56.0,0.1,3.0,-35.536137,-40.64291,0.9989108713925491,0.010891285912216369,"('R1-6', 'L3')",True
18332,2963,L3,Mi1,720575940622267370,720575940610277956,15.0,0.3000001,0.0,-45.0,0.14,3.0,-39.83102,-59.17819,0.8485139829657586,1.0820429742092392,"('L3', 'Mi1')",False
25941,35709,Mi1,T4a,720575940626525982,720575940631767436,7.0,0.39999995,0.0,-48.0,0.18,3.8,-57.969162,-58.91785,0.06764352273286603,5.179758001214543,"('Mi1', 'T4a')",False
34128,1972,Mi1,T4a,720575940630827339,720575940608391691,11.0,0.39999995,0.0,-48.0,0.18,3.8,-58.078934,-58.902782,0.06584426225956734,5.189753892335668,"('Mi1', 'T4a')",False
10930,44948,L5,Tm3,720575940617838310,720575940642878772,12.0,0.49999997,0.0,-45.0,0.1,4.0,-65.351006,-58.510273,0.0061340241598335605,9.938659610304095,"('L5', 'Tm3')",False
724,3775,Mi9,T4a,720575940605806624,720575940611509966,9.0,1.9999999,-70.0,-40.0,0.03,3.5,-46.691933,-60.42398,0.12875849156576352,29.04138426360007,"('Mi9', 'T4a')",False
4002,26776,Mi1,T4a,720575940611778290,720575940626951877,7.0,0.39999995,0.0,-48.0,0.18,3.8,-55.236153,-60.423965,0.12962812898355858,4.835399091283178,"('Mi1', 'T4a')",False
45878,25420,Mi9,T4a,720575940645704983,720575940626218877,6.0,1.9999999,-70.0,-40.0,0.03,3.5,-56.015236,-60.423965,0.010193271812234507,32.99355834372235,"('Mi9', 'T4a')",False
8817,21514,L5,Mi1,720575940616196063,720575940623948432,49.0,0.49999997,0.0,-45.0,0.1,4.0,-41.89411,-56.332485,0.6849192696046686,3.1508072570026266,"('L5', 'Mi1')",False
30006,19180,L3,Mi9,720575940628460548,720575940622718166,79.0,0.3000001,0.0,-45.0,0.12,3.0,-40.604946,-56.015236,0.8122989492781831,1.5641754576438531,"('L3', 'Mi9')",False
2453,700,R1-6,L1,720575940609361756,720575940605774014,42.0,1.1999998,-72.0,-56.0,0.1,3.0,-76.017845,-39.04808,0.001263487696456952,9.987364974212095,"('R1-6', 'L1')",True
1513,32919,Mi4,T4a,720575940607382146,720575940630175488,5.0,7.9999995,-72.0,-55.0,0.03,3.2,-60.365723,-59.571365,0.15752122082190975,28.082626600298624,"('Mi4', 'T4a')",False
16321,9399,Mi1,T4a,720575940621269603,720575940616695835,12.0,0.39999995,0.0,-48.0,0.18,3.8,-53.40959,-60.423985,0.1941014646703092,4.477213907256453,"('Mi1', 'T4a')",False
38932,14328,L1,Tm3,720575940634193815,720575940620272263,34.0,0.3000001,-70.0,-45.0,0.1,4.0,-53.988365,-57.53744,0.0956006554529497,9.0439933107045,"('L1', 'Tm3')",False
14724,33896,L5,Mi1,720575940620506827,720575940630720204,47.0,0.49999997,0.0,-45.0,0.1,4.0,-65.15539,-4.678314,0.006439481441734022,9.935605037530607,"('L5', 'Mi1')",False
3051,38769,Mi1,T4a,720575940610460402,720575940633963181,8.0,0.39999995,0.0,-48.0,0.18,3.8,-58.04735,-59.344433,0.06635729595740278,5.186903705238727,"('Mi1', 'T4a')",False
25029,14954,L3,Mi9,720575940625971642,720575940620613103,58.0,0.3000001,0.0,-45.0,0.12,3.0,-56.95543,-59.321163,0.018250513048527844,8.181245907460697,"('L3', 'Mi9')",False
6719,31944,L1,Mi1,720575940614371490,720575940629588891,142.0,0.49999997,-70.0,-45.0,0.08,4.0,-39.171757,-57.818233,0.811082717431015,2.3614660848951927,"('L1', 'Mi1')",False
33032,21692,L5,L1,720575940630227303,720575940624026762,20.0,0.20000006,0.0,-45.0,0.1,4.0,-0.07161844,-1.2178153,0.9999867578942991,0.00013242105503538624,"('L5', 'L1')",False
22235,5427,L3,Mi1,720575940624291464,720575940613102053,5.0,0.3000001,0.0,-45.0,0.14,3.0,-0.46957543,-58.366543,0.9999996422658485,2.555243928576374e-06,"('L3', 'Mi1')",False
41395,32870,Tm3,T4a,720575940637139312,720575940630147781,5.0,0.3000001,0.0,-44.0,0.3,3.2,-58.510136,-60.423985,0.010619183671319933,3.297935923380734,"('Tm3', 'T4a')",False
3773,22301,L1,Mi1,720575940611508942,720575940624322341,139.0,0.49999997,-70.0,-45.0,0.08,4.0,-34.40964,-58.366,0.9338622767225488,0.8267215594468063,"('L1', 'Mi1')",False
