idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,R1,0.100000,4.025278,41.508276,4.692317,-49.157847,-0.204681,-53.302841
1,R2,0.100000,4.118878,41.508276,4.693753,-49.157847,-0.204681,-53.302841
2,R3,0.100000,4.093945,41.508276,4.690657,-49.157847,-0.204681,-53.302841
3,R4,0.100000,4.100159,41.508276,4.690213,-49.157847,-0.204681,-53.302841
4,R5,0.100000,4.131237,41.508276,4.690590,-49.157847,-0.204681,-53.302841
5,R6,0.100000,4.036643,41.508276,4.690718,-49.157847,-0.204681,-53.302841
6,R7,0.100000,0.100000,45.399577,4.698186,-49.157847,-0.204681,-53.302841
7,R8,0.100000,2.072136,43.458953,4.694050,-49.157847,-0.204681,-53.302841
8,L1,1.523866,0.706793,52.511058,4.971777,-49.157847,-0.204681,-53.302841
9,L2,1.748961,0.229388,54.687137,4.828934,-49.157847,-0.204681,-53.302841
10,L3,3.538499,0.100000,3.056027,4.283232,-49.157847,-0.204681,-53.302841
11,L4,0.934894,0.324604,0.000000,5.005516,-49.157847,-0.204681,-53.302841
12,L5,0.485083,0.100000,46.324750,0.000000,-49.157847,-0.204681,-53.302841
13,Lawf1,1.207292,1.132176,0.000000,1.000000,-49.157847,-0.204681,-53.302841
14,Lawf2,0.100000,2.680985,0.000000,1.000000,-49.157847,-0.204681,-53.302841
15,Am,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
16,C2,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
17,C3,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
18,CT1(Lo1),0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
19,CT1(M10),0.237029,0.235809,0.000000,1.000000,-49.157847,-0.204681,-53.302841
20,Mi1,2.181098,0.100000,0.000000,5.202459,-49.157847,-0.204681,-53.302841
21,Mi2,0.493050,0.534382,0.000000,1.000000,-49.157847,-0.204681,-53.302841
22,Mi3,2.426706,2.526633,0.000000,1.000000,-49.157847,-0.204681,-53.302841
23,Mi4,0.100000,0.100000,0.000000,0.000000,-49.157847,-0.204681,-53.302841
24,Mi9,2.999038,0.755263,0.000000,5.202218,-49.157847,-0.204681,-53.302841
25,Mi10,0.427043,0.586435,0.000000,1.000000,-49.157847,-0.204681,-53.302841
26,Mi11,0.522244,0.415808,0.000000,1.000000,-49.157847,-0.204681,-53.302841
27,Mi12,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
28,Mi13,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
29,Mi14,2.841578,2.927499,0.000000,1.000000,-49.157847,-0.204681,-53.302841
30,Mi15,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
31,T1,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
32,T2,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
33,T2a,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
34,T3,1.080028,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
35,T4a,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
36,T4b,1.823145,1.874491,0.000000,1.000000,-49.157847,-0.204681,-53.302841
37,T4c,0.692113,0.459831,0.000000,1.000000,-49.157847,-0.204681,-53.302841
38,T4d,1.869044,2.138657,0.000000,1.000000,-49.157847,-0.204681,-53.302841
39,T5a,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
40,T5b,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
41,T5c,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
42,T5d,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
43,Tm1,0.132164,1.383431,0.000000,5.009835,-49.157847,-0.204681,-53.302841
44,Tm2,0.100000,1.203217,0.000000,4.443270,-49.157847,-0.204681,-53.302841
45,Tm3,2.330986,1.141657,0.000000,4.974340,-49.157847,-0.204681,-53.302841
46,Tm4,1.379644,0.100000,0.000000,4.702616,-49.157847,-0.204681,-53.302841
47,Tm5Y,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
48,Tm5a,0.596602,0.502499,0.000000,1.000000,-49.157847,-0.204681,-53.302841
49,Tm5b,0.552193,0.460202,0.000000,1.000000,-49.157847,-0.204681,-53.302841
50,Tm5c,3.899256,4.180528,0.000000,1.000000,-49.157847,-0.204681,-53.302841
51,Tm9,3.453942,0.185307,0.000000,5.260085,-49.157847,-0.204681,-53.302841
52,Tm16,0.408212,0.548845,0.000000,1.000000,-49.157847,-0.204681,-53.302841
53,Tm20,0.320542,3.673473,0.000000,1.000000,-49.157847,-0.204681,-53.302841
54,Tm28,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
55,Tm30,0.558007,0.553618,0.000000,1.000000,-49.157847,-0.204681,-53.302841
56,TmY3,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
57,TmY4,0.509711,0.457883,0.000000,1.000000,-49.157847,-0.204681,-53.302841
58,TmY5a,0.205202,0.196283,0.000000,1.000000,-49.157847,-0.204681,-53.302841
59,TmY9,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
60,TmY10,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
61,TmY13,2.357667,2.358600,0.000000,1.000000,-49.157847,-0.204681,-53.302841
62,TmY14,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
63,TmY15,0.314327,1.871632,0.000000,1.000000,-49.157847,-0.204681,-53.302841
64,TmY18,0.100000,0.100000,0.000000,1.000000,-49.157847,-0.204681,-53.302841
