panel,cell,time_s,amplitude
4B,Mi1,0.0,0.005805515239477504
4B,Mi1,0.0030800821355236874,0.002902757619738752
4B,Mi1,0.006160164271047375,0.002902757619738752
4B,Mi1,0.00924024640657084,0.002902757619738752
4B,Mi1,0.012320328542094527,0.002902757619738752
4B,Mi1,0.015400410677618215,0.002902757619738752
4B,Mi1,0.01848049281314168,0.002902757619738752
4B,Mi1,0.021560574948665368,0.002902757619738752
4B,Mi1,0.024640657084189055,0.0043541364296081275
4B,Mi1,0.02772073921971252,0.0043541364296081275
4B,Mi1,0.030800821355236208,0.0043541364296081275
4B,Mi1,0.033880903490759895,0.008708272859216255
4B,Mi1,0.03696098562628336,0.008708272859216255
4B,Mi1,0.04004106776180705,0.008708272859216255
4B,Mi1,0.043121149897330735,0.011611030478955007
4B,Mi1,0.0462012320328542,0.011611030478955007
4B,Mi1,0.04928131416837789,0.011611030478955007
4B,Mi1,0.052361396303901575,0.013062409288824383
4B,Mi1,0.05544147843942504,0.01451378809869376
4B,Mi1,0.05852156057494873,0.015965166908563134
4B,Mi1,0.061601642710472415,0.01741654571843251
4B,Mi1,0.06468172484599588,0.018867924528301886
4B,Mi1,0.06776180698151957,0.020319303338171262
4B,Mi1,0.07084188911704326,0.01741654571843251
4B,Mi1,0.07392197125256672,0.020319303338171262
4B,Mi1,0.07700205338809041,0.023222060957910014
4B,Mi1,0.0800821355236141,0.02467343976777939
4B,Mi1,0.08316221765913756,0.027576197387518143
4B,Mi1,0.08624229979466125,0.030478955007256895
4B,Mi1,0.08932238193018494,0.03483309143686502
4B,Mi1,0.0924024640657084,0.03773584905660377
4B,Mi1,0.09548254620123209,0.040638606676342524
4B,Mi1,0.09856262833675578,0.04644412191582003
4B,Mi1,0.10164271047227924,0.05660377358490566
4B,Mi1,0.10472279260780293,0.06095791001451379
4B,Mi1,0.10780287474332662,0.06531204644412192
4B,Mi1,0.11088295687885008,0.07256894049346879
4B,Mi1,0.11396303901437377,0.07982583454281568
4B,Mi1,0.11704312114989746,0.08853410740203194
4B,Mi1,0.12012320328542092,0.09579100145137881
4B,Mi1,0.12320328542094461,0.10449927431059507
4B,Mi1,0.1262833675564683,0.11465892597968069
4B,Mi1,0.12936344969199176,0.12481857764876633
4B,Mi1,0.13244353182751545,0.1378809869375907
4B,Mi1,0.13552361396303914,0.14949201741654572
4B,Mi1,0.1386036960985626,0.1625544267053701
4B,Mi1,0.1416837782340863,0.1741654571843251
4B,Mi1,0.14476386036960998,0.18867924528301888
4B,Mi1,0.14784394250513344,0.20609579100145137
4B,Mi1,0.15092402464065713,0.22351233671988388
4B,Mi1,0.15400410677618082,0.23947750362844702
4B,Mi1,0.15708418891170428,0.25689404934687954
4B,Mi1,0.16016427104722797,0.2757619738751814
4B,Mi1,0.16324435318275166,0.29753265602322204
4B,Mi1,0.16632443531827512,0.3178519593613933
4B,Mi1,0.1694045174537988,0.34252539912917274
4B,Mi1,0.1724845995893225,0.3671988388969521
4B,Mi1,0.17556468172484596,0.3904208998548621
4B,Mi1,0.17864476386036965,0.41364296081277213
4B,Mi1,0.18172484599589334,0.43831640058055155
4B,Mi1,0.1848049281314168,0.4644412191582003
4B,Mi1,0.1878850102669405,0.49056603773584906
4B,Mi1,0.19096509240246418,0.5152394775036284
4B,Mi1,0.19404517453798764,0.5413642960812772
