cell,time_s,amplitude
L1,-0.146,-0.007407407407407408
L1,-0.145,-0.007407407407407408
L1,-0.144,-0.007407407407407408
L1,-0.143,-0.007407407407407408
L1,-0.142,-0.007407407407407408
L1,-0.141,-0.007407407407407408
L1,-0.13999999999999999,-0.007407407407407408
L1,-0.13899999999999998,-0.007407407407407408
L1,-0.13799999999999998,-0.006822222222222227
L1,-0.13699999999999998,-0.0062333333333333164
L1,-0.13599999999999998,-0.005644444444444406
L1,-0.13499999999999998,-0.0050555555555554955
L1,-0.13399999999999998,-0.004466666666666586
L1,-0.13299999999999998,-0.0038777777777776754
L1,-0.13199999999999998,-0.003703703703703704
L1,-0.13099999999999998,-0.003703703703703704
L1,-0.12999999999999998,-0.003703703703703704
L1,-0.12899999999999998,-0.003703703703703704
L1,-0.12799999999999997,-0.003703703703703704
L1,-0.12699999999999997,-0.003703703703703704
L1,-0.12599999999999997,-0.003581481481481486
L1,-0.12499999999999997,-0.0032870370370370306
L1,-0.12399999999999997,-0.0029925925925925754
L1,-0.12299999999999997,-0.0026981481481481205
L1,-0.12199999999999997,-0.0024037037037036653
L1,-0.12099999999999997,-0.00210925925925921
L1,-0.11999999999999997,-0.0018148148148147574
L1,-0.11899999999999997,-0.001520370370370323
L1,-0.11799999999999997,-0.0012259259259258886
L1,-0.11699999999999997,-0.0009314814814814542
L1,-0.11599999999999996,-0.0006370370370370197
L1,-0.11499999999999996,-0.0003425925925925853
L1,-0.11399999999999996,-4.814814814815111e-05
L1,-0.11299999999999996,0.0
L1,-0.11199999999999996,0.0
L1,-0.11099999999999996,0.0
L1,-0.10999999999999996,0.0
L1,-0.10899999999999996,0.0
L1,-0.10799999999999996,0.0
L1,-0.10699999999999996,0.0
L1,-0.10599999999999996,0.0
L1,-0.10499999999999995,0.0
L1,-0.10399999999999995,0.0
L1,-0.10299999999999995,0.0
L1,-0.10199999999999995,0.0
L1,-0.10099999999999995,0.00015185185185185654
L1,-0.09999999999999995,0.0007407407407407668
L1,-0.09899999999999995,0.001329629629629677
L1,-0.09799999999999995,0.0019185185185185874
L1,-0.09699999999999995,0.0025074074074074976
L1,-0.09599999999999995,0.003096296296296408
L1,-0.09499999999999995,0.003685185185185318
L1,-0.09399999999999994,0.003703703703703704
L1,-0.09299999999999994,0.003703703703703704
L1,-0.09199999999999994,0.003703703703703704
L1,-0.09099999999999994,0.003703703703703704
L1,-0.08999999999999994,0.003703703703703704
L1,-0.08899999999999994,0.003703703703703704
L1,-0.08799999999999994,0.003703703703703704
L1,-0.08699999999999994,0.003703703703703704
L1,-0.08599999999999994,0.003703703703703704
L1,-0.08499999999999994,0.003703703703703704
L1,-0.08399999999999994,0.003703703703703704
L1,-0.08299999999999993,0.003703703703703704
L1,-0.08199999999999993,0.003703703703703704
L1,-0.08099999999999993,0.003703703703703704
L1,-0.07999999999999993,0.003703703703703704
L1,-0.07899999999999993,0.003703703703703704
L1,-0.07799999999999993,0.003703703703703704
L1,-0.07699999999999993,0.003703703703703704
L1,-0.07599999999999993,0.003703703703703704
L1,-0.07499999999999993,0.003703703703703704
L1,-0.07399999999999993,0.003703703703703704
L1,-0.07299999999999993,0.003703703703703704
L1,-0.07199999999999993,0.003703703703703704
L1,-0.07099999999999992,0.003703703703703704
L1,-0.06999999999999992,0.003703703703703704
L1,-0.06899999999999992,0.003225925925925792
L1,-0.06799999999999992,0.002637037037036923
L1,-0.06699999999999992,0.0020481481481480542
L1,-0.06599999999999992,0.0014592592592591854
L1,-0.06499999999999992,0.000870370370370317
L1,-0.06399999999999992,0.0002814814814814481
L1,-0.06299999999999992,0.0
L1,-0.061999999999999916,0.0
L1,-0.060999999999999915,0.0
L1,-0.059999999999999915,0.0
L1,-0.058999999999999914,0.0
L1,-0.05799999999999991,0.0
