cell,intensity_from,intensity_to,branch,time_s,vm_mv
Mi1,0.1,0.5,positive,-0.925,1.3513513513513513
Mi1,0.1,0.5,positive,-0.9,2.162162162162162
Mi1,0.1,0.5,positive,-0.875,2.972972972972973
Mi1,0.1,0.5,positive,-0.85,2.162162162162162
Mi1,0.1,0.5,positive,-0.825,0.8108108108108107
Mi1,0.1,0.5,positive,-0.8,0.8108108108108107
Mi1,0.1,0.5,positive,-0.775,0.27027027027027023
Mi1,0.1,0.5,positive,-0.75,0.27027027027027023
Mi1,0.1,0.5,positive,-0.725,0.27027027027027023
Mi1,0.1,0.5,negative,-0.725,-0.27027027027027023
Mi1,0.1,0.5,positive,-0.7,0.27027027027027023
Mi1,0.1,0.5,negative,-0.7,-0.27027027027027023
Mi1,0.1,0.5,negative,-0.675,-1.081081081081081
Mi1,0.1,0.5,positive,-0.65,0.27027027027027023
Mi1,0.1,0.5,negative,-0.65,-1.8918918918918919
Mi1,0.1,0.5,negative,-0.625,-1.6216216216216215
Mi1,0.1,0.5,negative,-0.6,-0.27027027027027023
Mi1,0.1,0.5,negative,-0.575,-0.5405405405405405
Mi1,0.1,0.5,negative,-0.55,-0.5405405405405405
Mi1,0.1,0.5,positive,-0.525,0.27027027027027023
Mi1,0.1,0.5,negative,-0.525,-0.27027027027027023
Mi1,0.1,0.5,negative,-0.5,-0.27027027027027023
Mi1,0.1,0.5,negative,-0.475,-0.5405405405405405
Mi1,0.1,0.5,negative,-0.45,-0.27027027027027023
Mi1,0.1,0.5,positive,-0.425,0.27027027027027023
Mi1,0.1,0.5,negative,-0.425,-0.5405405405405405
Mi1,0.1,0.5,positive,-0.4,0.27027027027027023
Mi1,0.1,0.5,negative,-0.4,-0.27027027027027023
Mi1,0.1,0.5,positive,-0.375,0.27027027027027023
Mi1,0.1,0.5,negative,-0.375,-0.27027027027027023
Mi1,0.1,0.5,positive,-0.35,0.27027027027027023
Mi1,0.1,0.5,negative,-0.35,-0.5405405405405405
Mi1,0.1,0.5,positive,-0.325,0.27027027027027023
Mi1,0.1,0.5,negative,-0.325,-0.5405405405405405
Mi1,0.1,0.5,positive,-0.3,2.162162162162162
Mi1,0.1,0.5,positive,-0.275,1.081081081081081
Mi1,0.1,0.5,negative,-0.275,-0.27027027027027023
Mi1,0.1,0.5,positive,-0.25,1.081081081081081
Mi1,0.1,0.5,negative,-0.25,-0.27027027027027023
Mi1,0.1,0.5,negative,-0.225,-1.081081081081081
Mi1,0.1,0.5,positive,-0.2,1.081081081081081
Mi1,0.1,0.5,negative,-0.2,-0.5405405405405405
Mi1,0.1,0.5,positive,-0.175,1.081081081081081
Mi1,0.1,0.5,negative,-0.175,-0.27027027027027023
Mi1,0.1,0.5,positive,-0.15,0.27027027027027023
Mi1,0.1,0.5,positive,-0.125,0.27027027027027023
Mi1,0.1,0.5,negative,-0.125,-0.8108108108108107
Mi1,0.1,0.5,positive,-0.1,0.27027027027027023
Mi1,0.1,0.5,negative,-0.1,-0.5405405405405405
Mi1,0.1,0.5,negative,-0.075,-1.6216216216216215
Mi1,0.1,0.5,positive,-0.05,0.27027027027027023
Mi1,0.1,0.5,negative,-0.05,-1.6216216216216215
Mi1,0.1,0.5,positive,-0.025,0.5405405405405405
Mi1,0.1,0.5,negative,-0.025,-1.8918918918918919
Mi1,0.1,0.5,negative,0.0,-1.081081081081081
Mi1,0.1,0.5,negative,0.025,-1.3513513513513513
Mi1,0.1,0.5,positive,0.05,0.27027027027027023
Mi1,0.1,0.5,negative,0.05,-2.162162162162162
Mi1,0.1,0.5,positive,0.075,0.27027027027027023
Mi1,0.1,0.5,negative,0.075,-0.27027027027027023
Mi1,0.1,0.5,positive,0.1,0.27027027027027023
Mi1,0.1,0.5,negative,0.1,-2.162162162162162
Mi1,0.1,0.5,positive,0.125,14.324324324324323
Mi1,0.1,0.5,negative,0.125,-2.972972972972973
Mi1,0.1,0.5,positive,0.15,18.64864864864865
Mi1,0.1,0.5,negative,0.15,-3.243243243243243
Mi1,0.1,0.5,positive,0.175,20.81081081081081
Mi1,0.1,0.5,negative,0.175,-3.243243243243243
Mi1,0.1,0.5,positive,0.2,21.35135135135135
Mi1,0.1,0.5,negative,0.2,-3.513513513513513
Mi1,0.1,0.5,positive,0.225,21.89189189189189
Mi1,0.1,0.5,negative,0.225,-3.513513513513513
Mi1,0.1,0.5,positive,0.25,23.243243243243242
Mi1,0.1,0.5,negative,0.25,-4.594594594594595
Mi1,0.1,0.5,positive,0.275,23.243243243243242
Mi1,0.1,0.5,negative,0.275,-4.594594594594595
Mi1,0.1,0.5,positive,0.3,23.243243243243242
Mi1,0.1,0.5,negative,0.3,-5.405405405405405
Mi1,0.1,0.5,positive,0.325,22.16216216216216
Mi1,0.1,0.5,negative,0.325,-5.675675675675675
Mi1,0.1,0.5,positive,0.35,22.16216216216216
Mi1,0.1,0.5,negative,0.35,-5.945945945945946
Mi1,0.1,0.5,positive,0.375,21.89189189189189
Mi1,0.1,0.5,negative,0.375,-6.216216216216216
Mi1,0.1,0.5,positive,0.4,21.62162162162162
Mi1,0.1,0.5,negative,0.4,-6.216216216216216
Mi1,0.1,0.5,positive,0.425,21.62162162162162
Mi1,0.1,0.5,negative,0.425,-6.216216216216216
Mi1,0.1,0.5,positive,0.45,21.08108108108108
Mi1,0.1,0.5,negative,0.45,-6.756756756756756
Mi1,0.1,0.5,positive,0.475,20.81081081081081
Mi1,0.1,0.5,negative,0.475,-6.486486486486486
Mi1,0.1,0.5,positive,0.5,20.81081081081081
Mi1,0.1,0.5,negative,0.5,-6.486486486486486
Mi1,0.1,0.5,positive,0.525,20.81081081081081
Mi1,0.1,0.5,negative,0.525,-6.486486486486486
Mi1,0.1,0.5,positive,0.55,21.62162162162162
Mi1,0.1,0.5,negative,0.55,-6.486486486486486
Mi1,0.1,0.5,positive,0.575,21.62162162162162
Mi1,0.1,0.5,negative,0.575,-6.216216216216216
Mi1,0.1,0.5,positive,0.6,21.62162162162162
Mi1,0.1,0.5,negative,0.6,-6.216216216216216
Mi1,0.1,0.5,positive,0.625,21.89189189189189
Mi1,0.1,0.5,negative,0.625,-6.486486486486486
Mi1,0.1,0.5,positive,0.65,21.35135135135135
Mi1,0.1,0.5,negative,0.65,-6.486486486486486
Mi1,0.1,0.5,positive,0.675,20.0
Mi1,0.1,0.5,negative,0.675,-6.756756756756756
Mi1,0.1,0.5,positive,0.7,19.72972972972973
Mi1,0.1,0.5,negative,0.7,-6.756756756756756
Mi1,0.1,0.5,positive,0.725,19.72972972972973
Mi1,0.1,0.5,negative,0.725,-6.756756756756756
Mi1,0.1,0.5,positive,0.75,19.72972972972973
Mi1,0.1,0.5,negative,0.75,-6.756756756756756
Mi1,0.1,0.5,positive,0.775,17.83783783783784
Mi1,0.1,0.5,negative,0.775,-6.756756756756756
Mi1,0.1,0.5,positive,0.8,16.756756756756754
Mi1,0.1,0.5,negative,0.8,-6.486486486486486
Mi1,0.1,0.5,positive,0.825,15.405405405405405
Mi1,0.1,0.5,negative,0.825,-6.486486486486486
Mi1,0.1,0.5,positive,0.85,14.324324324324323
Mi1,0.1,0.5,negative,0.85,-6.216216216216216
Mi1,0.1,0.5,positive,0.875,13.513513513513512
Mi1,0.1,0.5,negative,0.875,-6.216216216216216
Mi1,0.1,0.5,positive,0.9,12.702702702702702
Mi1,0.1,0.5,negative,0.9,-6.216216216216216
Mi1,0.1,0.5,positive,0.925,12.702702702702702
Mi1,0.1,0.5,negative,0.925,-6.216216216216216
Mi1,0.1,0.5,positive,0.95,12.702702702702702
Mi1,0.1,0.5,negative,0.95,-6.216216216216216
Mi1,0.1,0.5,positive,0.975,12.702702702702702
Mi1,0.1,0.5,negative,0.975,-6.216216216216216
Mi1,0.1,0.5,positive,1.0,12.972972972972972
Mi1,0.1,0.5,negative,1.0,-6.216216216216216
Mi1,0.1,0.5,positive,1.025,13.783783783783782
Mi1,0.1,0.5,negative,1.025,-6.216216216216216
Mi1,0.1,0.5,positive,1.05,14.054054054054053
Mi1,0.1,0.5,negative,1.05,-6.756756756756756
Mi1,0.1,0.5,positive,1.075,13.513513513513512
Mi1,0.1,0.5,negative,1.075,-6.486486486486486
Mi1,0.1,0.5,positive,1.1,13.513513513513512
Mi1,0.1,0.5,negative,1.1,-6.486486486486486
Mi1,0.1,0.5,positive,1.125,15.135135135135135
Mi1,0.1,0.5,negative,1.125,-6.756756756756756
Mi1,0.1,0.5,positive,1.15,15.675675675675675
Mi1,0.1,0.5,negative,1.15,-7.297297297297297
Mi1,0.1,0.5,positive,1.175,16.486486486486484
Mi1,0.1,0.5,negative,1.175,-7.297297297297297
Mi1,0.1,0.5,positive,1.2,15.675675675675675
Mi1,0.1,0.5,negative,1.2,-7.027027027027026
Mi1,0.1,0.5,positive,1.225,15.135135135135135
Mi1,0.1,0.5,negative,1.225,-7.027027027027026
Mi1,0.1,0.5,positive,1.25,14.864864864864865
Mi1,0.1,0.5,negative,1.25,-7.027027027027026
Mi1,0.1,0.5,positive,1.275,13.783783783783782
Mi1,0.1,0.5,negative,1.275,-7.027027027027026
Mi1,0.1,0.5,positive,1.3,13.513513513513512
Mi1,0.1,0.5,negative,1.3,-7.027027027027026
Mi1,0.1,0.5,positive,1.325,12.702702702702702
Mi1,0.1,0.5,negative,1.325,-6.756756756756756
Mi1,0.1,0.5,positive,1.35,11.891891891891891
Mi1,0.1,0.5,negative,1.35,-7.027027027027026
Mi1,0.1,0.5,positive,1.375,10.54054054054054
Mi1,0.1,0.5,negative,1.375,-7.027027027027026
Mi1,0.1,0.5,positive,1.4,10.0
Mi1,0.1,0.5,negative,1.4,-7.297297297297297
Mi1,0.1,0.5,positive,1.425,10.0
Mi1,0.1,0.5,negative,1.425,-7.297297297297297
Mi1,0.1,0.5,positive,1.45,10.27027027027027
Mi1,0.1,0.5,negative,1.45,-7.027027027027026
Mi1,0.1,0.5,positive,1.475,10.0
Mi1,0.1,0.5,negative,1.475,-7.027027027027026
Mi1,0.1,0.5,positive,1.5,8.108108108108107
Mi1,0.1,0.5,negative,1.5,-7.027027027027026
Mi1,0.1,0.5,positive,1.525,8.108108108108107
Mi1,0.1,0.5,negative,1.525,-7.297297297297297
Mi1,0.1,0.5,positive,1.55,8.108108108108107
Mi1,0.1,0.5,negative,1.55,-7.297297297297297
Mi1,0.1,0.5,positive,1.575,7.837837837837838
Mi1,0.1,0.5,negative,1.575,-7.027027027027026
Mi1,0.1,0.5,positive,1.6,6.486486486486486
Mi1,0.1,0.5,negative,1.6,-6.756756756756756
Mi1,0.1,0.5,positive,1.625,6.486486486486486
Mi1,0.1,0.5,negative,1.625,-6.756756756756756
Mi1,0.1,0.5,positive,1.65,6.216216216216216
Mi1,0.1,0.5,negative,1.65,-7.027027027027026
Mi1,0.1,0.5,positive,1.675,6.486486486486486
Mi1,0.1,0.5,negative,1.675,-6.756756756756756
Mi1,0.1,0.5,positive,1.7,7.297297297297297
Mi1,0.1,0.5,negative,1.7,-6.756756756756756
Mi1,0.1,0.5,positive,1.725,7.297297297297297
Mi1,0.1,0.5,negative,1.725,-6.486486486486486
