trace_id,cell_type,contrast,position,rf_side,color,time_ms,vm_mv
T4_PC_pos-6,T4,PC,-6,leading,green,-355.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-350.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-345.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-340.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-335.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-330.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-325.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-320.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-315.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-310.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-305.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-300.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-295.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-290.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-285.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-280.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-275.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-270.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-265.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-260.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-255.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-250.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-245.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-240.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-235.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-230.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-225.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-220.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-215.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-210.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-205.000000,0.000000
T4_PC_pos-6,T4,PC,-6,leading,green,-200.000000,-0.023148
T4_PC_pos-6,T4,PC,-6,leading,green,-195.000000,-0.092593
T4_PC_pos-6,T4,PC,-6,leading,green,-190.000000,-0.092593
T4_PC_pos-6,T4,PC,-6,leading,green,-185.000000,0.160590
T4_PC_pos-6,T4,PC,-6,leading,green,-180.000000,0.260417
