trace_id,panel,cell_type,contrast,color,width_led,width_deg,duration_ms,extremum,statistic,position_led,position_deg,response_mv,pixel_x,pixel_y,detection_score
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,-7,-15.750000,4.710145,221.700000,228.000000,159
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,-4,-9.000000,5.028986,294.900000,225.800000,164
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,-3,-6.750000,6.159420,319.300000,218.000000,159
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,-2,-4.500000,7.753623,343.700000,207.000000,150
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,-1,-2.250000,8.260870,368.100000,203.500000,142
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,0,0.000000,10.000000,392.500000,191.500000,140
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,1,2.250000,10.507246,416.900000,188.000000,146
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,2,4.500000,11.086957,441.300000,184.000000,132
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,3,6.750000,8.840580,465.700000,199.500000,158
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,4,9.000000,7.125604,490.100000,211.333333,145
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,5,11.250000,6.014493,514.500000,219.000000,168
B_T4_NC_w4_depolarization,B,T4,NC,black,4,9.000000,160.000000,depolarization,mean,6,13.500000,5.821256,538.900000,220.333333,153
B_T4_NC_w4_hyperpolarization,B,T4,NC,black,4,9.000000,160.000000,hyperpolarization,mean,-3,-6.750000,-4.275362,319.300000,290.000000,137
B_T4_NC_w4_hyperpolarization,B,T4,NC,black,4,9.000000,160.000000,hyperpolarization,mean,-2,-4.500000,-4.710145,343.700000,293.000000,165
B_T4_NC_w4_hyperpolarization,B,T4,NC,black,4,9.000000,160.000000,hyperpolarization,mean,-1,-2.250000,-5.434783,368.100000,298.000000,185
B_T4_NC_w4_hyperpolarization,B,T4,NC,black,4,9.000000,160.000000,hyperpolarization,mean,0,0.000000,-4.927536,392.500000,294.500000,176
B_T4_PC_w4_depolarization,B,T4,PC,green,4,9.000000,160.000000,depolarization,mean,-6,-13.500000,7.028986,671.100000,212.000000,158
B_T4_PC_w4_depolarization,B,T4,PC,green,4,9.000000,160.000000,depolarization,mean,-5,-11.250000,8.188406,695.500000,204.000000,165
B_T4_PC_w4_depolarization,B,T4,PC,green,4,9.000000,160.000000,depolarization,mean,-4,-9.000000,11.666667,719.900000,180.000000,197
B_T4_PC_w4_depolarization,B,T4,PC,green,4,9.000000,160.000000,depolarization,mean,-3,-6.750000,15.724638,744.300000,152.000000,168
B_T4_PC_w4_depolarization,B,T4,PC,green,4,9.000000,160.000000,depolarization,mean,-2,-4.500000,19.492754,768.700000,126.000000,169
B_T4_PC_w4_depolarization,B,T4,PC,green,4,9.000000,160.000000,depolarization,mean,-1,-2.250000,19.637681,793.100000,125.000000,172
B_T4_PC_w4_depolarization,B,T4,PC,green,4,9.000000,160.000000,depolarization,mean,0,0.000000,18.623188,817.500000,132.000000,147
B_T4_PC_w4_depolarization,B,T4,PC,green,4,9.000000,160.000000,depolarization,mean,1,2.250000,14.565217,841.900000,160.000000,156
B_T4_PC_w4_depolarization,B,T4,PC,green,4,9.000000,160.000000,depolarization,mean,2,4.500000,10.507246,866.300000,188.000000,163
B_T4_PC_w4_depolarization,B,T4,PC,green,4,9.000000,160.000000,depolarization,mean,3,6.750000,7.173913,890.700000,211.000000,135
