type,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
LC4,720575940628419527,123,62,"4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",7,-3.452,2,-9,11.839,16,8,11.839,16.0,8.0,2.468,6.5,-1.5
LC4,720575940618709158,117,50,"4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",26,3.1,7,-1,-3.08,1,-8,-3.08,1.0,-8.0,1.56,5.0,-2.0
LC4,720575940621522458,97,41,"3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",31,-7.585,-4,-11,0.22,3,-4,0.22,3.0,-4.0,-7.476,-4.0,-11.0
LC4,720575940615232217,122,60,"3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",33,-6.433,-1,-11,-5.933,-3,-10,-5.933,-3.0,-10.0,-9.4,-5.0,-14.0
LC4,720575940624790781,107,47,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",39,-10.362,-6,-14,-0.362,4,-4,-0.362,4.0,-4.0,-10.543,-7.0,-14.0
LC4,720575940635835967,103,46,"3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",43,-14.087,-10,-17,10.326,14,6,10.326,14.0,6.0,-8.924,-4.5,-12.5
LC4,720575940612498129,87,35,"3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",79,2.143,6,-3,-5.314,-1,-9,-5.314,-1.0,-9.0,-0.514,2.0,-4.0
LC4,720575940628599895,93,39,"4, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",91,-4.667,-1,-9,2.179,6,-3,2.179,6.0,-3.0,-3.577,-0.5,-7.5
LC4,720575940613638041,105,49,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",93,-7.531,-4,-11,10.653,15,7,10.653,15.0,7.0,-2.204,1.0,-5.5
LC4,720575940645821316,131,59,"3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",94,-4.39,3,-11,-9.678,-5,-15,-9.678,-5.0,-15.0,-9.229,-3.5,-14.0
LC4,720575940618234715,115,49,"3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",101,-9.796,-6,-14,13.939,17,10,13.939,17.0,10.0,-2.827,1.0,-7.0
LC4,720575940617348379,92,37,"3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",102,-3.216,1,-7,-7.054,-3,-11,-7.054,-3.0,-11.0,-6.743,-3.0,-9.5
LC4,720575940629964591,115,50,"3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",113,-3.76,0,-9,3.84,7,0,3.84,7.0,0.0,-1.84,2.0,-7.5
LC4,720575940613609484,129,63,"4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",120,-0.079,4,-5,0.746,5,-4,0.746,5.0,-4.0,0.294,4.0,-4.0
LC4,720575940626553596,128,65,"3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",185,7.569,12,3,-4.831,-1,-8,-4.831,-1.0,-8.0,5.154,9.5,1.5
LC4,720575940625932421,128,58,"3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",199,5.517,13,1,-0.034,3,-15,-0.034,3.0,-15.0,5.5,8.5,1.0
LC4,720575940614582946,119,55,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",237,-14.6,-10,-18,2.945,11,-6,2.945,11.0,-6.0,-13.127,-10.5,-15.0
LC4,720575940628891863,155,74,"3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",241,10.878,16,7,-4.514,1,-10,-4.514,1.0,-10.0,8.622,13.5,5.0
LC4,720575940641213824,128,65,"4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",242,-7.323,-3,-12,7.692,13,4,7.692,13.0,4.0,-3.477,-0.5,-8.0
LC4,720575940628606713,134,64,"4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",245,-3.0,1,-8,8.969,14,4,8.969,14.0,4.0,1.484,5.0,-1.5
LC4,720575940636957006,123,59,"3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",246,-10.831,-1,-16,7.136,11,-8,7.136,11.0,-8.0,-7.263,-4.0,-12.0
LC4,720575940621145821,121,53,"3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",251,6.453,11,1,1.604,6,-3,1.604,6.0,-3.0,7.255,10.5,3.5
LC4,720575940632475449,132,66,"3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",255,1.258,11,-7,11.076,17,4,11.076,17.0,4.0,6.795,13.0,1.5
LC4,720575940652611745,124,59,"3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",275,-7.305,2,-14,15.339,18,12,15.339,18.0,12.0,0.364,8.0,-7.0
LC4,720575940625906702,157,85,"4, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",318,14.235,18,11,-9.118,-5,-14,-9.118,-5.0,-14.0,9.676,13.5,5.0
LC4,720575940622330582,122,64,"3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",333,10.641,15,7,-1.25,5,-6,-1.25,5.0,-6.0,10.016,12.5,6.5
LC4,720575940633013355,91,36,"3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",335,-1.806,1,-7,-4.194,0,-8,-4.194,0.0,-8.0,-3.903,-1.5,-7.0
LC4,720575940618234704,108,45,"3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",350,-6.2,-1,-10,-3.067,2,-7,-3.067,2.0,-7.0,-7.733,-4.5,-10.5
LC4,720575940631032657,153,74,"5, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",382,6.162,10,1,-6.23,-2,-10,-6.23,-2.0,-10.0,3.047,7.0,-2.0
LC4,720575940618266459,123,60,"4, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",383,-10.783,-8,-15,11.25,15,7,11.25,15.0,7.0,-5.158,-1.5,-10.5
LC4,720575940612323025,156,84,"3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",385,6.262,13,-2,5.976,12,0,5.976,12.0,0.0,9.25,14.0,4.0
LC4,720575940624856762,95,40,"3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",404,-10.525,-7,-14,2.125,6,-1,2.125,6.0,-1.0,-9.462,-6.5,-12.5
LC4,720575940618267227,122,60,"3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",426,-3.05,2,-8,5.883,12,0,5.883,12.0,0.0,-0.108,3.0,-4.5
LC4,720575940620314612,131,63,"3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",454,10.889,15,7,-9.635,-5,-13,-9.635,-5.0,-13.0,6.071,10.0,1.5
LC4,720575940621753579,96,39,"3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",468,-8.282,-4,-12,4.897,9,2,4.897,9.0,2.0,-5.833,-2.5,-9.5
LC4,720575940625841351,125,63,"4, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",469,-13.349,-10,-18,13.175,18,9,13.175,18.0,9.0,-6.762,-1.5,-13.0
LC4,720575940632715234,78,22,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",493,-13.409,-10,-17,5.273,9,2,5.273,9.0,2.0,-10.773,-8.5,-13.0
LC4,720575940628518400,124,52,"3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",498,0.865,7,-4,-11.731,-8,-15,-11.731,-8.0,-15.0,-5.0,0.0,-9.0
LC4,720575940630154660,127,68,"3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",551,1.118,6,-4,7.324,12,2,7.324,12.0,2.0,4.779,9.0,0.5
LC4,720575940612380723,159,81,"5, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",557,10.519,15,6,-12.457,-9,-16,-12.457,-9.0,-16.0,4.29,9.0,-1.0
LC4,720575940612968421,105,45,"3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",588,-1.311,2,-5,-1.689,2,-5,-1.689,2.0,-5.0,-2.156,0.5,-6.5
LC4,720575940633218863,113,54,"3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",589,1.704,6,-3,0.833,6,-3,0.833,6.0,-3.0,2.12,5.5,-1.0
LC4,720575940620731380,110,46,"3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",602,5.152,9,0,-8.304,-3,-12,-8.304,-3.0,-12.0,1.0,4.5,-2.0
LC4,720575940618275520,123,56,"3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",614,1.732,13,-2,3.786,8,-15,3.786,8.0,-15.0,3.625,7.0,-0.5
LC4,720575940639817947,143,67,"3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",655,6.612,10,1,-12.851,-9,-16,-12.851,-9.0,-16.0,0.187,3.0,-5.0
LC4,720575940625845447,106,44,"3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",677,-5.182,-1,-9,-0.795,3,-8,-0.795,3.0,-8.0,-5.58,-2.0,-8.5
LC4,720575940612093351,121,49,"4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",702,-16.082,-13,-18,9.102,15,2,9.102,15.0,2.0,-11.531,-6.5,-15.0
LC4,720575940603637438,125,51,"3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",719,-11.373,-5,-16,-2.784,4,-8,-2.784,4.0,-8.0,-12.765,-9.0,-15.0
