type,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm1,720575940619804144,21,5,5,1,-12.0,-12,-12,11.0,11,11,11.0,11.0,11.0,-6.5,-6.5,-6.5
Tm1,720575940629500747,23,5,5,2,-9.0,-9,-9,16.0,16,16,16.0,16.0,16.0,-1.0,-1.0,-1.0
Tm1,720575940610239790,24,5,5,3,12.0,12,12,-12.0,-12,-12,-12.0,-12.0,-12.0,6.0,6.0,6.0
Tm1,720575940634233712,16,3,3,4,6.0,6,6,9.0,9,9,9.0,9.0,9.0,10.5,10.5,10.5
Tm1,720575940618007877,26,6,6,5,-9.0,-9,-9,2.0,2,2,2.0,2.0,2.0,-8.0,-8.0,-8.0
Tm1,720575940617474777,23,6,6,6,0.0,0,0,4.0,4,4,4.0,4.0,4.0,2.0,2.0,2.0
Tm1,720575940616603787,25,6,6,7,-3.0,-3,-3,12.0,12,12,12.0,12.0,12.0,3.0,3.0,3.0
Tm1,720575940617161243,17,4,4,8,-17.0,-17,-17,8.0,8,8,8.0,8.0,8.0,-13.0,-13.0,-13.0
Tm1,720575940633671469,13,3,3,9,0.0,0,0,-9.0,-9,-9,-9.0,-9.0,-9.0,-4.5,-4.5,-4.5
Tm1,720575940659904385,22,4,4,10,13.0,13,13,-11.0,-11,-11,-11.0,-11.0,-11.0,7.5,7.5,7.5
Tm1,720575940614365343,19,3,3,11,14.0,14,14,-14.0,-14,-14,-14.0,-14.0,-14.0,7.0,7.0,7.0
Tm1,720575940622368589,26,5,5,12,-11.0,-11,-11,13.0,13,13,13.0,13.0,13.0,-4.5,-4.5,-4.5
Tm1,720575940624379912,17,4,4,13,12.0,12,12,2.0,2,2,2.0,2.0,2.0,13.0,13.0,13.0
Tm1,720575940619724248,15,4,4,14,14.0,14,14,-1.0,-1,-1,-1.0,-1.0,-1.0,13.5,13.5,13.5
Tm1,720575940609482616,31,6,6,15,4.0,4,4,-5.0,-5,-5,-5.0,-5.0,-5.0,1.5,1.5,1.5
Tm1,720575940632682444,22,4,4,16,6.0,6,6,4.0,4,4,4.0,4.0,4.0,8.0,8.0,8.0
Tm1,720575940620888865,25,6,6,17,4.0,4,4,-3.0,-3,-3,-3.0,-3.0,-3.0,2.5,2.5,2.5
Tm1,720575940637794281,24,5,5,18,13.0,13,13,-10.0,-10,-10,-10.0,-10.0,-10.0,8.0,8.0,8.0
Tm1,720575940605179849,16,4,"3, 1",19,-15.0,-15,-15,12.75,13,12,12.75,13.0,12.0,-8.625,-8.5,-9.0
Tm1,720575940625541936,21,6,6,20,9.0,9,9,-7.0,-7,-7,-7.0,-7.0,-7.0,5.5,5.5,5.5
Tm1,720575940637734372,22,4,4,21,-11.0,-11,-11,3.0,3,3,3.0,3.0,3.0,-9.5,-9.5,-9.5
Tm1,720575940622402742,25,5,5,22,-2.0,-2,-2,1.0,1,1,1.0,1.0,1.0,-1.5,-1.5,-1.5
Tm1,720575940623364649,23,5,5,23,5.0,5,5,6.0,6,6,6.0,6.0,6.0,8.0,8.0,8.0
Tm1,720575940642661024,24,5,5,24,4.0,4,4,2.0,2,2,2.0,2.0,2.0,5.0,5.0,5.0
Tm1,720575940644820168,23,6,6,25,-10.0,-10,-10,17.0,17,17,17.0,17.0,17.0,-1.5,-1.5,-1.5
Tm1,720575940620297793,21,4,4,26,3.0,3,3,-3.0,-3,-3,-3.0,-3.0,-3.0,1.5,1.5,1.5
Tm1,720575940628577960,20,5,"4, 1",27,12.8,13,12,-0.8,0,-1,-0.8,0.0,-1.0,12.4,12.5,12.0
Tm1,720575940616414523,24,5,5,29,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.5,1.5,1.5
Tm1,720575940614164655,16,3,3,30,-2.0,-2,-2,-12.0,-12,-12,-12.0,-12.0,-12.0,-8.0,-8.0,-8.0
Tm1,720575940606824834,22,5,5,31,-8.0,-8,-8,0.0,0,0,0.0,0.0,0.0,-8.0,-8.0,-8.0
Tm1,720575940619576661,23,5,5,32,-6.0,-6,-6,0.0,0,0,0.0,0.0,0.0,-6.0,-6.0,-6.0
Tm1,720575940616351686,22,4,4,33,-6.0,-6,-6,-6.0,-6,-6,-6.0,-6.0,-6.0,-9.0,-9.0,-9.0
Tm1,720575940622999245,15,7,"2, 2, 1, 1, 1",34,-3.143,-2,-4,-12.0,-11,-13,-12.0,-11.0,-13.0,-9.143,-8.0,-10.0
Tm1,720575940616503739,20,6,6,35,13.0,13,13,-2.0,-2,-2,-2.0,-2.0,-2.0,12.0,12.0,12.0
Tm1,720575940626924184,11,3,3,36,2.0,2,2,-12.0,-12,-12,-12.0,-12.0,-12.0,-4.0,-4.0,-4.0
Tm1,720575940635947438,23,7,7,37,-1.0,-1,-1,-3.0,-3,-3,-3.0,-3.0,-3.0,-2.5,-2.5,-2.5
Tm1,720575940632070829,26,5,5,38,1.0,1,1,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0
Tm1,720575940605816422,22,5,5,39,-10.0,-10,-10,0.0,0,0,0.0,0.0,0.0,-10.0,-10.0,-10.0
Tm1,720575940626211621,26,7,"6, 1",40,0.857,1,0,4.143,5,4,4.143,5.0,4.0,2.929,3.0,2.5
Tm1,720575940629233884,18,4,4,41,-17.0,-17,-17,6.0,6,6,6.0,6.0,6.0,-14.0,-14.0,-14.0
Tm1,720575940622605388,24,6,6,42,-8.0,-8,-8,2.0,2,2,2.0,2.0,2.0,-7.0,-7.0,-7.0
Tm1,720575940621199966,19,6,6,43,-14.0,-14,-14,10.0,10,10,10.0,10.0,10.0,-9.0,-9.0,-9.0
Tm1,720575940625875282,29,4,4,44,10.0,10,10,-10.0,-10,-10,-10.0,-10.0,-10.0,5.0,5.0,5.0
Tm1,720575940619173997,26,6,"5, 1",45,-4.0,-4,-4,9.167,10,9,9.167,10.0,9.0,0.583,1.0,0.5
Tm1,720575940615118731,24,5,5,46,-12.0,-12,-12,9.0,9,9,9.0,9.0,9.0,-7.5,-7.5,-7.5
