type,root_id,n_partners,n_partners_with_column,majority_column_id,votes
R1-6,720575940625449404,4,4,1,3
R1-6,720575940628350980,3,3,1,3
R1-6,720575940632384313,4,4,1,3
R1-6,720575940640120629,2,2,1,2
R1-6,720575940640677504,3,3,1,3
R1-6,720575940620715173,3,3,2,3
R1-6,720575940623513368,2,2,2,2
R1-6,720575940624435639,2,2,2,2
R1-6,720575940626905802,3,3,2,3
R1-6,720575940638466394,3,3,2,3
R1-6,720575940611967074,4,3,5,3
R1-6,720575940612284634,4,3,5,3
R1-6,720575940617184955,3,3,5,3
R1-6,720575940630756214,3,3,5,3
R1-6,720575940632011871,4,3,5,3
R1-6,720575940630389498,3,3,8,3
R1-6,720575940635904095,3,3,8,3
R1-6,720575940616710717,4,3,9,3
R1-6,720575940619799454,6,4,9,4
R1-6,720575940623645965,5,4,9,4
R1-6,720575940630665342,5,4,9,4
R1-6,720575940611881314,3,3,12,3
R1-6,720575940613358706,3,3,12,3
R1-6,720575940617702715,3,3,12,2
R1-6,720575940625160683,3,3,12,3
R1-6,720575940629022961,3,3,12,3
R1-6,720575940638593114,3,3,12,3
R1-6,720575940614646312,5,3,15,3
R1-6,720575940623160652,5,3,15,3
R1-6,720575940623739661,4,3,15,3
R1-6,720575940629200390,4,3,15,3
R1-6,720575940629373169,4,3,15,3
R1-6,720575940639993141,4,3,15,3
R1-6,720575940640023229,3,3,15,3
R1-6,720575940613380978,3,3,19,3
R1-6,720575940624745223,3,3,19,3
R1-6,720575940632173586,2,2,19,2
R1-6,720575940611435566,3,3,21,3
R1-6,720575940623093161,5,4,21,4
R1-6,720575940613143731,4,3,22,3
R1-6,720575940619254853,5,4,22,4
R1-6,720575940634184659,3,3,22,3
R1-6,720575940634789657,3,3,22,3
R1-6,720575940642364635,3,3,22,3
R1-6,720575940618447361,3,3,25,3
R1-6,720575940619293494,3,3,25,3
R1-6,720575940622670874,3,3,25,3
R1-6,720575940645284132,3,3,25,3
R1-6,720575940611869538,3,3,26,3
R1-6,720575940618346227,3,3,26,3
R1-6,720575940622512368,3,3,26,3
R1-6,720575940628057363,3,3,26,3
R1-6,720575940631319801,3,3,26,3
R1-6,720575940632259659,3,3,26,3
R1-6,720575940632601656,3,3,26,3
R1-6,720575940621422016,5,4,28,4
R1-6,720575940624204435,5,4,28,4
R1-6,720575940625181163,4,4,28,4
R1-6,720575940626956986,5,4,28,4
R1-6,720575940619039771,3,3,29,3
R1-6,720575940620654160,3,3,29,3
R1-6,720575940621504239,3,3,29,3
R1-6,720575940626759370,3,3,29,3
R1-6,720575940628732164,3,3,29,3
R1-6,720575940632699240,3,3,29,3
R1-6,720575940645871895,3,3,29,3
R1-6,720575940626110362,3,3,30,3
R1-6,720575940626893514,3,3,30,3
R1-6,720575940615456679,4,3,31,3
R1-6,720575940621669614,4,3,31,3
R1-6,720575940630754422,5,4,31,4
R1-6,720575940622951450,5,4,32,4
R1-6,720575940623065001,4,4,32,4
R1-6,720575940626251085,3,3,32,3
R1-6,720575940639053540,4,3,32,3
R1-6,720575940640044221,3,3,32,3
R1-6,720575940640743512,5,4,32,4
R1-6,720575940621531782,5,4,33,4
R1-6,720575940626780816,5,4,33,4
R1-6,720575940637494373,5,4,33,4
R1-6,720575940640262990,3,3,33,3
R1-6,720575940610922052,3,1,34,1
R1-6,720575940618962260,4,3,34,2
R1-6,720575940635541143,4,3,34,2
R1-6,720575940618187101,3,3,36,3
R1-6,720575940619349753,3,3,36,3
R1-6,720575940620667728,3,3,36,3
R1-6,720575940624880055,5,3,36,3
R1-6,720575940636044907,4,3,36,3
R1-6,720575940609191537,4,3,37,3
R1-6,720575940624387562,3,3,37,3
R1-6,720575940628306053,4,3,37,3
R1-6,720575940629885187,5,4,37,4
R1-6,720575940640160309,5,4,37,4
R1-6,720575940645851159,5,3,37,3
R1-6,720575940606515558,4,4,38,4
R1-6,720575940618969117,3,3,38,3
R1-6,720575940632759352,3,3,38,3
R1-6,720575940633014924,3,3,38,3
R1-6,720575940633376543,3,3,38,3
R1-6,720575940636425652,3,3,38,3
R1-6,720575940646302062,3,3,38,3
R1-6,720575940655926689,4,4,38,4
R1-6,720575940611783378,3,3,39,3
R1-6,720575940612986586,3,3,39,3
R1-6,720575940616300610,4,3,39,3
R1-6,720575940622958505,5,4,39,4
R1-6,720575940632249359,3,3,39,3
R1-6,720575940610183619,2,2,41,2
R1-6,720575940616698566,3,3,41,3
R1-6,720575940626471728,4,3,42,3
R1-6,720575940628298885,4,3,42,3
R1-6,720575940630755446,5,4,42,4
R1-6,720575940632090443,3,3,42,3
R1-6,720575940606631526,3,3,43,3
R1-6,720575940611766114,3,3,43,3
R1-6,720575940614650920,2,2,43,2
R1-6,720575940631404025,2,2,43,2
R1-6,720575940631569913,2,2,43,2
R1-6,720575940632772921,4,4,43,4
R1-6,720575940618087353,2,2,45,2
R1-6,720575940618317140,3,3,45,3
R1-6,720575940618461979,3,3,45,3
R1-6,720575940618627618,4,3,45,3
R1-6,720575940620922758,3,3,45,3
R1-6,720575940626338490,3,3,45,3
R1-6,720575940627391260,4,3,45,3
R1-6,720575940630602551,3,3,45,3
R1-6,720575940607603913,3,3,46,3
R1-6,720575940623796760,3,3,46,3
R1-6,720575940628123921,3,3,46,3
R1-6,720575940628674581,3,3,46,3
R1-6,720575940614568111,2,2,47,2
