type,root_id,n_partners,n_partners_with_column,majority_column_id,votes
R1-6,720575940611082564,3,3,1,3
R1-6,720575940631998149,3,3,1,3
R1-6,720575940634019027,3,3,1,3
R1-6,720575940611969378,4,4,2,4
R1-6,720575940613313765,3,3,2,3
R1-6,720575940618237789,3,3,2,3
R1-6,720575940623909400,4,3,2,3
R1-6,720575940624115497,3,3,2,3
R1-6,720575940626449200,5,4,2,4
R1-6,720575940627912884,3,3,2,3
R1-6,720575940632940847,4,3,2,3
R1-6,720575940618445713,4,3,3,3
R1-6,720575940623950984,7,5,3,4
R1-6,720575940629731856,4,3,3,3
R1-6,720575940633264844,5,3,3,3
R1-6,720575940640391075,3,3,4,3
R1-6,720575940616088070,4,4,5,4
R1-6,720575940617236822,3,3,5,3
R1-6,720575940635476634,3,3,5,3
R1-6,720575940637590128,3,3,5,3
R1-6,720575940609601291,4,3,6,3
R1-6,720575940617435478,6,3,6,3
R1-6,720575940621373355,5,3,6,3
R1-6,720575940626097241,5,3,6,3
R1-6,720575940635005347,5,3,6,3
R1-6,720575940618018141,4,3,7,3
R1-6,720575940619626806,4,3,7,3
R1-6,720575940626005581,4,3,7,3
R1-6,720575940636300651,4,3,7,3
R1-6,720575940640344691,5,4,7,4
R1-6,720575940623179644,3,2,8,2
R1-6,720575940633327135,4,3,8,3
R1-6,720575940609408836,5,3,9,3
R1-6,720575940611986602,6,4,9,4
R1-6,720575940621690221,5,4,9,4
R1-6,720575940627285635,4,3,9,3
R1-6,720575940629752067,5,4,9,4
R1-6,720575940630162938,4,3,9,3
R1-6,720575940615052241,5,4,10,4
R1-6,720575940623882701,5,4,10,4
R1-6,720575940626600336,5,3,10,3
R1-6,720575940630887724,4,3,10,3
R1-6,720575940644770760,5,4,10,4
R1-6,720575940655029153,4,3,10,3
R1-6,720575940610871876,4,3,11,3
R1-6,720575940612024674,3,3,12,3
R1-6,720575940618056916,6,4,12,4
R1-6,720575940618733140,3,3,12,3
R1-6,720575940630105703,4,4,12,4
R1-6,720575940637421925,5,4,12,4
R1-6,720575940611741048,2,2,13,2
R1-6,720575940623810857,2,2,13,2
R1-6,720575940633314387,3,3,13,2
R1-6,720575940606407270,3,3,14,3
R1-6,720575940615441570,4,4,14,4
R1-6,720575940636895343,5,4,14,4
R1-6,720575940640061262,4,3,14,3
R1-6,720575940610110403,5,3,15,3
R1-6,720575940611527800,5,4,15,4
R1-6,720575940619737211,6,4,15,4
R1-6,720575940619745438,7,4,15,4
R1-6,720575940627275537,5,3,15,3
R1-6,720575940633654189,4,3,15,3
R1-6,720575940635628479,6,4,15,4
R1-6,720575940621295019,6,4,16,4
R1-6,720575940623191372,4,3,16,3
R1-6,720575940624742071,4,3,16,3
R1-6,720575940628043834,5,3,16,3
R1-6,720575940641893109,4,4,16,4
R1-6,720575940609493515,6,4,17,4
R1-6,720575940618167133,6,4,17,4
R1-6,720575940632902447,6,4,17,4
R1-6,720575940637374606,6,4,17,4
R1-6,720575940617398614,5,4,18,4
R1-6,720575940619257152,5,3,18,3
R1-6,720575940621762497,5,4,18,4
R1-6,720575940627838360,3,3,18,3
R1-6,720575940628409989,5,4,18,4
R1-6,720575940653608182,3,3,18,3
R1-6,720575940617102604,3,3,19,3
R1-6,720575940636590772,4,3,19,3
R1-6,720575940620752469,6,3,20,3
R1-6,720575940626488624,5,4,20,4
R1-6,720575940630498686,5,3,20,3
R1-6,720575940632074255,6,4,20,4
R1-6,720575940638196702,4,3,20,3
R1-6,720575940650579321,7,4,20,4
R1-6,720575940611011374,4,3,21,3
R1-6,720575940617717819,4,3,21,3
R1-6,720575940625585080,4,3,21,3
R1-6,720575940634189026,3,3,21,3
R1-6,720575940624852297,4,3,22,3
R1-6,720575940627852810,5,3,22,3
R1-6,720575940631337721,5,4,22,4
R1-6,720575940606130720,5,3,23,3
R1-6,720575940622725658,4,3,23,3
R1-6,720575940628368917,5,4,23,4
