type,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
LC18,720575940618090457,27,12,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",10,13.25,16,11,-11.0,-9,-14,-11.0,-9.0,-14.0,7.75,11.0,6.0
LC18,720575940643993623,46,28,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",15,3.321,7,0,-4.929,-2,-8,-4.929,-2.0,-8.0,0.857,3.5,-2.0
LC18,720575940615552918,29,15,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",19,-14.867,-12,-17,12.867,15,11,12.867,15.0,11.0,-8.433,-5.5,-11.5
LC18,720575940634315115,43,23,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",29,0.609,3,-3,1.13,5,-3,1.13,5.0,-3.0,1.174,3.5,-1.5
LC18,720575940628461161,43,25,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",31,-8.28,-4,-12,-0.4,4,-3,-0.4,4.0,-3.0,-8.48,-5.5,-11.5
LC18,720575940619414918,39,25,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",32,-5.92,-1,-10,-0.32,3,-8,-0.32,3.0,-8.0,-6.08,-3.0,-9.5
LC18,720575940615718027,31,14,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",46,-12.214,-10,-14,8.643,11,5,8.643,11.0,5.0,-7.893,-5.0,-9.5
LC18,720575940625812372,33,18,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",50,-11.5,-7,-16,2.222,5,-1,2.222,5.0,-1.0,-10.389,-7.5,-13.5
LC18,720575940612779237,48,28,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",54,-5.143,-1,-8,6.607,10,2,6.607,10.0,2.0,-1.839,0.5,-4.0
LC18,720575940630457797,45,29,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",65,-14.586,-12,-17,1.966,7,-4,1.966,7.0,-4.0,-13.603,-11.0,-15.0
LC18,720575940631104825,38,25,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",75,-12.92,-10,-15,11.64,15,9,11.64,15.0,9.0,-7.1,-4.5,-10.5
LC18,720575940617047581,44,29,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",84,-7.655,-1,-11,3.966,8,-8,3.966,8.0,-8.0,-5.672,-3.0,-8.5
LC18,720575940659358849,50,33,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",97,-5.879,-1,-9,9.879,13,7,9.879,13.0,7.0,-0.939,3.0,-3.5
LC18,720575940626488914,64,42,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",98,5.357,13,1,2.31,9,-15,2.31,9.0,-15.0,6.512,9.0,4.0
LC18,720575940621044160,35,22,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",106,-11.818,-9,-14,12.955,15,10,12.955,15.0,10.0,-5.341,-1.5,-8.5
LC18,720575940625822809,48,30,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",108,3.067,8,-1,6.133,10,2,6.133,10.0,2.0,6.133,9.0,2.5
LC18,720575940615998091,56,35,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",109,6.571,10,2,-8.571,-4,-13,-8.571,-4.0,-13.0,2.286,5.0,-2.0
LC18,720575940638977341,52,29,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",119,-4.897,0,-10,4.034,8,-2,4.034,8.0,-2.0,-2.879,0.5,-7.5
LC18,720575940625662360,47,26,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",136,-0.231,3,-4,-0.923,3,-6,-0.923,3.0,-6.0,-0.692,2.5,-3.5
LC18,720575940620028737,29,16,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",138,-13.062,-10,-16,-1.25,2,-6,-1.25,2.0,-6.0,-13.688,-12.5,-15.0
LC18,720575940619927105,30,17,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",150,-10.294,-7,-13,15.176,17,13,15.176,17.0,13.0,-2.706,1.0,-5.5
LC18,720575940630577450,33,15,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",165,-4.0,0,-8,-8.067,-4,-11,-8.067,-4.0,-11.0,-8.033,-5.5,-10.5
LC18,720575940622437770,49,31,"2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",167,8.806,13,5,-1.097,4,-6,-1.097,4.0,-6.0,8.258,11.5,5.5
LC18,720575940623452651,7,1,1,169,9.0,9,9,0.0,0,0,0.0,0.0,0.0,9.0,9.0,9.0
LC18,720575940632828441,28,14,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",186,-13.571,-12,-15,2.429,7,-1,2.429,7.0,-1.0,-12.357,-11.0,-14.0
LC18,720575940611373226,33,19,"2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",200,-11.368,-8,-15,10.0,12,8,10.0,12.0,8.0,-6.368,-3.5,-10.5
