idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.675128,0.429488,0.957553,0.000000,0.000000,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
1,C3,0.100000,0.100009,1.012197,0.000000,0.000000,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
2,L1,5.907203,5.657704,2.434576,51.806317,46.706196,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
3,L2,5.911748,0.168880,1.921034,43.982223,53.825615,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
4,L3,6.432657,0.100000,4.874596,50.184612,47.139035,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
5,L4,3.841833,1.024638,0.292687,57.045910,43.393305,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
6,L5,2.923471,0.685334,2.882521,55.102707,47.219543,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
7,Mi1,0.206221,0.220276,0.582403,0.000000,0.000000,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
8,Mi4,0.100000,0.100000,0.100000,0.000000,0.000000,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
9,Mi9,2.932415,2.554132,1.746909,0.000000,0.000000,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
10,R1-6,0.100000,6.169816,0.592342,0.000000,0.000000,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
11,R7,0.100000,1.464069,0.672478,0.000000,0.000000,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
12,R8,0.100000,1.054983,0.627466,0.000000,0.000000,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
13,T1,0.100000,0.100000,1.004573,0.000000,0.000000,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
14,T2,1.431594,1.333210,0.975870,0.000000,0.000000,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232,-54.656916,-0.200000,-56.989324,-54.319271,-0.200000,-52.309232
