idx,ctype,in_gain,out_gain,v_th,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.611953,0.150221,-50.000000,0.975225,0.000000,0.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
1,C3,76.370357,0.274387,-50.000000,1.040890,0.000000,0.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
2,L1,1.294177,2.609035,-50.000000,6.849683,19.935938,14.587567,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
3,L2,6.163602,0.438671,-50.000000,3.877341,100.000000,47.196130,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
4,L3,0.100000,0.380010,-50.000000,1.724086,0.000000,0.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
5,L4,85.080000,1.645208,-50.000000,4.690342,40.191761,30.452806,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
6,L5,0.100000,3.212316,-50.000000,0.100000,57.037238,20.697177,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
7,Mi1,0.244019,2.474214,-50.000000,3.661458,0.000000,0.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
8,Mi4,0.563573,0.100000,-50.000000,5.963381,0.000000,0.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
9,Mi9,0.100000,12.109993,-50.000000,11.480997,0.000000,0.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
10,R1-6,1.901709,2.263575,-50.000000,0.956125,0.000000,0.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
11,R7,0.100000,0.234687,-50.000000,1.026994,0.000000,0.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000,-37.173855,-0.200000,-44.490635,-49.788252,-0.400000,-40.000000
