idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,bias,hp_gain
0,R1-6,1.000000,1.242484,1.016662,52.940075,200.012512,-0.006972,1.254892
1,R7,1.000000,1.207893,0.983506,50.613529,199.986664,-0.011747,1.273185
2,R8,1.000000,0.833817,0.970844,46.787800,200.275970,0.285663,0.778746
3,L1,1.000000,1.219384,1.261207,45.319260,200.020615,0.284627,1.319958
4,L2,1.000000,1.326865,1.260138,54.353359,199.993835,0.295579,1.340698
5,L3,1.000000,0.929245,1.337434,47.182747,199.845886,-0.279344,1.310867
6,L4,1.000000,1.328142,1.285270,46.783585,200.241821,0.346755,1.245939
7,L5,1.000000,1.007557,1.230830,53.221287,200.257156,-0.147397,1.230179
8,Mi1,1.000000,0.859852,1.289290,54.650494,200.261978,0.162327,1.289685
9,Mi4,1.000000,0.863219,0.691521,53.417316,200.295120,-0.190650,0.783695
10,Mi9,1.000000,1.074052,1.040000,47.392666,199.835861,0.228536,1.042413
11,T1,1.000000,0.964141,0.981914,52.825706,199.999954,-0.043417,0.997317
12,T2,1.000000,0.954920,1.001029,51.145885,200.000046,-0.027324,1.018835
13,T2a,1.000000,0.694995,0.971620,48.172062,199.998230,-0.215113,1.043127
14,T3,1.000000,0.719289,1.042122,54.015110,199.996460,-0.182178,1.134796
15,T4a,1.000000,1.363515,0.992429,50.820805,200.037506,0.310307,0.842569
16,T4b,1.000000,1.348621,0.958537,51.548317,200.066238,0.328724,0.865458
17,T4c,1.000000,1.370416,1.032175,54.814724,200.024826,0.327212,0.782810
18,T4d,1.000000,1.022265,0.975854,46.719437,199.999969,-0.025708,0.955270
19,T5a,1.000000,1.074105,1.046744,53.930916,199.999969,0.029193,1.034881
20,T5b,1.000000,1.075386,0.974037,54.485886,200.000015,-0.023696,1.045362
21,T5c,1.000000,1.047918,1.038379,47.875584,200.000000,-0.036972,0.965451
22,T5d,1.000000,0.918992,0.982075,47.686031,199.999985,-0.014715,1.003475
23,Tm1,1.000000,1.005517,1.241325,48.392998,200.265854,-0.094141,1.237174
24,Tm2,1.000000,0.988852,1.315858,52.613419,200.266922,-0.121594,1.246233
25,Tm20,1.000000,1.047652,0.984994,52.290878,200.000000,-0.038073,1.037359
26,Tm21,1.000000,1.270524,1.018704,47.278915,200.000061,0.327351,0.975907
27,Tm3,1.000000,1.167341,1.298278,51.138084,200.254105,0.206509,1.284879
28,Tm4,1.000000,0.904559,1.241622,50.947521,200.262787,-0.085870,1.242209
29,Tm9,1.000000,1.180413,0.852349,50.812874,199.834885,0.214235,0.839590
30,C2,1.000000,0.772351,1.031319,47.784977,200.183609,-0.195643,1.171870
31,C3,1.000000,0.770947,1.028154,52.136848,200.205322,-0.210074,1.207680
