idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,bias,hp_gain
0,R1-6,1.000000,2.815602,1.042846,50.179856,200.000000,-2.226461,2.128831
1,R7,1.000000,10.557749,0.972077,46.233500,200.000000,-0.277235,5.000000
2,R8,1.000000,11.493445,0.973122,35.605289,10000.000000,-2.432527,5.000000
3,L1,1.000000,1.553896,3.973404,46.980320,221.697390,3.813946,3.731281
4,L2,1.000000,1.125631,5.217453,48.613945,393.985612,2.670687,3.097774
5,L3,1.000000,3.808215,4.839058,46.260662,200.000000,3.218851,4.656785
6,L4,1.000000,0.978294,5.761947,56.008936,201.754376,-0.867598,4.398102
7,L5,1.000000,3.854611,5.417963,46.748317,10000.000000,4.017642,0.792034
8,Mi1,1.000000,6.152208,1.911757,51.062702,10000.000000,0.592724,2.141142
9,Mi4,1.000000,0.100000,1.405340,52.891481,10000.000000,-0.765922,1.373282
10,Mi9,1.000000,2.265435,2.990651,52.180629,267.911333,-0.742645,3.058161
11,T1,1.000000,1.264611,0.990625,51.592922,10000.000000,1.271124,0.917896
12,T2,1.000000,0.100000,0.969555,50.832899,200.000000,-0.634888,0.290461
13,T2a,1.000000,0.104459,1.023177,49.997830,200.000000,-1.222444,0.048452
14,T3,1.000000,0.100000,0.980206,51.292191,200.000000,-0.722269,0.000000
15,T4a,1.000000,2.122512,1.005200,58.471854,10000.000000,1.308010,1.294593
16,T4b,1.000000,2.994051,1.028995,56.539360,10000.000000,2.230023,0.589480
17,T4c,1.000000,2.299817,1.000779,53.334161,10000.000000,1.244809,0.176264
18,T4d,1.000000,1.043524,1.011558,52.916709,200.000000,-0.208533,1.259185
19,T5a,1.000000,4.564596,1.041483,56.540963,10000.000000,2.544322,4.126177
20,T5b,1.000000,0.930965,1.037549,45.627625,200.000000,-0.693366,0.658451
21,T5c,1.000000,0.100000,0.978983,50.527106,200.000000,-0.210677,0.000000
22,T5d,1.000000,0.477982,0.996990,54.884761,200.000000,-1.223564,0.107995
23,Tm1,1.000000,1.651469,3.334442,55.348111,10000.000000,3.246491,1.717852
24,Tm2,1.000000,2.322370,1.433766,49.798626,200.000000,3.160974,1.682128
25,Tm20,1.000000,2.155114,0.994178,50.470887,200.000000,3.980665,1.816646
26,Tm21,1.000000,0.398350,1.017207,46.871577,200.000000,-0.981144,0.450757
27,Tm3,1.000000,0.100000,2.741127,57.164338,200.000000,3.383879,1.358859
28,Tm4,1.000000,0.185814,3.212642,53.706978,200.000000,-3.083536,3.245865
29,Tm9,1.000000,2.342539,4.801820,52.240979,200.000000,4.239242,3.717580
30,C2,1.000000,0.430717,1.019990,48.419622,200.000000,-0.526206,0.535698
31,C3,1.000000,2.130486,1.025025,45.622758,10000.000000,0.218223,2.259204
