idx,ctype,in_gain,out_gain,v_th,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1-6,1.000000,1.051057,-50.000000,1.033810,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
1,R7,1.000000,0.979399,-50.000000,0.954145,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
2,R8,1.000000,1.066572,-50.000000,1.016709,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
3,L1,1.000000,1.017559,-50.000000,1.008502,53.620770,46.668427,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
4,L2,1.000000,0.986784,-50.000000,0.984950,48.315983,53.636463,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
5,L3,1.000000,1.028476,-50.000000,1.043424,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
6,L4,1.000000,1.012783,-50.000000,0.992734,46.033398,52.405716,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
7,L5,1.000000,0.938221,-50.000000,1.046243,51.553455,46.529957,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
8,Mi1,1.000000,0.927940,-50.000000,0.995211,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
9,Mi4,1.000000,1.021926,-50.000000,1.009897,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
10,Mi9,1.000000,0.915101,-50.000000,0.975854,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
11,T1,1.000000,1.003007,-50.000000,1.004691,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
12,T2,1.000000,1.074054,-50.000000,0.992211,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
13,T2a,1.000000,0.919711,-50.000000,0.953511,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
14,T3,1.000000,0.978137,-50.000000,0.967529,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
15,T4a,1.000000,1.084124,-50.000000,1.017249,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
16,T4b,1.000000,0.980593,-50.000000,0.983091,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
17,T4c,1.000000,0.959946,-50.000000,1.001266,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
18,T4d,1.000000,1.052159,-50.000000,0.979173,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
19,T5a,1.000000,1.091885,-50.000000,1.006473,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
20,T5b,1.000000,0.971776,-50.000000,1.001355,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
21,T5c,1.000000,0.904997,-50.000000,0.985593,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
22,T5d,1.000000,1.023880,-50.000000,1.021729,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
23,Tm1,1.000000,1.028671,-50.000000,1.021641,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
24,Tm2,1.000000,0.968710,-50.000000,1.025203,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
25,Tm20,1.000000,1.082857,-50.000000,1.008879,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
26,Tm21,1.000000,1.083756,-50.000000,0.956303,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
27,Tm3,1.000000,0.979277,-50.000000,0.985416,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
28,Tm4,1.000000,0.927032,-50.000000,0.954433,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
29,Tm9,1.000000,1.035779,-50.000000,0.958059,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
30,C2,1.000000,1.097926,-50.000000,1.044791,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
31,C3,1.000000,0.912148,-50.000000,0.992066,0.000000,0.000000,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237,-50.127342,-0.249626,-51.256729,-48.842289,-0.244503,-49.090237
