idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,2.222918,2.291135,1.015577,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
1,C3,5.663782,1.993047,1.004303,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
2,L1,2.647881,3.044846,6.026884,49.492250,39.666691,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
3,L2,2.043358,1.797084,4.703847,41.333751,60.222821,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
4,L3,0.258632,0.906954,1.230395,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
5,L4,30.493139,2.260314,13.373616,30.091792,51.355529,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
6,L5,0.100000,2.454357,0.100000,54.629554,46.366176,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
7,Mi1,0.886501,1.955520,2.278804,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
8,Mi4,2.681329,0.862698,4.555258,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
9,Mi9,0.769573,1.658283,2.819752,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
10,R1-6,0.100000,0.178039,0.586909,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
11,R7,3.369888,0.423729,0.644330,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
12,R8,6.889465,0.100000,0.618767,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
13,T1,2.126111,0.307283,1.011751,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
14,T2,2.487534,1.653087,1.031328,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
15,T2a,5.651691,2.396436,1.017638,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
16,T3,0.100000,0.100000,0.953097,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
17,T4a,2.272877,1.357719,1.038779,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
18,T4b,0.497348,1.709429,0.981668,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
19,T4c,0.100000,0.100000,0.986573,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
20,T4d,0.100000,0.100000,1.015641,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
21,T5a,0.629902,7.538460,0.968365,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
22,T5b,0.687687,9.841077,0.954480,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
23,T5c,0.100000,0.100000,0.994273,0.000000,0.000000,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415,-45.716815,-0.272141,-42.871537,-47.665758,-0.200000,-48.843415
