idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,bias,hp_gain
0,R1-6,1.000000,0.979125,1.019638,48.170361,200.000031,-0.045158,1.028831
1,R7,1.000000,0.985373,0.993659,54.468258,200.000000,0.005269,0.979007
2,R8,1.000000,0.973136,0.982775,50.401043,199.999969,-0.009601,0.967131
3,L1,1.000000,0.935777,1.028535,48.532509,200.000015,0.006911,0.980202
4,L2,1.000000,1.059374,1.042658,45.180935,200.000031,-0.031760,0.976879
5,L3,1.000000,1.066828,0.962835,54.710735,200.000015,0.033155,0.993776
6,L4,1.000000,0.954143,1.034664,48.498802,200.000000,0.039020,0.956559
7,L5,1.000000,0.976838,1.011175,45.492939,200.000000,-0.023964,1.000136
8,Mi1,1.000000,1.018148,0.954481,45.164715,199.999969,0.001581,0.985387
9,Mi4,1.000000,0.989070,1.001447,53.876247,200.000031,0.044840,1.014212
10,Mi9,1.000000,0.989460,0.951347,49.052769,200.000031,0.031820,0.967759
11,T1,1.000000,0.919213,0.973263,53.438835,199.999954,-0.030687,1.047819
12,T2,1.000000,1.027363,0.994507,51.619278,200.000031,0.019114,1.023568
13,T2a,1.000000,1.040186,1.031972,51.597538,200.000031,-0.038914,1.023962
14,T3,1.000000,1.087776,1.032619,50.763737,199.999969,-0.044850,1.033625
15,T4a,1.000000,0.971713,1.012773,54.364208,199.999954,-0.022561,1.044722
16,T4b,1.000000,0.943024,0.956563,53.236324,199.999969,-0.028302,1.011984
17,T4c,1.000000,1.043194,0.991707,47.880127,199.999954,-0.030142,0.982461
18,T4d,1.000000,0.910858,0.981558,48.563698,199.999969,0.043544,1.035415
19,T5a,1.000000,0.984413,0.964193,48.305809,199.999954,0.005941,1.038335
20,T5b,1.000000,0.971002,0.977040,45.722397,200.000000,0.026810,0.992196
21,T5c,1.000000,0.999556,1.044852,54.978519,199.999969,-0.028152,0.970302
22,T5d,1.000000,0.919812,0.953172,46.131882,199.999985,0.015522,1.035219
23,Tm1,1.000000,0.917395,1.008634,47.287304,199.999969,-0.013960,0.985807
24,Tm2,1.000000,0.959508,1.022866,48.889942,200.000000,0.008394,0.986583
25,Tm20,1.000000,1.096601,0.958565,52.353230,199.999969,0.049494,0.975847
26,Tm21,1.000000,0.931217,1.022849,54.093788,200.000046,0.024554,0.994509
27,Tm3,1.000000,0.992908,0.982297,49.468258,199.999985,-0.012297,0.986435
28,Tm4,1.000000,1.079503,1.035800,47.984585,199.999969,-0.035647,0.962047
29,Tm9,1.000000,1.090174,0.997262,52.740833,199.999969,-0.005560,1.028336
30,C2,1.000000,1.077748,1.046489,54.769180,199.999969,-0.046226,1.009008
31,C3,1.000000,1.013789,1.048357,46.443581,200.000015,0.025407,1.006809
