,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,1.022271,,,1.009686,1.004503,0.972009,0.971507,,,,,1.023497,,,,,,,,,,,,,,,,,,,0.985563,1.000099
R7,,,1.000286,1.022612,,0.974771,,,0.992939,0.980592,0.973652,,,,,,,,,,,,,,,1.032637,,,,,,1.042258
R8,,1.001018,1.045785,0.999111,1.011029,1.046662,,0.967732,0.982994,1.013615,1.031933,0.960947,,,,,,,,,,,,,,1.007672,1.000661,,,,1.048048,1.036172
L1,1.041152,1.049886,1.020836,0.979026,1.036497,0.988997,0.971757,0.961245,0.984983,0.959468,,0.953628,1.035031,1.045489,,,,,,,,,,0.989277,1.046010,,,0.960594,,,0.963017,0.956919
L2,0.975700,,0.988939,0.981706,0.975024,0.959057,1.025725,0.976054,0.997211,1.041757,0.989977,0.972888,1.022860,0.997785,,,,,,,,,,1.047723,1.049916,1.021910,,1.016588,0.980922,,0.991888,0.977097
L3,,0.977361,1.013939,0.957139,0.965135,,,,0.950244,1.036433,1.024242,0.985206,,,,,,,,,,,,0.951332,0.968322,0.974888,1.015355,,0.950706,0.951437,1.014228,1.016016
L4,0.995437,,,1.014253,1.030956,0.954838,1.048535,0.960110,0.998911,,1.044774,,1.022174,,,,,,,,,,,0.988184,0.997045,,,,0.963697,0.986119,,1.040959
L5,,,,0.968201,0.990032,,,1.029401,1.016441,1.047688,1.037134,0.950364,0.998010,1.027021,,,,,,,,,,1.048451,0.970423,0.982752,0.966455,1.030499,0.984382,,0.992690,1.043849
Mi1,,1.026677,1.048547,0.966759,0.965189,,,1.014233,0.952230,1.012041,0.985467,1.039618,0.997645,0.977226,1.049725,1.017362,0.957344,1.013315,1.046682,,,,,1.004295,0.992639,0.969166,0.980061,1.013173,0.954835,,1.011861,0.957345
Mi4,,,,,0.963502,1.047026,,0.997356,1.024362,1.008798,1.032884,0.951496,,1.019766,,1.027673,0.993646,1.020590,1.028146,,,,,1.000937,1.049110,1.026979,,0.978379,0.965936,1.044420,0.969703,1.024273
Mi9,,,,,,1.015527,1.020640,,0.982577,0.965881,,,1.016291,1.040918,1.031440,1.022423,1.031963,1.028160,0.995502,,,,,1.029465,1.011916,0.984039,1.005350,0.956107,0.981895,0.962439,0.974165,
T1,0.960483,1.026772,0.988710,,1.017154,1.007792,,1.023885,,,1.015241,,,,,,,,,,,,,0.968176,0.996025,1.042835,,,1.025970,,,
T2,,,,,,,,0.950646,0.955636,,0.984015,,0.978998,1.014364,1.037639,,,,,,,,,1.002059,0.994736,,0.972184,0.968020,0.993008,,,
T2a,,,,,,,,,0.991713,,,,1.021393,0.955875,1.014274,,,,,,,,,0.981229,,0.977460,1.043104,1.048175,0.978261,,1.038220,
T3,,,,,,,,,,,,,1.003284,0.977555,0.961499,,,,0.955691,,,,,1.007959,,,0.950173,0.972527,,,,1.008603
T4a,,,,,,,,,,,0.984308,,,,,0.963281,0.967607,0.950493,0.955637,0.991263,,,,,,,,,,,,0.990894
T4b,,,,,,,,,1.010164,1.023554,0.959717,,,,,1.021066,1.046154,,0.990497,,0.998479,,,,,,,,,,,
T4c,,,,,,,,,,,1.045568,,1.045477,,,,,1.028347,,,,1.034240,0.979471,,,,,,,,,
T4d,,,,,,,,,1.044653,,,,,,,,,0.978760,1.026650,,,,1.022939,,,,,,,,,
T5a,,,,,,,,,,,,,0.979300,,,1.000650,,,,0.979825,1.041306,,,,1.023549,,,,,,,
T5b,,,,,,,,,,,,,1.001183,,,,0.996848,,,0.986108,1.013220,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.033012,,,,,1.039563,,,1.012533,1.045654,0.959467,,,,,,,,,
T5d,,,,,,,,,,,,,1.024195,,,,,0.958944,0.965529,,,,1.020248,,,,,,,,,
Tm1,,,,,1.000649,,,0.971498,0.964488,1.046939,1.027584,1.030599,0.950701,1.015671,1.006817,,,0.967042,,1.004762,0.995147,0.952927,1.039507,0.983262,1.028276,1.012419,1.025176,0.960522,0.970708,1.005674,0.995553,0.992273
Tm2,,,,0.954357,1.038017,,,0.953065,0.976462,0.997236,0.971154,1.043897,1.024750,0.977954,1.049669,1.042516,,1.045188,,0.953994,1.045633,1.001581,1.035481,0.962147,,,0.994800,0.986893,1.015329,0.953974,,1.039649
Tm20,,,,,,,,,,0.954520,0.999641,1.042192,1.042493,0.995155,,,,,,,,,,1.041373,0.980858,1.045232,0.959868,,,0.981057,,1.021430
Tm21,,,,,,,,,0.999332,,,,0.963518,0.968170,,,,,,,,,,1.022731,,,1.049255,,,,,
Tm3,,,,0.992949,1.015099,,,,1.000172,1.004411,0.998496,,0.975989,0.962687,0.987550,0.973239,0.991713,0.953868,0.996473,,1.043943,,0.972442,,,,,0.954644,0.988924,,0.993522,0.968414
Tm4,,,,,1.033962,,,,1.005094,1.044913,,1.041898,1.012489,1.000989,1.017557,,,,,0.954227,0.975002,1.028199,1.022978,0.960481,1.031465,,1.013306,0.980611,0.964630,,1.048820,0.959908
Tm9,,,,,,0.975194,,,,0.969915,1.000634,,1.039667,1.049029,,,,,,0.969319,1.036589,1.022365,1.012543,0.985000,1.022963,0.979499,0.964968,,0.963580,1.044767,,
C2,0.964536,0.983462,1.017420,1.040046,0.985183,1.044882,1.037854,1.044138,0.968290,0.969015,,1.049566,1.000554,0.963437,0.986893,,,,,,,,,0.968817,,,,,,1.019804,0.987292,1.004000
C3,1.041823,,,1.048000,1.025786,0.991834,0.964685,1.025331,1.030340,0.984936,1.004052,1.004534,1.015455,1.014803,0.970941,0.954431,1.032864,1.034475,1.010386,,,,,1.020507,0.970808,1.006670,0.960964,0.959262,0.962058,0.975546,0.966459,
