,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.988881,,,0.951083,1.031981,0.979397,1.048307,,,,,0.982335,,,,,,,,,,,,,,,,,,,0.961284,1.038602
R7,,,1.048468,1.016000,,0.961788,,,0.992294,1.005804,1.030492,,,,,,,,,,,,,,,1.026654,,,,,,0.958290
R8,,1.013903,1.027808,1.008538,0.956607,0.997438,,0.962058,0.961758,1.040658,0.960863,1.019029,,,,,,,,,,,,,,0.995883,1.038945,,,,0.952486,0.968194
L1,0.962173,0.984936,0.967486,1.004686,0.954207,1.002373,1.045139,1.046462,0.974311,1.023108,,1.026895,0.977379,1.025661,,,,,,,,,,0.965188,0.997704,,,1.024249,,,0.998116,0.956351
L2,0.977352,,0.999886,1.003532,1.031305,0.987927,0.987298,1.041506,1.019702,0.988749,1.025189,1.026445,1.030796,1.021295,,,,,,,,,,0.986654,0.998376,1.001835,,1.020808,1.004663,,0.951582,1.009703
L3,,1.000726,0.972206,0.963934,0.996437,,,,1.039471,0.971979,1.007824,1.012847,,,,,,,,,,,,1.047950,0.990094,0.964062,0.963219,,1.012538,0.995761,0.998088,1.034173
L4,1.047258,,,0.954029,1.028408,0.956826,0.978273,1.041799,0.972261,,0.980064,,1.027907,,,,,,,,,,,1.041962,0.960914,,,,1.030167,1.016436,,0.999378
L5,,,,0.972165,0.960456,,,0.962217,0.963386,1.032879,1.045389,0.952085,1.041310,1.032719,,,,,,,,,,1.036867,1.049218,1.001687,0.969709,0.959802,0.960152,,1.035851,1.038125
Mi1,,1.036730,0.995349,1.030890,1.013721,,,0.960261,0.962057,1.003453,1.004790,0.983267,1.035743,1.010882,1.042897,1.012239,1.013117,1.001170,1.035503,,,,,1.025652,0.999985,1.007667,1.000832,1.013522,1.003270,,0.988938,0.966160
Mi4,,,,,0.998365,0.979679,,0.987001,1.049222,0.972431,0.988759,0.993422,,0.986754,,1.026760,1.017288,0.989487,1.035962,,,,,1.000097,1.032086,1.028188,,1.043682,0.986273,1.001525,0.971075,0.997682
Mi9,,,,,,1.028408,0.985188,,0.974346,0.954017,,,1.035942,0.980645,1.027288,0.996734,1.049079,0.956899,0.984418,,,,,1.046813,0.997941,0.991876,1.009848,1.040934,0.977206,1.011356,0.970036,
T1,0.960598,1.041225,1.038982,,1.021554,1.043319,,1.041455,,,0.951965,,,,,,,,,,,,,1.043371,0.969655,0.997111,,,0.958304,,,
