idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,0.930972,0.990761,52.522835,199.999969,-0.024140,0.999317
1,R7,1.000000,0.964469,1.023908,50.406494,200.000000,-0.041888,1.018083
2,R8,1.000000,0.938905,0.987034,54.769932,200.000015,0.018887,0.989502
3,L1,1.000000,1.080058,0.950134,47.960934,199.999954,-0.001703,1.048586
4,L2,1.000000,0.980525,0.954035,48.921490,199.999985,-0.030740,0.983806
5,L3,1.000000,1.033046,1.046348,52.388474,200.000015,0.022513,1.008546
6,L4,1.000000,0.923315,1.037781,47.078606,199.999954,0.025904,0.957453
7,L5,1.000000,0.947944,0.990873,53.205814,200.000015,-0.041034,1.037827
8,Mi1,1.000000,0.989091,1.012967,49.303246,199.999969,0.025403,0.990299
9,Mi4,1.000000,0.975138,1.026885,47.325100,200.000046,-0.011553,1.024962
10,Mi9,1.000000,1.025326,1.034197,45.799881,199.999969,0.026970,0.950796
11,T1,1.000000,0.937716,0.958186,48.674744,200.000000,-0.016230,1.037431
12,T2,1.000000,1.074752,0.964595,48.278690,199.999985,-0.031056,0.977355
13,T2a,1.000000,0.984738,1.028596,50.132648,200.000015,-0.034229,0.956559
14,T3,1.000000,0.927052,0.986316,50.110931,199.999985,0.035087,1.048652
15,T4a,1.000000,1.015569,1.043092,53.297516,200.000000,0.000493,0.977137
16,T4b,1.000000,1.081448,1.025788,46.693245,199.999969,0.007113,1.017052
17,T4c,1.000000,0.965992,1.015860,51.856804,200.000031,-0.030110,0.993367
18,T4d,1.000000,1.062358,0.964754,54.285168,199.999969,0.023296,0.988670
19,T5a,1.000000,1.067670,1.002390,54.956886,200.000000,-0.002747,0.991777
20,T5b,1.000000,0.982349,0.965580,46.369343,199.999969,0.049441,0.966771
21,T5c,1.000000,1.065253,0.978264,52.543869,199.999969,-0.033469,0.954832
22,T5d,1.000000,1.028869,0.965613,46.770607,199.999954,0.030256,0.974409
23,Tm1,1.000000,0.960191,1.015329,49.643097,200.000031,-0.023117,0.968728
24,Tm2,1.000000,1.034763,0.964422,46.528828,199.999954,-0.001167,0.952349
25,Tm20,1.000000,1.038268,1.041174,52.197678,200.000031,-0.008882,1.026996
26,Tm21,1.000000,1.060336,1.003085,46.715473,199.999954,0.001757,1.007957
27,Tm3,1.000000,1.063721,1.049226,49.990238,200.000000,-0.042305,0.980882
28,Tm4,1.000000,0.974378,0.989148,46.709370,200.000046,0.002394,0.992711
29,Tm9,1.000000,1.078118,0.983473,51.628578,200.000000,-0.010980,1.029593
30,C2,1.000000,1.093633,1.015691,49.879066,199.999985,-0.005692,0.979105
31,C3,1.000000,1.048995,0.951352,53.734840,200.000000,-0.002115,0.996784
