,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,3.967589,,,2.233883,3.997040,3.411449,23.697358,,,,,3.783479,,,,,,,,,,,,,,,,,,,1.308271,1.356965
R7,,,0.311292,7.039594,,9.438097,,,0.100000,0.100000,11.378556,,,,,,,,,,,,,,,0.969454,,,,,,0.100000
R8,,0.100000,3.271655,12.206695,9.396228,5.305757,,0.100000,0.100000,0.100000,9.078455,3.292342,,,,,,,,,,,,,,1.003772,1.027359,,,,0.426960,2.798144
L1,1.044743,0.100000,0.100000,0.494546,0.100000,1.311175,0.959760,0.918894,1.481031,0.100000,,9.277002,8.950719,1.049680,,,,,,,,,,2.305090,3.037043,,,4.826558,,,0.665260,4.600593
L2,0.366729,,1.599820,8.966335,2.981988,0.100000,6.175193,0.100000,0.305724,6.561189,3.456226,1.629731,2.413974,0.991783,,,,,,,,,,2.315597,2.603399,0.600650,,0.100000,4.425941,,1.111449,2.722259
L3,,0.107668,0.476014,0.100000,19.814402,,,,0.100000,0.100000,3.001183,2.341430,,,,,,,,,,,,2.146900,29.107524,0.746506,1.023355,,23.629474,4.427899,1.021449,9.356003
L4,3.087113,,,0.116650,3.832192,0.100000,0.100000,22.674156,0.258631,,2.071563,,8.416668,,,,,,,,,,,0.100000,0.894186,,,,0.100000,5.368543,,4.831868
L5,,,,1.773990,5.435187,,,0.821062,2.667006,3.926084,0.100000,18.897450,1.547588,0.997552,,,,,,,,,,11.736846,0.100000,0.868075,0.924800,0.321129,8.793567,,1.883545,2.099470
Mi1,,2.656897,0.855040,3.477184,3.973233,,,2.722649,0.100000,1.156644,2.183902,0.163679,0.100781,0.428043,1.017046,6.252304,2.570439,4.754308,0.311619,,,,,0.100000,4.043380,1.000053,0.980705,0.759150,0.100000,,0.100000,2.145329
Mi4,,,,,1.893373,4.389727,,2.392029,0.605620,2.225142,0.120016,0.100000,,0.972713,,0.100000,0.792482,1.246927,1.022038,,,,,0.671043,0.100000,0.991767,,4.049386,0.398355,0.813052,1.062944,1.044782
Mi9,,,,,,0.100000,4.128071,,0.349070,4.470826,,,0.100000,1.023682,1.030822,8.202296,7.135798,5.882236,0.885715,,,,,0.100000,0.100000,1.045993,0.941407,2.759839,0.100000,0.100000,1.097861,
T1,1.033774,0.100000,6.081271,,1.426400,0.100000,,0.100000,,,5.764461,,,,,,,,,,,,,21.509718,15.610197,0.986072,,,15.981790,,,
T2,,,,,,,,17.655463,3.713435,,0.108795,,2.259840,1.037672,0.972486,,,,,,,,,1.981213,0.230087,,0.844691,0.100000,0.100000,,,
T2a,,,,,,,,,0.415865,,,,1.045328,0.947027,0.974233,,,,,,,,,1.056497,,1.024400,1.010088,0.473486,0.989175,,0.674309,
T3,,,,,,,,,,,,,0.968673,1.042637,1.013976,,,,1.027727,,,,,0.995278,,,1.030535,1.472912,,,,0.962343
T4a,,,,,,,,,,,4.872351,,,,,0.100000,0.979695,1.041193,1.020980,1.041960,,,,,,,,,,,,0.101279
T4b,,,,,,,,,0.165027,4.481959,3.877806,,,,,0.980313,0.122624,,0.976236,,14.598112,,,,,,,,,,,
T4c,,,,,,,,,,,3.204796,,0.968682,,,,,0.100000,,,,0.997443,1.029577,,,,,,,,,
T4d,,,,,,,,,0.178986,,,,,,,,,0.989433,0.956520,,,,0.995195,,,,,,,,,
T5a,,,,,,,,,,,,,0.805837,,,0.964630,,,,0.975689,0.981315,,,,0.104940,,,,,,,
T5b,,,,,,,,,,,,,4.512537,,,,0.100000,,,1.014604,0.634601,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.906031,,,,,0.100000,,,1.010352,1.043987,0.957689,,,,,,,,,
T5d,,,,,,,,,,,,,0.100000,,,,,11.066481,0.974143,,,,0.727088,,,,,,,,,
Tm1,,,,,0.411266,,,4.009029,0.672581,1.158890,1.201446,3.136878,1.299536,0.224295,0.100000,,,1.033392,,0.100000,2.315384,0.746540,9.791990,5.189229,2.124489,0.286450,0.446193,0.100000,0.723516,11.279284,0.731784,9.142479
Tm2,,,,0.100000,1.227005,,,4.601417,2.985626,2.841896,1.878686,3.147095,3.523186,0.817237,0.801571,1.036009,,0.100000,,0.100000,1.452368,0.112520,4.839826,1.391257,,,0.541467,0.100000,0.100618,4.385484,,2.227808
Tm20,,,,,,,,,,1.014332,0.945170,0.981913,1.049668,0.976008,,,,,,,,,,1.034666,1.009289,1.017785,1.004880,,,0.952486,,1.030897
Tm21,,,,,,,,,0.295102,,,,0.794937,0.950475,,,,,,,,,,1.737572,,,0.963922,,,,,
Tm3,,,,3.714642,0.103973,,,,3.252556,7.525091,0.100000,,1.332385,0.904942,0.579856,0.689059,0.100000,0.100000,0.100000,,0.950646,,0.997980,,,,,2.137735,0.100000,,0.957497,5.890171
Tm4,,,,,7.244496,,,,0.198006,7.030634,,19.873234,25.072665,0.850683,0.100000,,,,,0.835184,0.100000,0.851874,11.077659,0.911718,3.230355,,0.970856,0.882421,0.168362,,0.471187,0.100000
Tm9,,,,,,4.521745,,,,0.629992,1.199209,,8.217724,1.039210,,,,,,0.100000,0.144913,0.312993,0.616480,0.100000,0.100000,0.975393,0.967596,,3.777812,10.230829,,
C2,1.225005,1.049099,0.707760,1.282312,0.100000,1.301943,0.377006,2.384213,0.819728,1.585194,,0.208018,0.995378,1.032167,1.017188,,,,,,,,,0.455174,,,,,,0.439273,0.810072,1.025461
C3,3.109495,,,0.100000,0.100000,1.793420,0.178831,5.432755,5.738740,0.100000,2.165061,0.100000,0.100000,0.990416,1.044208,5.172904,8.668088,4.683737,0.974761,,,,,2.137321,0.100000,0.958946,0.978270,1.042646,4.035667,0.100000,1.049351,
