,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,12.094433,,,3.236434,1.602549,4.313913,2.627992,,,,,0.100000,,,,,,,,,,,,,,,,,,,0.444733,5.379930
R7,,,1.527504,13.829166,,10.631180,,,0.100000,0.100000,5.078784,,,,,,,,,,,,,,,1.737841,,,,,,0.100000
R8,,0.100000,1.336266,18.918031,0.100000,11.208091,,2.924067,0.100000,0.100000,7.407180,0.100000,,,,,,,,,,,,,,34.127209,0.950831,,,,0.419014,0.100000
L1,0.290158,0.100000,0.100000,0.100000,0.100000,1.207084,0.100000,4.739597,2.157399,0.100000,,62.151733,0.996560,1.007322,,,,,,,,,,0.100000,4.437736,,,0.355618,,,1.644630,2.660974
L2,0.851571,,0.100000,0.100000,39.050822,0.100000,8.423480,0.100000,0.100000,29.272384,0.100000,0.100000,0.693393,0.969845,,,,,,,,,,1.646754,2.628669,0.100000,,0.100000,2.651050,,1.423661,6.612526
L3,,0.178340,0.515564,0.100000,12.697870,,,,0.515842,0.100000,3.454596,0.100000,,,,,,,,,,,,0.100000,2.847771,0.100000,0.992129,,2.631830,4.997154,0.800272,0.100000
L4,0.117633,,,0.100000,13.607777,0.100000,1.025140,0.100000,13.285763,,0.100000,,0.100000,,,,,,,,,,,0.100000,0.100000,,,,0.100000,0.100000,,0.100000
L5,,,,0.100000,2.739981,,,8.562259,2.551171,0.100000,0.100000,59.387837,0.875728,0.985209,,,,,,,,,,0.100000,0.100000,31.543610,0.100000,6.437725,0.100000,,0.394630,5.403365
Mi1,,1.206223,0.526719,5.963526,6.965591,,,0.100000,0.100000,4.413283,2.650405,0.100000,0.972969,1.037526,0.986173,1.671170,0.129599,0.378102,0.100000,,,,,0.100000,0.100000,0.100000,0.100000,1.242014,0.731113,,1.012589,0.825260
Mi4,,,,,0.100000,0.100000,,41.200252,0.100000,32.003726,0.100000,65.105512,,1.027881,,0.100000,0.100000,0.955478,1.007058,,,,,33.340765,43.900801,0.100000,,11.627410,7.230373,0.100000,1.120843,0.100000
Mi9,,,,,,0.100000,0.100000,,5.954821,4.755634,,,1.077315,1.779392,1.021216,0.208160,0.100000,2.298677,1.801354,,,,,0.156415,1.022831,18.349191,15.168881,0.881965,0.806896,0.134095,1.049610,
T1,0.980396,7.006029,5.356141,,3.707697,0.100000,,0.100000,,,20.118648,,,,,,,,,,,,,0.100000,0.100000,3.486511,,,0.100000,,,
T2,,,,,,,,1.240443,0.100000,,0.992774,,0.384447,0.961118,1.021907,,,,,,,,,1.832792,2.211676,,1.030447,0.950456,1.514237,,,
T2a,,,,,,,,,0.100000,,,,1.000371,0.967834,1.049851,,,,,,,,,0.973607,,1.675240,1.048032,0.100000,1.018134,,0.838133,
T3,,,,,,,,,,,,,0.671149,1.037500,1.036880,,,,1.025465,,,,,1.024975,,,1.015100,0.100000,,,,1.042453
T4a,,,,,,,,,,,3.952807,,,,,4.279199,0.973329,0.962759,0.957792,1.001231,,,,,,,,,,,,0.100000
T4b,,,,,,,,,0.100000,0.105669,5.209173,,,,,0.100000,3.702865,,1.027388,,1.015879,,,,,,,,,,,
T4c,,,,,,,,,,,0.878347,,0.997469,,,,,1.009371,,,,0.966898,0.998339,,,,,,,,,
T4d,,,,,,,,,0.100000,,,,,,,,,0.994022,0.861779,,,,0.993136,,,,,,,,,
T5a,,,,,,,,,,,,,0.913075,,,0.100000,,,,0.732985,1.021731,,,,6.622316,,,,,,,
T5b,,,,,,,,,,,,,0.749023,,,,0.100000,,,0.962140,0.100000,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.963091,,,,,1.016159,,,1.002459,0.991840,1.047917,,,,,,,,,
T5d,,,,,,,,,,,,,1.000364,,,,,0.961563,1.049943,,,,1.024130,,,,,,,,,
Tm1,,,,,4.999130,,,0.100000,1.160997,22.011674,0.100000,0.100000,0.953241,0.100000,0.100000,,,0.985799,,1.046401,0.100000,0.983839,0.986475,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,5.830606,0.616518,0.100000
Tm2,,,,0.100000,3.046399,,,0.100000,0.100000,27.247562,0.100000,14.372411,0.100000,0.131325,0.100000,0.971273,,0.100000,,0.100000,0.100000,0.985660,0.947727,0.100000,,,0.100000,0.100000,0.100000,6.689577,,0.100000
Tm20,,,,,,,,,,13.350677,5.278708,0.100000,0.951907,1.695173,,,,,,,,,,0.100000,0.100000,0.100000,0.963054,,,0.369160,,0.100000
Tm21,,,,,,,,,0.100000,,,,0.100000,1.028638,,,,,,,,,,12.363715,,,0.420652,,,,,
Tm3,,,,0.100000,0.100000,,,,0.100000,0.100000,23.145296,,1.031039,0.965417,1.007255,6.245027,8.877085,1.269555,0.468726,,0.953079,,0.967086,,,,,8.984883,0.100000,,0.999448,83.603900
Tm4,,,,,8.384915,,,,16.643882,15.244432,,18.698476,0.960706,0.154665,0.100000,,,,,2.486842,1.803323,0.984906,1.039021,0.100000,0.100000,,0.100000,0.100000,0.100000,,0.492694,0.100000
Tm9,,,,,,0.100000,,,,0.453370,0.100000,,1.026307,1.020606,,,,,,0.100000,0.100000,0.988531,1.014071,0.100000,0.100000,0.100000,1.040785,,15.411465,22.083077,,
C2,1.314152,1.048003,0.668130,0.438142,0.425765,0.425346,0.358585,1.614983,1.552466,1.644522,,0.494138,0.951196,0.977362,0.996968,,,,,,,,,0.448238,,,,,,0.439202,0.830297,1.017586
C3,46.266375,,,0.100000,0.100000,0.100000,3.418755,0.100000,13.169475,0.100000,5.476972,0.100000,0.952570,1.045032,0.993359,45.388885,18.053937,1.037216,1.013019,,,,,8.028977,0.100000,53.544106,1.020038,2.140713,16.118447,0.100000,0.967536,
