,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,14.474350,,,10.298812,10.871026,17.274670,10.611324,,,,,2.484261,,,,,,,,,,,,,,,,,,,70.781056,0.144910
R7,,,0.792758,32.754452,,37.558159,,,0.354272,0.100000,52.780943,,,,,,,,,,,,,,,17.437201,,,,,,0.100000
R8,,0.538192,2.221344,24.759130,0.100000,28.614804,,0.100000,0.100000,0.100000,47.776014,0.599796,,,,,,,,,,,,,,41.050768,1.007027,,,,0.100000,0.100000
L1,0.100000,3.327656,2.216725,0.100000,1.168519,9.094799,0.100000,3.411555,3.307960,3.659267,,2.588812,11.362079,3.639777,,,,,,,,,,0.100000,0.100000,,,11.069474,,,0.100000,11.798270
L2,1.802298,,0.100000,0.100000,0.316971,0.100000,14.173025,0.100000,0.100000,0.100000,5.962670,0.100000,0.100000,0.964439,,,,,,,,,,3.303461,4.313867,0.100000,,0.100000,19.257130,,52.744085,0.100000
L3,,0.100000,1.422370,2.289673,29.254911,,,,0.100000,49.558191,32.185859,0.969727,,,,,,,,,,,,0.100000,0.830372,13.717536,0.998274,,5.316958,0.100000,0.100000,52.342771
L4,1.859442,,,3.125343,3.184140,10.827519,3.259510,30.645524,100.000000,,0.100000,,0.115852,,,,,,,,,,,12.784786,0.100000,,,,0.100000,0.100000,,0.100000
L5,,,,0.100000,0.100000,,,0.719261,3.069912,7.160743,0.100000,0.496831,0.101143,1.547584,,,,,,,,,,0.100000,0.100000,0.100000,0.100000,15.918074,0.100000,,16.764587,0.602820
Mi1,,29.983550,3.923396,4.853586,9.547967,,,0.100000,7.210192,1.684883,0.100000,3.773927,10.328699,0.100000,0.100000,0.100000,0.512054,6.657688,0.100000,,,,,0.100000,0.100000,20.772770,0.100000,0.100000,0.100000,,0.100000,1.532639
Mi4,,,,,5.338965,0.100000,,1.364771,0.100000,0.100000,2.069966,1.046560,,0.100014,,0.100000,0.100000,13.220548,0.974842,,,,,5.718286,6.890452,0.100000,,11.282911,0.100000,13.110211,0.100000,0.994144
Mi9,,,,,,41.328685,3.973521,,0.100000,4.158671,,,0.100000,0.100000,1.343610,0.100000,2.493215,0.100000,2.789145,,,,,0.100000,13.918976,31.981258,2.768970,0.100000,10.515682,0.100000,65.965602,
T1,2.656863,0.489950,2.407604,,0.102331,0.178690,,1.227377,,,0.482167,,,,,,,,,,,,,0.313127,0.100000,7.954081,,,3.078037,,,
T2,,,,,,,,2.379218,2.359065,,0.100000,,15.239706,0.953286,0.100000,,,,,,,,,20.613041,63.661583,,32.693650,0.100000,1.528252,,,
T2a,,,,,,,,,4.281461,,,,0.100000,99.439683,3.529967,,,,,,,,,1.949407,,0.127660,0.995105,0.100000,0.100000,,58.931383,
T3,,,,,,,,,,,,,0.100000,1.023823,1.042615,,,,0.987000,,,,,3.310785,,,9.678302,17.542789,,,,0.100000
T4a,,,,,,,,,,,7.129532,,,,,6.434501,0.997559,0.968500,0.987709,1.049976,,,,,,,,,,,,0.658591
T4b,,,,,,,,,0.100000,0.100000,7.958544,,,,,0.100000,16.096551,,1.022259,,13.280136,,,,,,,,,,,
T4c,,,,,,,,,,,10.803199,,1.043039,,,,,11.328265,,,,0.979879,0.993043,,,,,,,,,
T4d,,,,,,,,,0.231342,,,,,,,,,0.972701,0.100000,,,,1.004613,,,,,,,,,
T5a,,,,,,,,,,,,,0.100000,,,73.875139,,,,0.100000,0.974317,,,,21.039843,,,,,,,
T5b,,,,,,,,,,,,,0.100024,,,,71.663803,,,10.889769,9.954525,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.387748,,,,,43.191212,,,1.030467,0.100000,0.992119,,,,,,,,,
T5d,,,,,,,,,,,,,6.667706,,,,,4.864327,0.968539,,,,20.531761,,,,,,,,,
Tm1,,,,,0.100000,,,0.163730,22.522649,0.100000,11.070268,0.100000,22.753910,0.100000,11.554819,,,1.007117,,0.100000,59.563918,0.100000,11.304362,91.976186,0.100000,0.100000,0.211956,6.192821,0.100000,15.122322,9.945542,2.107094
Tm2,,,,0.100000,0.100000,,,2.647043,18.772777,0.100000,15.340876,0.100000,0.268114,0.283466,0.180135,1.001024,,100.000000,,2.358697,2.249476,21.750845,4.457118,0.100000,,,20.574697,100.000000,0.100000,0.100000,,0.629687
Tm20,,,,,,,,,,0.100000,21.155090,0.100000,0.100000,39.580394,,,,,,,,,,0.100000,0.100000,0.100000,1.026187,,,26.078982,,3.519170
Tm21,,,,,,,,,5.757337,,,,0.100000,1.005640,,,,,,,,,,60.111633,,,0.100000,,,,,
Tm3,,,,0.100000,0.100000,,,,0.636389,21.558029,0.100000,,0.113269,0.100000,0.100000,19.807494,0.885668,0.100000,0.100000,,1.025728,,1.030141,,,,,55.376247,0.100000,,0.100000,2.618663
Tm4,,,,,20.024986,,,,0.100000,0.100000,,0.984820,0.100000,0.383719,5.866347,,,,,0.100000,4.810551,8.743736,5.115635,22.604193,7.397507,,2.763537,0.100000,22.248065,,0.100000,0.100000
Tm9,,,,,,0.100000,,,,72.467407,0.133713,,6.707904,0.294536,,,,,,0.100000,0.100036,0.100000,6.895626,0.100000,0.100000,0.100000,0.958586,,0.100000,66.938650,,
C2,12.848445,33.413137,0.519273,3.630796,5.107715,0.100000,10.898991,0.100000,0.100000,16.283435,,0.100000,26.273290,2.176200,100.000000,,,,,,,,,22.178442,,,,,,46.093737,0.100000,28.943008
C3,36.560735,,,1.224365,0.222709,0.100000,0.100000,21.937346,14.816999,0.100000,1.669198,0.104009,100.000000,0.100000,0.100000,0.100000,52.152878,0.100000,0.950018,,,,,0.100000,0.100000,19.691486,0.144924,0.100000,0.100000,0.100000,0.100000,
