idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,0.962792,10.000000,10000.000000,-0.413149,1.000000
1,R7,1.000000,5.000000,0.981366,10.000000,10000.000000,-0.360734,1.000000
2,R8,1.000000,5.000000,1.031745,10.000000,10000.000000,-0.412603,1.000000
3,L1,1.000000,5.000000,1.026033,10.000000,180.640338,8.548084,5.000000
4,L2,1.000000,5.000000,1.024338,10.000000,165.402641,10.032188,5.000000
5,L3,1.000000,5.000000,1.043041,10.000000,10000.000000,4.303389,1.000000
6,L4,1.000000,1.057231,0.950444,10.000000,165.554439,-0.523084,5.000000
7,L5,1.000000,2.151437,0.963647,10.000000,183.257209,-0.051192,1.103632
8,Mi1,1.000000,5.000000,1.013250,10.000000,10000.000000,2.979780,1.000000
9,Mi4,1.000000,5.000000,1.027245,10.000000,10000.000000,5.012639,1.000000
10,Mi9,1.000000,5.000000,0.968753,10.438117,10000.000000,0.244814,1.000000
11,T1,1.000000,2.492403,0.971823,50.889565,9990.158837,-5.727931,1.000000
12,T2,1.000000,5.000000,0.991947,58.704038,9964.008378,-3.076450,1.000000
13,T2a,1.000000,5.000000,1.002017,74.722264,9955.858866,11.699293,1.000000
14,T3,1.000000,5.000000,0.986860,79.474700,9939.054487,20.000000,1.000000
15,T4a,1.000000,0.515168,0.960874,50.711592,9998.643274,-1.122601,1.000000
16,T4b,1.000000,0.500000,0.982535,55.470010,9993.422851,0.967373,1.000000
17,T4c,1.000000,5.000000,0.953171,15.307518,9999.462587,-0.098308,1.000000
18,T4d,1.000000,1.066916,0.978054,51.461872,9991.776799,-2.221244,1.000000
19,T5a,1.000000,5.000000,1.029493,30.041214,9990.040530,9.086203,1.000000
20,T5b,1.000000,4.974539,1.034626,85.077012,9979.635157,19.214546,1.000000
21,T5c,1.000000,0.500000,0.998047,50.218744,9999.972732,-3.240773,1.000000
22,T5d,1.000000,4.684857,0.963799,42.987418,9997.333600,18.250591,1.000000
23,Tm1,1.000000,3.895531,1.020180,10.000000,10000.000000,18.723870,1.000000
24,Tm2,1.000000,2.067166,1.020436,10.000000,9962.520545,2.532610,1.000000
25,Tm20,1.000000,5.000000,0.951909,18.359514,9969.479324,0.299107,1.000000
26,Tm21,1.000000,4.785525,0.979671,65.147261,9983.255237,18.850544,1.000000
27,Tm3,1.000000,0.500000,0.990420,10.000000,10000.000000,1.903925,1.000000
28,Tm4,1.000000,5.000000,0.986555,10.000000,10000.000000,-0.920600,1.000000
29,Tm9,1.000000,2.595639,0.971698,10.000000,9965.719020,-3.470267,1.000000
30,C2,1.000000,4.633530,0.985364,59.453905,9978.304318,1.458492,1.000000
31,C3,1.000000,0.608335,1.037486,32.985364,9984.725559,1.815710,1.000000
