,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.500000,,,5.000000,5.000000,5.000000,5.000000,,,,,4.476209,,,,,,,,,,,,,,,,,,,0.500000,5.000000
R7,,,0.500000,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.500000
R8,,0.500000,5.000000,5.000000,5.000000,5.000000,,0.500000,0.500000,0.500000,5.000000,1.034937,,,,,,,,,,,,,,5.000000,1.008660,,,,0.500000,2.419249
L1,0.741590,0.500000,0.500000,0.500000,0.500000,1.389203,0.500000,4.641821,2.015827,0.500000,,5.000000,5.000000,0.500000,,,,,,,,,,5.000000,0.500000,,,5.000000,,,0.662914,0.500000
L2,0.500000,,0.500000,1.758999,0.960768,2.846488,4.570216,0.500000,0.500000,0.500000,1.669245,0.529439,4.513457,1.021207,,,,,,,,,,1.355606,1.515733,5.000000,,0.500000,5.000000,,5.000000,5.000000
L3,,0.500000,0.500000,0.500000,0.758520,,,,4.418224,0.500000,5.000000,0.503907,,,,,,,,,,,,0.500000,5.000000,5.000000,1.012303,,5.000000,5.000000,0.500000,5.000000
L4,1.298144,,,2.078471,0.872546,0.500000,5.000000,0.500000,5.000000,,0.500000,,5.000000,,,,,,,,,,,4.196887,0.500000,,,,5.000000,0.500000,,0.500000
L5,,,,0.500000,0.500000,,,0.500000,3.089400,5.000000,0.500000,0.500000,5.000000,0.589370,,,,,,,,,,0.500000,0.500000,0.500000,2.041631,5.000000,0.500000,,4.871267,0.500000
Mi1,,0.500000,5.000000,0.500000,1.236908,,,0.500000,1.356551,5.000000,4.002745,0.959521,3.155231,0.779130,0.500000,5.000000,5.000000,5.000000,4.720943,,,,,0.500000,3.514903,1.320014,0.521523,5.000000,0.500000,,0.500000,1.771694
Mi4,,,,,0.500000,5.000000,,5.000000,0.500000,0.500000,2.137182,0.955312,,0.500000,,0.500000,5.000000,0.500000,5.000000,,,,,0.993032,0.500000,5.000000,,0.500000,0.500000,5.000000,0.500000,5.000000
Mi9,,,,,,0.500000,3.754294,,0.500000,2.980533,,,0.500000,0.500000,0.500000,0.500000,1.251118,3.320216,0.500000,,,,,0.500000,5.000000,5.000000,0.500000,0.500000,5.000000,0.500000,0.500000,
