,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,2.712014,,,5.000000,5.000000,5.000000,5.000000,,,,,0.502896,,,,,,,,,,,,,,,,,,,5.000000,0.500000
R7,,,0.500000,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.500000
R8,,0.500000,0.500000,5.000000,0.500000,5.000000,,0.500000,0.500000,0.500000,5.000000,1.955850,,,,,,,,,,,,,,5.000000,1.079879,,,,0.500000,0.500000
L1,0.500000,0.637088,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,1.502499,1.978616,,1.928294,0.580458,4.509938,,,,,,,,,,0.500000,0.500000,,,5.000000,,,4.580814,0.500000
L2,0.500000,,0.500000,0.966033,0.665479,5.000000,4.733876,0.500000,0.500000,0.500000,4.044697,0.500000,0.500000,1.037519,,,,,,,,,,1.043300,1.492386,5.000000,,0.500000,5.000000,,2.118624,1.791787
L3,,0.500000,1.164116,0.500000,0.680046,,,,0.500000,1.017016,0.736655,5.000000,,,,,,,,,,,,0.500000,5.000000,5.000000,1.038147,,0.500000,5.000000,0.620846,2.094623
L4,0.633696,,,0.712688,0.500000,0.500000,0.500000,4.818262,5.000000,,0.500000,,2.864008,,,,,,,,,,,0.500000,0.500000,,,,5.000000,1.525407,,0.500000
L5,,,,0.500000,0.500000,,,3.740043,4.879154,5.000000,0.500000,3.754910,3.203135,5.000000,,,,,,,,,,0.500000,0.500000,0.500000,5.000000,5.000000,0.500000,,1.884858,5.000000
Mi1,,0.500000,5.000000,0.500000,0.500000,,,0.500000,1.706417,5.000000,0.500000,5.000000,0.500000,5.000000,0.500000,5.000000,0.500000,5.000000,5.000000,,,,,0.500000,0.500000,0.500000,5.000000,5.000000,0.500000,,1.921268,5.000000
Mi4,,,,,0.500000,5.000000,,5.000000,0.500000,0.500000,2.345846,0.988725,,0.500000,,0.500000,0.500000,0.500000,2.278803,,,,,3.064407,0.500000,5.000000,,0.500000,0.500000,5.000000,2.752764,0.500000
Mi9,,,,,,0.500000,4.994653,,0.874635,2.275896,,,0.500000,0.500000,0.500000,1.080506,4.729659,3.175212,2.043669,,,,,0.500000,5.000000,5.000000,0.500000,0.500000,5.000000,0.500000,5.000000,
T1,0.969332,1.418644,0.500000,,0.725917,5.000000,,5.000000,,,1.722878,,,,,,,,,,,,,5.000000,1.818474,0.500000,,,5.000000,,,
T2,,,,,,,,4.997138,5.000000,,0.500000,,5.000000,0.951313,5.000000,,,,,,,,,4.650204,0.500000,,4.934837,5.000000,0.500000,,,
T2a,,,,,,,,,1.802308,,,,5.000000,5.000000,1.751569,,,,,,,,,0.500000,,1.491468,0.988708,5.000000,5.000000,,0.699454,
T3,,,,,,,,,,,,,0.500000,0.964191,1.030379,,,,0.983702,,,,,4.608688,,,0.500000,5.000000,,,,0.500000
T4a,,,,,,,,,,,5.000000,,,,,0.500000,1.012374,0.975592,0.990513,0.983543,,,,,,,,,,,,5.000000
T4b,,,,,,,,,0.500000,5.000000,4.531816,,,,,5.000000,5.000000,,0.956251,,0.500000,,,,,,,,,,,
T4c,,,,,,,,,,,5.000000,,0.991826,,,,,5.000000,,,,0.963285,0.999580,,,,,,,,,
T4d,,,,,,,,,0.500000,,,,,,,,,1.010962,2.440768,,,,0.983554,,,,,,,,,
T5a,,,,,,,,,,,,,5.000000,,,1.032342,,,,5.000000,0.979102,,,,0.500000,,,,,,,
T5b,,,,,,,,,,,,,5.000000,,,,0.500000,,,5.000000,0.500000,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.520389,,,,,0.500000,,,0.961302,0.500000,1.035616,,,,,,,,,
T5d,,,,,,,,,,,,,5.000000,,,,,4.695222,0.952907,,,,5.000000,,,,,,,,,
Tm1,,,,,0.500000,,,0.500000,0.500000,0.500000,1.994249,5.000000,5.000000,5.000000,5.000000,,,1.049326,,5.000000,5.000000,0.501531,5.000000,0.500000,0.500000,5.000000,5.000000,0.500000,0.500000,5.000000,0.744997,2.053206
