idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.439884,0.550514,1.014388,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
1,C3,0.598077,0.493227,0.902701,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
2,L1,0.475579,0.472751,0.913049,52.406628,49.271130,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
3,L2,0.546965,0.410970,1.085702,51.847591,50.220402,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
4,L3,0.426122,0.551037,0.988432,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
5,L4,0.471060,0.410177,1.063307,53.679703,52.455315,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
6,L5,0.407856,0.515898,1.061157,54.585938,52.849655,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
7,Mi1,0.425530,0.563723,1.057058,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
8,Mi4,0.519926,0.564586,0.937029,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
9,Mi9,0.505319,0.482951,1.025654,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
10,R1-6,0.494030,0.556314,0.916183,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
11,R7,0.408373,0.483347,1.001029,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
12,R8,0.537368,0.478053,0.993997,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
13,T1,0.530305,0.509611,0.924411,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
14,T2,0.427891,0.495803,0.981759,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
15,T2a,0.554543,0.412950,0.978460,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
16,T3,0.552787,0.500019,0.914321,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
17,T4a,0.544335,0.403037,0.992863,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
18,T4b,0.530082,0.500485,0.940966,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
19,T4c,0.535603,0.454591,1.023737,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
20,T4d,0.518693,0.584871,0.928499,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
21,T5a,0.529273,0.478217,0.940321,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
22,T5b,0.599158,0.599803,1.097233,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
23,T5c,0.472431,0.580517,1.051955,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
24,T5d,0.520803,0.445061,0.939501,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
25,Tm1,0.578277,0.516129,1.084969,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
26,Tm2,0.589219,0.400424,1.097031,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
27,Tm20,0.491225,0.427254,0.984270,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
28,Tm21,0.525941,0.466032,0.927646,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
29,Tm3,0.573292,0.578070,0.968389,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
30,Tm4,0.424744,0.505996,1.078068,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
31,Tm9,0.443514,0.551835,1.074047,0.000000,0.000000,-48.471554,-0.241794,-50.678925,-51.671402,-0.246805,-50.953678
