idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.112923,0.100000,1.075940,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
1,C3,0.302607,0.212235,0.900064,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
2,L1,0.477162,0.513334,1.059444,45.900421,45.229687,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
3,L2,0.512195,0.541377,1.021326,47.532043,54.242744,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
4,L3,0.410387,0.797111,1.057613,0.217246,0.006372,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
5,L4,0.578461,0.589371,1.066585,48.538414,51.555790,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
6,L5,0.473571,0.556795,0.910508,48.145435,46.216087,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
7,Mi1,0.832097,0.820537,0.914581,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
8,Mi4,0.703858,0.540120,1.000651,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
9,Mi9,0.138562,0.166180,0.902327,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
10,R1-6,0.457859,0.333867,0.949403,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
11,R7,0.100000,0.379179,0.941669,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
12,R8,0.772082,0.278846,0.927612,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
13,T1,0.749613,0.637430,1.027294,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
14,T2,0.599063,0.561386,1.032098,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
15,T2a,0.628319,0.880220,0.958876,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
16,T3,0.883797,0.831871,0.965729,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
17,T4a,0.844415,0.924745,1.085343,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
18,T4b,0.893961,0.871105,1.354393,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
19,T4c,0.759795,0.100000,1.319916,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
20,T4d,0.701397,0.822619,1.085974,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
21,T5a,0.463888,0.889005,0.857129,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
22,T5b,0.321691,0.684514,1.174864,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
23,T5c,1.069918,0.311320,1.346900,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
24,T5d,0.100000,0.296629,0.997447,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
25,Tm1,0.257679,0.274968,1.057439,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
26,Tm2,0.578662,0.572093,1.059913,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
27,Tm20,0.119723,0.166106,1.022041,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
28,Tm21,0.840039,0.785567,0.965483,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
29,Tm3,0.864895,0.892600,1.005092,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
30,Tm4,0.895414,0.976277,0.989686,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
31,Tm9,0.299435,0.174861,1.088748,0.000000,0.000000,-52.015717,-0.253019,-50.154011,-50.418583,-0.242551,-49.047565
