idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.100000,1.279659,0.992278,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
1,C3,2.691448,0.100000,0.900914,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
2,L1,1.972010,13.870883,12.674797,41.594449,54.869689,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
3,L2,1.973645,0.779573,3.437513,72.765983,9.552587,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
4,L3,0.100000,0.315965,1.222794,0.000000,0.039333,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
5,L4,45.479611,0.346008,2.696030,41.926756,1.758623,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
6,L5,0.364094,2.197164,19.158735,60.601880,35.837655,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
7,Mi1,11.999373,0.214100,0.507184,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
8,Mi4,1.090059,0.100000,4.300110,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
9,Mi9,0.781307,1.044195,2.399020,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
10,R1-6,2.680583,2.019692,1.005337,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
11,R7,16.278464,0.538957,0.910488,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
12,R8,14.588156,0.100000,0.941173,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
13,T1,0.100000,0.100000,1.002142,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
14,T2,4.389046,0.100000,0.990375,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
15,T2a,0.684824,0.428843,0.944364,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
16,T3,0.100000,0.100000,0.998041,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
17,T4a,8.820340,0.149323,0.229607,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
18,T4b,9.496342,0.137330,0.229457,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
19,T4c,9.863958,0.185134,0.212499,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
20,T4d,14.576817,0.100000,0.204687,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
21,T5a,43.531520,0.100000,0.100000,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
22,T5b,0.100000,0.100000,0.100000,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
23,T5c,78.770148,0.100000,0.100000,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
24,T5d,42.522682,0.100000,0.100000,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
25,Tm1,0.462411,0.149966,1.865738,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
26,Tm2,1.566617,0.100000,1.798327,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
27,Tm20,1.179110,1.290068,1.016709,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
28,Tm21,0.100000,0.100000,1.025487,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
29,Tm3,5.795023,0.120790,2.155383,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
30,Tm4,0.611256,0.590820,5.255352,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
31,Tm9,1.714905,0.100000,2.442713,0.000000,0.000000,-44.538676,-0.200000,-47.608924,-48.560753,-0.400000,-47.539142
