idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,nan,nan,0.961503,0.000000,0.000000,nan,nan,nan,nan,nan,nan
1,C3,nan,nan,1.057274,0.000000,0.000000,nan,nan,nan,nan,nan,nan
2,L1,nan,nan,1.072654,nan,nan,nan,nan,nan,nan,nan,nan
3,L2,nan,nan,0.967428,nan,nan,nan,nan,nan,nan,nan,nan
4,L3,nan,nan,0.923587,nan,nan,nan,nan,nan,nan,nan,nan
5,L4,nan,nan,0.976315,nan,nan,nan,nan,nan,nan,nan,nan
6,L5,nan,nan,0.929744,nan,nan,nan,nan,nan,nan,nan,nan
7,Mi1,nan,nan,0.983922,0.000000,0.000000,nan,nan,nan,nan,nan,nan
8,Mi4,nan,nan,1.060645,0.000000,0.000000,nan,nan,nan,nan,nan,nan
9,Mi9,nan,nan,1.060684,0.000000,0.000000,nan,nan,nan,nan,nan,nan
10,R1-6,nan,nan,0.972809,0.000000,0.000000,nan,nan,nan,nan,nan,nan
11,R7,nan,nan,0.984948,0.000000,0.000000,nan,nan,nan,nan,nan,nan
12,R8,nan,nan,0.971809,0.000000,0.000000,nan,nan,nan,nan,nan,nan
13,T1,nan,nan,1.001638,0.000000,0.000000,nan,nan,nan,nan,nan,nan
14,T2,nan,nan,0.946916,0.000000,0.000000,nan,nan,nan,nan,nan,nan
15,T2a,nan,nan,0.933377,0.000000,0.000000,nan,nan,nan,nan,nan,nan
16,T3,nan,nan,0.927375,0.000000,0.000000,nan,nan,nan,nan,nan,nan
17,T4a,nan,nan,0.972919,0.000000,0.000000,nan,nan,nan,nan,nan,nan
18,T4b,nan,nan,1.070189,0.000000,0.000000,nan,nan,nan,nan,nan,nan
19,T4c,nan,nan,0.915243,0.000000,0.000000,nan,nan,nan,nan,nan,nan
20,T4d,nan,nan,1.058513,0.000000,0.000000,nan,nan,nan,nan,nan,nan
21,T5a,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan
22,T5b,nan,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan
23,T5c,nan,nan,0.919295,0.000000,0.000000,nan,nan,nan,nan,nan,nan
24,T5d,nan,nan,0.934806,0.000000,0.000000,nan,nan,nan,nan,nan,nan
25,Tm1,nan,nan,0.903299,0.000000,0.000000,nan,nan,nan,nan,nan,nan
26,Tm2,nan,nan,1.079178,0.000000,0.000000,nan,nan,nan,nan,nan,nan
27,Tm20,nan,nan,1.067805,0.000000,0.000000,nan,nan,nan,nan,nan,nan
28,Tm21,nan,nan,1.060647,0.000000,0.000000,nan,nan,nan,nan,nan,nan
29,Tm3,nan,nan,1.041860,0.000000,0.000000,nan,nan,nan,nan,nan,nan
30,Tm4,nan,nan,1.094254,0.000000,0.000000,nan,nan,nan,nan,nan,nan
31,Tm9,nan,nan,0.954394,0.000000,0.000000,nan,nan,nan,nan,nan,nan
