idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.917423,1.918273,1.043427,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
1,C3,0.490899,0.409640,1.039834,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
2,L1,3.797926,2.182514,4.068880,45.771611,50.207266,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
3,L2,3.137241,1.439093,4.014374,45.920852,50.617824,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
4,L3,3.279342,0.954050,3.097046,0.000000,45.135515,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
5,L4,4.090027,0.100000,4.143830,45.067578,50.640782,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
6,L5,0.100000,0.335382,0.100000,48.336418,52.076377,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
7,Mi1,0.100000,0.100000,0.154757,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
8,Mi4,0.100000,0.100000,0.100000,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
9,Mi9,2.256502,2.225443,1.087450,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
10,R1-6,0.100000,3.653794,0.968797,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
11,R7,0.100000,1.349943,1.036164,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
12,R8,0.237573,1.319558,1.035099,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
13,T1,0.100000,0.100000,0.980053,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
14,T2,0.100000,0.100000,1.038901,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
15,T2a,0.100000,0.100000,1.018354,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
16,T3,0.100000,0.100000,0.963321,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
17,T4a,0.748478,0.888657,0.984282,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
18,T4b,1.818675,1.794413,0.962165,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
19,T4c,0.485919,0.879786,1.000880,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
20,T4d,0.943281,0.910312,0.967899,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
21,T5a,0.100000,0.100000,1.012108,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
22,T5b,0.100000,0.100000,1.015858,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
23,T5c,0.296175,0.395235,1.012772,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
24,T5d,1.762806,1.650831,0.972200,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
25,Tm1,1.054041,0.436037,0.580133,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
26,Tm2,0.559272,0.115450,0.675113,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
27,Tm20,1.127219,0.917341,1.036201,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
28,Tm21,0.100000,0.100000,0.959484,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
29,Tm3,0.453661,0.100000,0.637661,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
30,Tm4,0.619443,0.217631,1.264489,0.000000,0.000000,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630,-46.730609,-0.236915,-51.276458,-50.428240,-0.281275,-48.172630
