idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.100000,0.100000,0.996855,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
1,C3,9.409902,0.464321,0.969536,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
2,L1,12.106563,0.100000,0.438119,33.105519,56.406299,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
3,L2,6.812527,4.343236,0.420644,52.834782,44.370978,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
4,L3,25.455700,5.544813,0.664583,32.896961,31.507474,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
5,L4,76.138404,0.100000,0.661051,53.045922,6.826398,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
6,L5,0.100000,21.021390,0.100000,60.678631,35.732262,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
7,Mi1,0.100000,0.100000,0.100000,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
8,Mi4,4.070081,0.535437,0.675156,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
9,Mi9,8.999699,6.934661,0.330135,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
10,R1-6,0.100000,19.795647,1.045676,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
11,R7,0.185517,13.501714,0.957934,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
12,R8,1.738620,0.100000,1.031760,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
13,T1,1.418658,4.053040,1.037502,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
14,T2,0.100000,0.100000,1.006288,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
15,T2a,3.342986,0.100000,0.960315,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
16,T3,3.297592,10.482111,1.048630,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
17,T4a,0.100000,0.100000,1.039200,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
18,T4b,0.100000,0.100000,1.000847,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
19,T4c,0.100000,0.100000,0.950771,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
20,T4d,0.533494,0.483433,0.974720,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
21,T5a,0.453675,0.460634,0.990953,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
22,T5b,0.101107,0.101352,1.046204,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
23,T5c,2.998160,0.270618,0.972873,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
24,T5d,0.493070,0.509257,0.998845,0.000000,0.000000,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550,-35.956440,-0.400000,-67.612799,-44.411378,-0.200000,-40.447550
