idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,2.290342,2.275807,0.986237,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
1,C3,1.765526,1.772900,1.046825,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
2,L1,3.351044,0.735485,3.857294,50.746742,45.596784,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
3,L2,2.379137,0.526538,3.825486,45.750500,48.622594,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
4,L3,3.066081,0.703654,3.944009,52.713331,48.904437,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
5,L4,0.212526,0.100000,0.656009,50.314594,55.519416,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
6,L5,0.100000,1.679056,0.100000,46.801715,44.330570,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
7,Mi1,0.141835,0.487052,0.100000,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
8,Mi4,0.100000,0.642289,0.100000,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
9,Mi9,1.420475,1.103911,1.726549,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
10,R1-6,0.100000,2.936293,1.032895,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
11,R7,0.100000,1.899474,0.967100,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
12,R8,0.100000,1.723541,0.964394,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
13,T1,0.176947,0.163366,1.006255,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
14,T2,0.215339,0.220981,1.019616,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
15,T2a,0.100000,0.100000,1.030710,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
16,T3,0.100000,0.100000,1.023754,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
17,T4a,0.472693,0.472490,0.974324,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
18,T4b,0.100000,0.100000,1.002550,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
19,T4c,0.273950,0.280327,0.996278,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
20,T4d,0.484584,0.477303,1.029013,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
21,T5a,0.533383,0.488799,1.037791,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
22,T5b,0.100000,0.100000,0.981304,0.000000,0.000000,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258,-49.236100,-0.200000,-50.310248,-50.037621,-0.200000,-48.199258
