idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.362932,0.311172,0.964246,0.000000,0.000000,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
1,C3,0.106038,0.103131,0.986697,0.000000,0.000000,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
2,L1,2.970665,2.539174,1.041359,48.795324,47.480220,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
3,L2,0.100000,1.026125,0.100000,48.458526,46.957354,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
4,L3,0.100000,1.010312,0.100000,48.797390,52.854550,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
5,L4,0.100000,1.020633,0.100000,54.557016,51.069055,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
6,L5,0.100000,0.979488,0.100000,52.290487,51.759166,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
7,Mi1,0.202170,0.231764,0.100000,0.000000,0.000000,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
8,Mi4,0.598269,0.100000,1.999825,0.000000,0.000000,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
9,Mi9,2.537359,1.404651,4.395677,0.000000,0.000000,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
10,R1-6,4.937848,0.658292,6.926456,40.363269,48.823335,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
11,R7,6.093957,6.080927,6.981559,38.184334,47.355879,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716,-52.821970,-0.200000,-54.010977,-48.298275,-0.200000,-46.279716
