idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.100000,1.796450,0.977691,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
1,C3,0.888354,0.536548,1.048360,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
2,L1,7.459844,8.440191,1.159812,59.970072,35.419141,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
3,L2,3.453944,4.695428,1.965904,61.668655,43.313441,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
4,L3,3.984900,6.997823,4.301089,58.530740,33.145911,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
5,L4,14.598391,6.624441,0.677045,58.943560,42.386296,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
6,L5,6.883508,0.446613,0.977692,47.093328,44.240105,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
7,Mi1,1.261206,0.818772,0.401613,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
8,Mi4,0.100000,0.100000,0.100000,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
9,Mi9,4.640330,0.100000,6.746285,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
10,R1-6,0.100000,3.818434,0.594275,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
11,R7,0.100000,5.973053,0.790723,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
12,R8,0.100000,2.306604,0.695274,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
13,T1,2.703287,3.370295,0.965415,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
14,T2,0.100000,0.100000,0.986944,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
15,T2a,0.100000,0.100000,0.973708,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
16,T3,0.100000,0.100000,0.969920,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
17,T4a,8.895568,9.843320,1.035631,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
18,T4b,0.100000,0.100000,0.975614,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
19,T4c,0.100000,0.100000,0.951665,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
20,T4d,0.443941,0.409757,0.976224,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
21,T5a,0.504573,0.555429,1.003111,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
22,T5b,0.100000,0.100000,1.030315,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
23,T5c,0.100000,0.100000,0.979620,0.000000,0.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000,-37.221535,-0.200000,-62.572009,-36.145563,-0.200000,-40.000000
