idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.500000,1.640715,1.043111,0.000000,0.000000,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
1,C3,0.500000,4.415526,1.010574,0.000000,0.000000,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
2,L1,0.500000,5.718087,8.849496,52.687208,44.990739,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
3,L2,0.500000,4.353572,9.477135,51.589615,45.055679,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
4,L3,0.500000,1.114585,1.593348,0.000000,0.000000,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
5,L4,0.500000,5.221671,21.696211,47.954611,40.478548,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
6,L5,0.500000,5.871516,16.713979,53.367679,52.463154,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
7,Mi1,0.500000,0.995041,2.691066,0.000000,0.000000,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
8,Mi4,0.500000,2.332328,6.393431,0.000000,0.000000,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
9,Mi9,0.500000,2.479781,4.028559,0.000000,0.000000,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
10,R1-6,0.500000,0.835207,0.591878,0.000000,0.000000,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
11,R7,0.500000,1.117084,0.653607,0.000000,0.000000,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728,-31.729277,-0.400000,-40.715597,-47.375745,-0.400000,-41.069728
