,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,1.031648,0.974887,0.389764,1.557411,0.688300,0.461021,0.508129,1.572774,1.252781,,1.040345,0.969451,0.986128,1.010391,0.960781,0.990144,1.024953,,,,,,,,,0.602035,,,,,,1.501921
C3,0.998354,,0.100000,1.575586,1.367099,0.560485,1.710240,1.802407,1.158286,0.100000,1.025507,,,1.018728,0.974717,1.027838,1.032085,0.952899,1.001133,0.986385,1.007016,,,,,0.128753,1.137080,1.046640,0.977219,1.042545,0.327486,0.387994
L1,0.886991,0.248205,6.068147,0.100000,0.413772,0.100000,1.614922,4.282088,1.250384,,1.005234,1.046763,1.049904,0.989344,19.214225,0.999639,,,,,,,,,,1.602656,19.460814,,,5.618523,,
L2,1.040707,1.437424,0.519117,0.100000,0.100000,8.734759,0.100000,0.100000,0.600901,9.000887,0.956115,,0.961214,1.022829,1.982606,0.955472,,,,,,,,,,3.059309,0.100000,0.100000,,0.100000,4.947987,
L3,0.971926,1.650833,0.534413,3.258900,,,,0.100000,0.837311,3.546878,,1.048131,1.032677,0.964524,,,,,,,,,,,,5.609391,20.318968,4.497292,1.020141,,19.887379,7.088625
L4,,1.039091,1.611789,0.100000,9.871510,0.100000,0.100000,0.100000,,0.100000,1.009271,,,,15.257895,,,,,,,,,,,0.100000,0.100000,,,,0.100000,9.762637
L5,0.994634,1.728897,4.757378,9.874694,,,0.100000,0.100000,0.407363,5.405772,,,,1.049454,0.100000,0.965836,,,,,,,,,,0.100000,0.100000,0.100000,0.995908,0.100000,0.100000,
Mi1,0.987913,1.049144,0.100000,0.100000,,,0.100000,12.058043,1.044689,0.163655,,1.041830,1.033187,0.959910,14.689779,1.026865,9.577373,0.100000,0.100000,1.031256,1.013931,,,,,0.100000,0.100000,0.100000,0.985192,4.704998,0.100000,
Mi4,1.006026,0.961600,,1.084873,0.953723,,0.978220,1.033015,0.979227,0.375331,,,,0.968786,,0.977649,,0.964839,0.978577,0.962449,1.043992,,,,,0.907908,1.014414,1.012851,,1.066955,0.992531,1.503541
Mi9,1.023592,,,,5.191599,0.209839,,1.450020,1.575048,,,,,,0.100000,1.015318,4.627110,0.711005,0.460936,1.021501,1.006298,,,,,0.100000,6.614940,1.856989,1.016273,0.100000,0.100000,0.100000
R1-6,0.998831,1.007495,0.970288,0.965022,1.013047,0.969056,,,,,1.020197,,,0.955450,,,,,,,,,,,,,,,,,,
R7,,0.979862,1.076982,,0.475676,,,0.926827,0.901284,1.095546,,,1.029745,,,,,,,,,,,,,,,0.957976,,,,
R8,0.966180,1.019403,0.984188,1.015081,1.007158,,1.022740,0.972115,1.043420,0.996548,,1.012203,1.010500,1.028251,,,,,,,,,,,,,,0.981376,0.968554,,,
T1,,,,0.984524,0.991366,,0.973918,,,1.044041,0.987321,0.972994,0.994147,,,,,,,,,,,,,1.035544,0.986963,1.011695,,,0.977150,
T2,,,,,,,0.100000,3.337436,,13.669143,,,,,1.099194,1.019353,0.100000,,,,,,,,,0.100000,3.064391,,0.957040,1.988256,1.820607,
T2a,0.976324,,,,,,,0.507195,,,,,,,1.004316,1.036434,1.031848,,,,,,,,,1.047014,,0.967709,0.993973,0.742867,0.991047,
T3,,1.009158,,,,,,,,,,,,,6.463694,1.024371,1.005459,,,,0.996648,,,,,0.100000,,,1.043358,4.202807,,
T4a,,1.584539,,,,,,,,3.059978,,,,,,,,0.100000,1.027758,1.010296,1.040847,0.990853,,,,,,,,,,
