idx,ctype,in_gain,out_gain,out_scale,tau_m,tau_hp,bias,hp_gain
0,C2,0.100000,0.100000,1.036716,46.482694,198.807461,-0.715679,1.000000
1,C3,0.310094,0.364497,0.984357,49.860026,193.092255,-0.553045,1.000000
2,L1,3.823273,2.846680,6.663984,34.631827,184.513400,1.480415,3.327856
3,L2,3.476103,1.374059,5.471442,62.876478,211.739582,1.520354,2.918858
4,L3,7.921435,4.211864,12.134886,64.675617,189.716701,0.675602,1.000000
5,L4,4.346366,2.812945,10.449247,56.002323,215.344960,0.674992,3.014433
6,L5,3.059560,2.134917,2.391913,32.191953,186.136712,0.140318,2.471235
7,Mi1,1.188027,3.030647,9.317850,45.237792,189.469319,2.000000,1.000000
8,Mi4,6.648202,0.100000,6.853866,64.426825,220.310913,-2.000000,1.000000
9,Mi9,5.987128,7.764691,5.709227,69.488154,208.182268,-0.173203,1.000000
10,R1-6,2.993913,10.435222,1.016819,57.018592,193.482001,-0.062011,1.000000
11,R7,0.186547,13.159661,1.043713,53.601936,183.804346,0.396454,1.000000
12,R8,1.502560,3.850532,0.965832,54.167297,202.749024,-0.665770,1.000000
13,T1,0.100000,0.179633,1.033455,63.717559,205.774367,1.617711,1.000000
14,T2,0.658279,0.970675,0.962884,51.289022,188.884157,-1.919277,1.000000
15,T2a,0.520804,0.423979,1.036770,52.901433,205.455390,-0.376546,1.000000
16,T3,11.054435,10.212632,1.004954,26.878822,191.898518,-1.363886,1.000000
17,T4a,6.962662,6.116482,0.984985,24.289708,210.353658,0.453661,1.000000
18,T4b,0.100000,1.152246,0.991173,40.689194,193.496586,-0.618974,1.000000
19,T4c,1.820300,2.474290,1.014522,42.511948,202.034120,-1.291178,1.000000
20,T4d,0.979058,0.718816,1.027358,48.595674,200.936107,-0.569641,1.000000
21,T5a,0.531589,0.829896,0.988386,54.741002,200.139285,-0.528712,1.000000
22,T5b,0.100000,0.100000,1.023453,45.659917,192.751455,-0.939259,1.000000
23,T5c,0.596679,1.156900,1.043924,53.536461,195.908810,-0.838358,1.000000
24,T5d,5.818642,5.693291,1.007563,52.465733,192.570692,2.000000,1.000000
25,Tm1,3.442172,1.635799,3.397574,52.065543,192.824718,-0.018524,1.000000
26,Tm2,5.837676,7.959188,1.480388,71.019441,215.760171,-0.289126,1.000000
27,Tm20,0.100000,10.323374,0.971445,62.044133,210.655684,1.536506,1.000000
28,Tm21,1.901156,0.992637,1.013232,45.980639,194.710660,-1.033766,1.000000
29,Tm3,6.307347,4.935141,6.227092,63.981545,227.870316,-1.003927,1.000000
30,Tm4,6.113104,12.604437,5.739783,66.472417,210.908624,-0.078330,1.000000
31,Tm9,11.372785,0.100000,11.370056,72.026595,208.485986,-0.226297,1.000000
