,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,1.047361,,,0.950445,0.995772,0.950098,1.026990,,,,,0.969587,,,,,,,,,,,,,,,,,,,0.955409,0.983277
R7,,,1.043245,0.460682,,0.988276,,,1.033870,0.962338,1.032852,,,,,,,,,,,,,,,1.019091,,,,,,1.028625
R8,,1.003226,0.962149,0.445596,0.839269,0.959040,,1.036292,1.014643,0.963739,1.005946,0.980527,,,,,,,,,,,,,,0.961488,1.046119,,,,1.030186,0.997838
L1,0.958318,1.037718,1.019845,0.100000,0.100000,0.967444,0.100000,0.528056,0.983822,1.039860,,0.978115,1.015985,0.982076,,,,,,,,,,1.024284,0.975537,,,1.048742,,,0.968631,0.967273
L2,1.021399,,1.028931,5.562033,0.100000,1.008965,2.908414,0.100000,1.034807,0.972461,1.003089,0.968584,1.041818,1.001443,,,,,,,,,,0.958042,0.963577,1.025216,,0.991156,0.975000,,0.991975,0.966165
L3,,0.975805,0.968948,1.425294,7.310893,,,,1.024218,1.032368,0.997387,0.993014,,,,,,,,,,,,1.038022,0.973930,1.000575,1.023220,,0.994632,1.030905,0.979246,0.954215
L4,1.036375,,,0.100000,4.905935,0.964124,0.100000,1.009501,1.005916,,0.962361,,0.991239,,,,,,,,,,,0.998507,1.008539,,,,1.017879,1.041436,,1.049433
L5,,,,0.482056,0.495947,,,1.236063,1.048059,0.959308,1.044675,1.003667,0.993009,0.951715,,,,,,,,,,1.018014,1.004256,0.988556,0.972278,0.985903,1.001505,,1.016426,1.006304
Mi1,,1.023516,1.009815,1.030491,1.025428,,,1.026371,1.031709,0.970142,0.977844,1.015444,0.987477,0.980918,0.994507,0.955972,1.035571,1.023529,1.034526,,,,,1.021041,0.963562,0.996631,1.028495,0.969390,0.973542,,0.965198,1.031358
Mi4,,,,,0.379366,0.967832,,1.391127,1.046460,0.987751,0.989131,0.955119,,1.014237,,0.987734,0.998126,0.986801,0.963651,,,,,0.995450,1.037949,1.020162,,0.975146,0.956426,1.026173,1.026500,1.018540
