idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,bias,hp_gain
0,R1-6,1.000000,1.076621,0.959946,54.115012,0.000000,-0.037325,0.956281
1,R7,1.000000,0.486300,0.962824,54.826664,0.000000,-0.558088,0.952575
2,R8,1.000000,1.039067,1.000726,53.274138,0.000000,-0.002818,0.984974
3,L1,1.000000,0.100000,5.427170,100.000000,188.030338,-2.732303,4.217777
4,L2,1.000000,3.551778,3.396301,100.000000,243.997607,3.975320,3.326534
5,L3,1.000000,6.508938,0.974074,47.972266,0.000000,5.689062,1.021613
6,L4,1.000000,4.421355,11.641395,99.683395,259.816223,5.705151,1.490658
7,L5,1.000000,0.428812,0.100000,44.210752,198.492241,-0.601907,0.000000
8,Mi1,1.000000,4.368200,1.014612,52.842707,0.000000,3.682847,1.049271
9,Mi4,1.000000,0.349902,1.004683,53.446178,0.000000,-0.565060,0.995420
10,Mi9,1.000000,1.050587,0.975217,53.610695,0.000000,-0.046427,1.010276
11,T1,1.000000,1.082211,1.031498,47.388687,0.000000,-0.031574,1.004672
12,T2,1.000000,0.904184,0.998302,48.116489,0.000000,-0.559857,0.958190
13,T2a,1.000000,1.028463,0.968656,47.804907,0.000000,-0.032716,1.029454
14,T3,1.000000,0.911052,0.951429,50.793205,0.000000,0.018464,0.960530
15,T4a,1.000000,1.014339,0.974348,47.931269,0.000000,0.028217,1.007961
16,T4b,1.000000,0.972333,1.038488,47.173551,0.000000,-0.040095,1.046088
17,T4c,1.000000,0.969008,0.989601,53.078235,0.000000,0.032225,1.032507
18,T4d,1.000000,1.018907,1.003228,51.363132,0.000000,-0.038627,1.026086
19,T5a,1.000000,0.930793,1.009787,51.121552,0.000000,-0.004247,0.951129
20,T5b,1.000000,1.035567,1.003737,52.458280,0.000000,-0.008456,0.965384
21,T5c,1.000000,1.060354,1.011557,48.626670,0.000000,-0.039361,0.953289
22,T5d,1.000000,0.971879,1.030315,49.223713,0.000000,0.020965,0.985498
23,Tm1,1.000000,0.975505,1.001334,47.695711,0.000000,-0.046726,1.005749
24,Tm2,1.000000,0.410183,0.983738,45.911644,0.000000,-0.576611,0.955324
25,Tm20,1.000000,1.077593,1.005411,53.538132,0.000000,0.008621,1.048222
26,Tm21,1.000000,1.012648,1.047653,51.634130,0.000000,0.044822,1.013710
27,Tm3,1.000000,1.069911,1.026867,54.213938,0.000000,-0.049867,0.956329
28,Tm4,1.000000,0.918227,1.017549,49.434556,0.000000,-0.013179,1.015409
29,Tm9,1.000000,0.987521,0.965781,53.581997,0.000000,-0.020590,1.034820
30,C2,1.000000,0.473266,0.985805,46.596910,0.000000,-0.588318,1.016326
31,C3,1.000000,0.967567,0.995830,52.070093,0.000000,-0.002093,1.048125
