idx,ctype,inp_gain,out_gain,Ih_gmax,Ih_gmax_off,out_scale,Ih_midv,Ih_slope,tau_midv
0,R1,2.866072,1.112339,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
1,R2,3.192587,1.431028,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
2,R3,0.100000,2.363368,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
3,R4,0.898378,1.462613,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
4,R5,0.632251,1.836134,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
5,R6,0.973981,1.130324,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
6,R7,0.100000,1.156539,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
7,R8,1.056664,0.943509,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
8,L1,4.190355,2.587271,51.986402,46.690391,6.240222,-45.779514,-0.200000,-45.427901
9,L2,2.453678,1.330349,52.752872,50.622697,6.478604,-45.779514,-0.200000,-45.427901
10,L3,0.221780,2.488505,0.000000,0.000000,2.041824,-45.779514,-0.200000,-45.427901
11,L4,4.599116,0.100000,0.313923,0.036314,3.369945,-45.779514,-0.200000,-45.427901
12,L5,0.100000,0.134566,52.017365,51.424673,0.000000,-45.779514,-0.200000,-45.427901
13,Lawf1,0.100000,0.100000,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
14,Lawf2,0.100000,0.100000,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
15,Am,1.143181,1.061722,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
16,C2,0.183167,0.476600,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
17,C3,0.559772,1.511412,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
18,CT1(Lo1),2.320539,2.179775,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
19,CT1(M10),3.062811,3.027399,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
20,Mi1,2.341673,1.336363,0.000000,0.000000,2.030770,-45.779514,-0.200000,-45.427901
21,Mi2,0.662342,0.100000,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
22,Mi3,1.474835,1.331235,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
23,Mi4,1.367450,1.345981,0.000000,0.000000,2.371121,-45.779514,-0.200000,-45.427901
24,Mi9,1.151577,0.680518,0.000000,0.000000,1.507661,-45.779514,-0.200000,-45.427901
25,Mi10,0.501732,0.435211,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
26,Mi11,0.566689,0.487255,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
27,Mi12,1.937867,2.012497,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
28,Mi13,0.704025,0.734582,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
29,Mi14,3.797772,3.210075,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
30,Mi15,0.124745,0.178358,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
31,T1,0.711901,0.380978,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
32,T2,0.224759,0.245064,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
33,T2a,0.100000,0.100000,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
34,T3,0.203769,0.100000,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
35,T4a,1.419790,0.147509,0.000000,0.000000,2.553091,-45.779514,-0.200000,-45.427901
36,T4b,1.821131,0.100000,0.000000,0.000000,2.840865,-45.779514,-0.200000,-45.427901
37,T4c,1.530268,0.465795,0.000000,0.000000,2.335083,-45.779514,-0.200000,-45.427901
38,T4d,1.884266,0.100000,0.000000,0.000000,2.902241,-45.779514,-0.200000,-45.427901
39,T5a,2.130913,0.100000,0.000000,0.000000,3.928168,-45.779514,-0.200000,-45.427901
40,T5b,2.644697,0.225282,0.000000,0.000000,3.457072,-45.779514,-0.200000,-45.427901
41,T5c,2.294160,0.100000,0.000000,0.000000,3.374249,-45.779514,-0.200000,-45.427901
42,T5d,2.091687,0.100000,0.000000,0.000000,3.146033,-45.779514,-0.200000,-45.427901
43,Tm1,1.326895,1.042675,0.000000,0.000000,1.893297,-45.779514,-0.200000,-45.427901
44,Tm2,1.258419,0.539166,0.000000,0.000000,1.026831,-45.779514,-0.200000,-45.427901
45,Tm3,1.149182,0.674232,0.000000,0.000000,1.662234,-45.779514,-0.200000,-45.427901
46,Tm4,3.259233,0.453317,0.000000,0.000000,1.903287,-45.779514,-0.200000,-45.427901
47,Tm5Y,0.297119,0.100000,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
48,Tm5a,0.491465,0.406325,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
49,Tm5b,0.488693,0.504934,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
50,Tm5c,1.257846,1.064630,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
51,Tm9,1.550848,0.100000,0.000000,0.000000,2.676258,-45.779514,-0.200000,-45.427901
52,Tm16,1.285781,1.260690,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
53,Tm20,1.934561,1.855319,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
54,Tm28,0.100000,0.100000,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
55,Tm30,0.504438,0.408105,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
56,TmY3,0.100000,0.100000,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
57,TmY4,0.100000,0.100000,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
58,TmY5a,3.730309,3.397314,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
59,TmY9,0.132090,0.100000,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
60,TmY10,0.253915,0.297466,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
61,TmY13,1.989377,1.981995,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
62,TmY14,0.219291,0.212263,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
63,TmY15,0.348422,0.363564,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
64,TmY18,0.100000,0.100000,0.000000,0.000000,1.000000,-45.779514,-0.200000,-45.427901
