idx,ctype,inp_gain,out_gain,Ih_gmax,Ih_gmax_off,out_scale,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1,0.439874,1.269392,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
1,R2,0.763951,1.236926,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
2,R3,0.198307,2.202582,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
3,R4,0.100000,1.370190,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
4,R5,0.306923,1.668196,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
5,R6,0.269742,1.141151,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
6,R7,0.100000,1.119401,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
7,R8,1.101389,1.264130,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
8,L1,3.157123,1.337743,53.091282,49.891867,6.471285,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
9,L2,4.294147,1.220206,44.653234,47.987984,6.110957,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
10,L3,0.353828,1.675228,0.000000,0.000000,2.145928,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
11,L4,4.336900,1.109856,0.000000,0.206576,2.257489,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
12,L5,5.314072,0.987842,52.976614,52.591500,0.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
13,Lawf1,0.100000,0.100000,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
14,Lawf2,2.556989,2.772677,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
15,Am,1.220395,1.284914,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
16,C2,1.566078,0.189187,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
17,C3,0.205552,0.212775,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
18,CT1(Lo1),2.002204,2.477341,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
19,CT1(M10),3.839841,2.815070,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
20,Mi1,3.522625,2.958119,0.000000,0.000000,4.439534,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
21,Mi2,2.075041,1.019957,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
22,Mi3,1.598180,1.563964,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
23,Mi4,1.135808,1.219651,0.000000,0.000000,1.722974,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
24,Mi9,1.070848,0.371400,0.000000,0.000000,1.379388,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
25,Mi10,0.100935,0.102537,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
26,Mi11,0.443667,0.569145,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
27,Mi12,2.602248,2.437429,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
28,Mi13,1.644148,1.535770,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
29,Mi14,3.003403,3.206245,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
30,Mi15,1.682764,2.145106,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
31,T1,1.827045,1.430004,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
32,T2,1.442696,1.233862,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
33,T2a,0.509058,0.580309,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
34,T3,2.247305,2.710634,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
35,T4a,1.687165,1.034431,0.000000,0.000000,3.083207,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
36,T4b,2.191607,1.693876,0.000000,0.000000,3.207389,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
37,T4c,2.145409,1.578902,0.000000,0.000000,3.595706,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
38,T4d,1.852326,2.856044,0.000000,0.000000,3.280833,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
39,T5a,1.181912,1.824044,0.000000,0.000000,0.445825,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
40,T5b,1.955347,1.880137,0.000000,0.000000,0.978906,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
41,T5c,2.213611,0.221131,0.000000,0.000000,2.002315,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
42,T5d,1.700854,0.293930,0.000000,0.000000,1.703064,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
43,Tm1,0.505621,1.540997,0.000000,0.000000,2.350698,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
44,Tm2,0.998918,1.236395,0.000000,0.000000,0.659530,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
45,Tm3,1.124658,0.787504,0.000000,0.000000,2.497717,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
46,Tm4,2.363390,0.100000,0.000000,0.000000,1.933564,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
47,Tm5Y,0.100000,0.100000,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
48,Tm5a,0.460721,0.424461,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
49,Tm5b,0.527562,0.519482,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
50,Tm5c,2.122886,2.446736,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
51,Tm9,1.738848,0.314634,0.000000,0.000000,2.454952,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
52,Tm16,1.272740,1.344922,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
53,Tm20,1.839734,1.825520,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
54,Tm28,0.100000,0.100000,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
55,Tm30,0.587239,0.593082,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
56,TmY3,1.012088,0.721913,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
57,TmY4,0.100000,0.100000,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
58,TmY5a,2.310608,2.217248,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
59,TmY9,2.891432,2.624103,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
60,TmY10,0.100000,0.100000,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
61,TmY13,0.645140,0.757924,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
62,TmY14,0.237069,0.123779,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
63,TmY15,0.299877,0.156409,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
64,TmY18,0.100000,0.100000,0.000000,0.000000,1.000000,-47.013193,-0.400000,-52.550617,-48.600509,-0.200000,-50.214120
