idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1,0.781176,0.100000,1.014973,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
1,R2,0.779592,0.100000,0.936238,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
2,R3,0.904607,0.100000,1.061337,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
3,R4,0.732655,0.100000,0.947308,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
4,R5,0.752727,0.100000,1.032429,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
5,R6,0.795713,0.100000,0.946974,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
6,R7,0.150285,0.930463,0.949185,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
7,R8,0.838809,0.181187,1.020944,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
8,L1,0.753079,0.789881,1.097294,45.434712,46.110191,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
9,L2,0.782763,0.164821,1.003898,52.018849,53.930990,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
10,L3,0.100000,0.817079,1.085342,0.300534,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
11,L4,0.135545,0.175369,1.084985,0.000000,0.296845,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
12,L5,0.584344,0.181776,0.953911,48.757996,48.457970,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
13,Lawf1,0.888697,0.996713,0.901001,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
14,Lawf2,0.379079,0.222958,0.947538,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
15,Am,0.476719,0.432064,0.998083,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
16,C2,0.942535,0.825265,1.048806,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
17,C3,0.383640,0.380679,0.976052,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
18,CT1(Lo1),0.771756,0.938432,1.000490,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
19,CT1(M10),0.961648,0.917389,0.949807,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
20,Mi1,0.100000,0.100000,1.066249,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
21,Mi2,0.141392,0.165346,1.044047,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
22,Mi3,0.384476,0.366814,0.961486,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
23,Mi4,0.522494,0.296433,0.974263,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
24,Mi9,0.100000,0.106404,0.968721,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
25,Mi10,0.567995,0.438052,0.949685,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
26,Mi11,0.578258,0.419280,0.985288,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
27,Mi12,0.830128,0.930201,1.057535,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
28,Mi13,0.755888,0.796291,1.067085,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
29,Mi14,0.207958,0.288705,1.045022,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
30,Mi15,0.905287,0.872247,0.942410,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
31,T1,0.803521,0.816274,0.964297,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
32,T2,0.147416,0.205932,0.982332,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
33,T2a,0.198954,0.170071,0.923505,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
34,T3,0.194854,0.114662,1.054157,0.000000,0.000000,-51.718293,-0.400000,-51.544608,-48.180831,-0.200000,-48.366954
