idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1,1.084773,1.243191,0.912071,0.000000,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
1,R2,1.041029,1.189106,1.003216,0.000000,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
2,R3,1.559219,1.283498,1.046482,0.000000,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
3,R4,0.911415,1.355726,1.094609,0.000000,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
4,R5,1.075304,1.293917,0.926476,0.000000,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
5,R6,0.970749,1.314616,0.992994,0.000000,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
6,R7,0.100000,1.949535,1.049762,0.000000,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
7,R8,2.368942,0.579627,0.996214,0.000000,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
8,L1,0.153990,0.348153,0.924270,50.336863,50.066681,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
9,L2,1.424166,0.190694,1.000625,47.926836,52.797963,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
10,L3,1.240378,0.837231,0.952788,0.372113,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
11,L4,0.138065,0.100000,0.961456,0.000000,0.573016,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
12,L5,0.948603,0.789021,1.053721,46.087964,47.060615,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
13,Lawf1,0.100000,0.100000,1.089893,0.000000,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
14,Lawf2,0.220213,0.124520,0.905578,0.000000,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
15,Am,0.415975,0.571994,0.982086,0.000000,0.000000,-50.134899,-0.200000,-50.126660,-51.551027,-0.381843,-51.045737
