idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1,1.115300,1.767108,1.047901,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
1,R2,1.732892,1.793814,0.919215,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
2,R3,0.100000,2.011033,1.064442,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
3,R4,1.873137,1.766247,1.026938,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
4,R5,1.701456,1.815291,0.961684,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
5,R6,1.992071,1.602491,1.005411,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
6,R7,0.100000,4.529478,1.080664,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
7,R8,4.377876,1.148525,1.089897,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
8,L1,3.087409,1.694028,0.928614,47.619306,51.018874,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
9,L2,0.618338,0.994885,1.017566,49.507341,49.898033,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
10,L3,0.481171,1.863932,1.072761,3.103804,0.059648,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
11,L4,1.680185,1.505975,1.099582,0.000000,0.650183,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
12,L5,1.116349,0.429432,1.016261,52.113679,49.421283,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
13,Lawf1,0.953437,1.020772,0.972852,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
14,Lawf2,1.759564,1.610060,0.971115,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
15,Am,0.541763,0.498030,1.039010,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
16,C2,1.677653,1.478750,0.917046,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
17,C3,1.786887,2.072406,0.995081,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
18,CT1(Lo1),0.752505,0.696020,0.911540,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
19,CT1(M10),1.381699,1.811018,0.949267,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
20,Mi1,4.222226,3.169393,0.993016,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
21,Mi2,2.380302,2.441866,0.983282,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
22,Mi3,0.100000,0.100000,0.968445,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
23,Mi4,0.100000,0.100000,1.025547,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
24,Mi9,2.101754,1.782262,1.094897,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
25,Mi10,0.468122,0.405855,1.085033,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
26,Mi11,0.594995,0.489620,0.917551,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
27,Mi12,0.100000,0.100000,1.059342,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
28,Mi13,1.770054,1.745383,1.057492,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
29,Mi14,0.100000,0.100000,0.919051,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
30,Mi15,1.768196,1.865067,1.098064,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
31,T1,0.100000,0.100000,0.985490,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
32,T2,0.296740,0.433022,1.020759,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
33,T2a,1.138268,2.369773,0.938622,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
34,T3,0.112084,0.129236,0.921730,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
35,T4a,2.529374,1.095591,3.751731,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
36,T4b,2.338060,1.622361,3.815310,0.000000,0.000000,-47.393477,-0.353767,-51.776586,-50.019769,-0.243518,-50.899708
