idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.552877,0.139551,1.067878,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
1,C3,0.100000,1.632948,0.923900,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
2,L1,1.822620,0.118025,0.998399,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
3,L2,0.120244,0.100000,0.970737,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
4,L3,0.859867,0.100000,0.952398,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
5,L4,1.469085,0.100000,0.910053,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
6,L5,0.100000,1.632948,0.906575,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
7,Mi1,1.550928,0.100000,0.994496,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
8,Mi4,1.550928,0.100000,0.989423,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
9,Mi9,0.319155,1.623261,0.984350,54.477021,48.797549,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
10,R1-6,1.007215,1.635452,1.050701,47.060838,48.733654,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
11,R7,1.985286,2.293265,0.996858,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
12,R8,1.647169,1.966181,1.045562,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
13,T1,0.100000,1.722980,1.003142,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
14,T2,1.421967,0.100000,1.051117,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
15,T2a,1.361063,0.148560,0.960935,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
16,T3,1.361063,0.148560,1.078977,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
17,T4a,0.738645,1.442934,0.100000,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
18,T4b,0.110186,0.100000,0.100000,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
19,T4c,1.176717,0.100000,0.100000,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
20,T4d,0.100000,1.529929,0.100000,0.858764,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
21,T5a,1.985286,2.293265,0.100000,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
22,T5b,1.475183,0.207933,0.100000,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
23,T5c,1.007215,1.635452,0.100000,47.060838,48.733654,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
24,T5d,1.985286,2.293265,0.100000,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
25,Tm1,1.059613,0.100000,1.049269,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
26,Tm2,1.822620,0.118025,0.906038,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
27,Tm20,1.421967,0.100000,0.915848,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
28,Tm21,1.484886,0.100906,0.937535,0.911457,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
29,Tm3,1.153921,0.100000,1.018938,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
30,Tm4,1.421967,0.100000,0.987120,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
31,Tm9,0.859867,0.100000,0.997479,0.000000,0.000000,-50.321266,-0.200000,-52.230350,-46.510452,-0.400000,-49.551294
