idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.321596,1.332356,1.055725,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
1,C3,0.100000,0.100000,1.016929,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
2,L1,0.982133,0.875613,2.091307,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
3,L2,0.503603,0.507310,1.918935,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
4,L3,0.328068,0.321312,1.766540,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
5,L4,0.100000,0.100000,1.877173,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
6,L5,0.100000,0.100000,0.100000,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
7,Mi1,1.511287,0.100000,0.346781,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
8,Mi4,1.511287,0.100000,0.275713,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
9,Mi9,0.100000,0.135466,2.004339,49.825157,51.209139,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
10,R1-6,1.212478,1.318160,1.014553,49.838479,53.395185,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
11,R7,0.100000,0.100000,0.910103,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
12,R8,0.107932,0.100000,0.947600,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
13,T1,1.400079,0.100000,1.078854,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
14,T2,1.452915,1.246920,1.055944,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
15,T2a,1.044403,1.021400,0.916003,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
16,T3,1.044403,1.021400,1.008939,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
17,T4a,1.405952,1.425481,0.990976,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
18,T4b,0.476619,0.482403,0.984723,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
19,T4c,0.547132,0.390180,0.980898,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
20,T4d,0.213001,0.660741,0.976250,0.910473,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
21,T5a,0.100000,0.100000,1.037802,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
22,T5b,1.251177,0.415178,0.990053,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
23,T5c,1.212478,1.318160,0.934028,49.838479,53.395185,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
24,T5d,0.100000,0.100000,1.020106,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
25,Tm1,1.368829,1.324235,1.807935,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
26,Tm2,0.982133,0.875613,1.520418,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
27,Tm20,1.452915,1.246920,0.922149,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
28,Tm21,0.100000,1.003959,0.953385,0.000000,0.529492,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
29,Tm3,0.203501,0.100000,1.927822,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
30,Tm4,1.452915,1.246920,1.838266,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
31,Tm9,0.328068,0.321312,1.754840,0.000000,0.000000,-48.648191,-0.400000,-47.593356,-51.426507,-0.200000,-49.511959
