idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.997936,0.904607,1.042523,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
1,C3,0.100000,0.100000,1.047964,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
2,L1,0.222079,0.100000,3.026290,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
3,L2,0.573637,0.474570,3.092350,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
4,L3,0.100000,0.100000,2.604210,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
5,L4,0.798121,0.624649,2.273903,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
6,L5,0.100000,0.100000,0.100000,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
7,Mi1,1.999283,0.770285,0.100000,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
8,Mi4,1.999283,0.770285,1.975072,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
9,Mi9,0.100000,0.952747,1.578915,51.313745,54.352352,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
10,R1-6,1.791532,1.558256,1.007394,46.007071,50.007330,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
11,R7,0.100000,0.100000,0.960979,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
12,R8,0.100000,0.100000,1.018204,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
13,T1,0.909739,1.782939,0.950111,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
14,T2,1.062657,0.818140,0.918346,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
15,T2a,0.100000,0.100000,1.006783,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
16,T3,0.100000,0.100000,0.949564,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
17,T4a,0.100000,0.100000,1.062911,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
18,T4b,0.586260,0.532637,0.983914,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
19,T4c,1.159159,0.100000,0.907958,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
20,T4d,0.281322,1.020693,1.037747,0.021118,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
21,T5a,0.100000,0.100000,1.004518,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
22,T5b,1.515499,0.189146,0.940804,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
23,T5c,1.791532,1.558256,1.044622,46.007071,50.007330,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
24,T5d,0.100000,0.100000,0.910461,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
25,Tm1,0.929221,0.813581,1.361363,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
26,Tm2,0.222079,0.100000,1.668519,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
27,Tm20,1.062657,0.818140,1.095995,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
28,Tm21,2.225143,0.100000,0.924481,0.000000,0.731700,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
29,Tm3,0.100000,0.100000,0.460814,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
30,Tm4,1.062657,0.818140,2.482526,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
31,Tm9,0.100000,0.100000,1.811825,0.000000,0.000000,-47.154092,-0.200000,-46.220026,-50.134555,-0.200000,-48.723599
