idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.100000,0.914098,1.076258,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
1,C3,0.545878,0.421735,1.057695,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
2,L1,0.154030,0.174265,1.537926,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
3,L2,0.461751,0.441075,1.467196,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
4,L3,0.148305,0.231053,1.295811,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
5,L4,0.891731,1.034466,0.693790,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
6,L5,0.545878,0.421735,0.493155,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
7,Mi1,0.142322,0.143798,0.538784,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
8,Mi4,0.142322,0.143798,0.617003,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
9,Mi9,0.154747,0.615307,1.401846,52.457744,49.674972,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
10,R1-6,0.976636,0.962327,0.992135,51.150409,46.268870,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
11,R7,0.906869,0.838643,0.928374,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
12,R8,0.175075,0.149806,1.047516,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
13,T1,0.879948,0.995300,1.083629,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
14,T2,0.992394,0.394142,0.955027,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
15,T2a,0.690237,0.680345,1.005070,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
16,T3,0.690237,0.680345,0.927721,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
17,T4a,0.100000,0.140816,0.925851,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
18,T4b,0.596122,0.462987,1.042637,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
19,T4c,0.896996,0.129853,0.945453,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
20,T4d,0.497947,0.855997,0.949268,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
21,T5a,0.906869,0.838643,1.095784,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
22,T5b,1.070964,0.749698,0.933243,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
23,T5c,0.976636,0.962327,0.969417,51.150409,46.268870,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
24,T5d,0.906869,0.838643,1.098674,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
25,Tm1,0.442652,0.718064,0.622585,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
26,Tm2,0.154030,0.174265,0.900067,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
27,Tm20,0.992394,0.394142,1.046477,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
28,Tm21,0.730695,0.526583,0.965201,0.190555,0.106440,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
29,Tm3,0.100000,0.539150,0.533071,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
30,Tm4,0.992394,0.394142,0.680096,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
31,Tm9,0.148305,0.231053,1.519465,0.000000,0.000000,-48.766685,-0.269318,-47.468992,-51.421553,-0.200000,-49.014250
