idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.155410,0.328378,0.922469,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
1,C3,0.587239,0.527070,0.915063,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
2,L1,0.875501,0.891935,1.450689,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
3,L2,0.492590,0.497899,1.427597,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
4,L3,0.100000,0.100000,0.629182,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
5,L4,0.364237,0.373458,0.682502,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
6,L5,0.587239,0.527070,0.536169,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
7,Mi1,0.265642,0.560136,0.643246,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
8,Mi4,0.265642,0.560136,0.509911,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
9,Mi9,0.801107,0.691252,1.589833,52.866403,46.459488,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
10,R1-6,1.012965,0.425617,1.067356,46.162326,47.932771,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
11,R7,0.206050,0.136788,0.933419,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
12,R8,0.863067,0.852522,0.983733,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
13,T1,1.087480,0.992121,0.954117,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
14,T2,0.732819,0.984549,0.969576,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
15,T2a,0.861437,1.013298,1.085734,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
16,T3,0.861437,1.013298,0.997070,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
17,T4a,0.100000,0.100000,1.080167,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
18,T4b,0.444973,0.579708,1.097309,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
19,T4c,0.780541,0.284048,1.085791,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
20,T4d,0.125750,1.035846,0.997586,0.426712,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
21,T5a,0.206050,0.136788,0.991673,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
22,T5b,0.937631,0.745287,1.031078,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
23,T5c,1.012965,0.425617,1.004329,46.162326,47.932771,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
24,T5d,0.206050,0.136788,1.040130,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
25,Tm1,0.460934,0.415184,0.564966,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
26,Tm2,0.875501,0.891935,0.681134,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
27,Tm20,0.732819,0.984549,0.915013,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
28,Tm21,0.437387,0.328566,1.005810,0.126018,0.166625,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
29,Tm3,0.419704,0.370093,1.132262,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
30,Tm4,0.732819,0.984549,0.641087,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
31,Tm9,0.100000,0.100000,1.397061,0.000000,0.000000,-51.920497,-0.200000,-50.888644,-51.738585,-0.200000,-49.077711
