idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1,0.723605,0.234063,0.923761,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
1,R2,0.702670,0.313283,1.061842,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
2,R3,0.666479,0.413773,0.929517,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
3,R4,0.649801,0.400859,0.973142,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
4,R5,0.736574,0.236154,1.066706,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
5,R6,0.598888,0.277442,0.908690,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
6,R7,0.390210,0.650598,1.027134,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
7,R8,0.274010,0.628145,0.988305,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
8,L1,0.650370,0.365014,1.068577,49.033719,48.956428,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
9,L2,0.579929,0.347315,0.935593,47.001366,45.574664,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
10,L3,0.311677,0.225382,1.022930,0.168218,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
11,L4,0.379914,0.283538,0.990100,0.000000,0.167434,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
12,L5,0.565369,0.543855,0.927059,48.751041,46.521748,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
13,Lawf1,0.569772,0.758793,0.935211,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
14,Lawf2,0.417870,0.318807,1.037645,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
15,Am,0.468044,0.405792,1.084214,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
16,C2,0.385988,0.245408,1.025660,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
17,C3,0.522816,0.549378,1.026738,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
18,CT1(Lo1),0.621645,0.756797,0.952011,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
19,CT1(M10),0.338114,0.235915,0.922695,0.000000,0.000000,-52.428810,-0.333024,-50.237555,-51.825327,-0.200000,-51.137666
