idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1,1.694015,0.100000,1.076651,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
1,R2,2.145816,0.100000,0.905219,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
2,R3,1.202005,0.100000,1.058885,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
3,R4,1.014943,0.100000,1.013484,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
4,R5,1.153757,0.100000,0.916124,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
5,R6,1.216427,0.100000,1.025880,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
6,R7,0.568795,0.318662,1.046417,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
7,R8,0.100000,1.810537,1.006299,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
8,L1,0.100000,1.282963,0.995614,54.109372,45.336973,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
9,L2,0.992333,1.044165,0.905813,45.699643,53.708420,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
10,L3,0.100000,0.176443,1.014736,0.956617,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
11,L4,0.186367,0.185708,0.984812,0.000000,0.601300,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
12,L5,0.228365,0.100000,1.015682,52.622284,47.030018,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
13,Lawf1,0.923185,0.847830,0.900637,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
14,Lawf2,1.542408,1.451996,1.095425,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
15,Am,0.601229,0.596544,1.090793,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
16,C2,0.100000,0.100000,0.969428,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
17,C3,1.087258,0.910783,1.048516,0.000000,0.000000,-50.362961,-0.200000,-50.158470,-48.553106,-0.382533,-51.030102
